,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
7709,0.05716412484797967,16.1665839408976,0.011432831432257139,0.000571650382556209,1.876697969397299,0.000571650382556209,0.5316262960219197
7710,0.1272061172280005,36.03494790108818,0.025441226266482108,0.0012720649270332419,4.297022525319156,0.0343456542196439,1.296230302413307
7711,0.2744071532503048,80.80192987036482,0.05488143194730078,0.8067570274123316,13.089221134337839,1.2814813997313739,2.8812750937302867
7712,0.6621496655479518,200.06189974610533,0.13242993364693456,3.4829072379171606,44.07268169477516,4.297351325713843,6.972435971810242
7713,1.2922407152948012,392.3501258734664,0.25844814333460453,7.21070318976595,95.0313821777686,9.976098319758986,12.83195029979852
7714,1.636436134644166,491.9290663538011,0.32728722714655906,15.447957108742877,125.00735630493978,12.584193873592088,14.957026268431306
7715,1.4443973484307127,435.70246006137904,0.28887946993278363,14.285089773237456,110.17862971507232,12.66736474334055,13.071796000814778
7716,1.5154052972840548,453.5759594423774,0.30308105969190763,14.911588122675962,109.79111376722125,13.396182825685932,13.69926388508394
7717,1.5042679486411619,453.957981451836,0.3008535899650677,12.199613061373883,101.4327877571965,13.372942061082949,12.801320240711867
7718,1.7189881955564745,521.1456511685276,0.3437976393185741,13.390918041624918,105.1676977885453,17.086742661514016,14.628589542238943
7719,1.5992721301856512,486.45060375410065,0.31985442625991056,15.369005168685304,87.91198898126832,15.464961496479726,12.922118809927543
7720,1.6192100646706817,500.48163880427796,0.32384201315417616,13.245138327030418,93.15315500494799,15.479648215896201,13.860438151500706
7721,1.2344946527320746,385.14998659363914,0.24689893083493483,19.727224545252213,104.3147981257241,15.147249384955202,11.048727139082937
7722,1.0240661274566423,318.6381754232061,0.20481322583903402,27.619063446207832,101.63856310732909,13.52791353839059,9.103947869657247
7723,1.0535179243664767,326.51681016826006,0.21070358521129645,28.63461717320991,104.75128717813436,14.117140181267203,9.428985419718195
7724,1.0656819804063615,331.95993676677375,0.2131363964154216,25.427172042939123,102.77437015048997,14.045688496664058,9.857558315310012
7725,1.2251497291540412,383.34935013887196,0.2450299461215258,23.13082687992611,108.52376297661523,14.040215892301514,10.683305635415875
7726,1.3357572977129681,415.9948951232016,0.2671514598092693,19.047899060964017,104.40279036350798,12.382470147040772,11.607730914560717
7727,1.7218801831819306,527.343024822301,0.34437603684331747,11.812098055111644,112.59374516160332,11.123345981942384,14.911482384373311
7728,3.118909198349321,918.2380570440946,0.623781839784143,4.241716509703639,149.1150487663918,8.421054835300252,27.446400944359418
7729,1.777500349761016,514.3552761380533,0.35550007015266494,0.017775003745298345,69.35806363814369,1.7064003357806012,14.593277869730544
7730,1.5097454440466211,433.91593798890983,0.3019490890453014,0.015097454732116987,47.39090947965442,0.015097454732116987,12.183645731369735
7731,0.7794914271992589,224.00245127060623,0.1558982858964331,0.007794914838437238,25.177573080650173,0.007794914838437238,6.306085641990711
7732,0.248779313818187,71.16581000118539,0.04975586419506823,0.002487794967701197,8.737129440295964,0.002487794967701197,2.057404912281148
7733,0.5694416505780489,162.10295444822287,0.11388833074030973,0.005694417284360912,18.415742955186808,0.005694417284360912,5.358445925363309
7734,1.2199275945500176,348.0697411731708,0.24398551920196404,0.012199276306576958,41.6483280658343,0.329380450794962,12.406663633224735
7735,1.4817291418297265,440.8292368965974,0.2963458286063792,7.141934462470645,69.5820004865033,6.741867594257809,15.513704112109597
7736,1.7979334516718855,548.3337440155523,0.3595866905325625,18.46477654637285,112.98213808773475,11.560712092904515,19.094053254371264
7737,1.8117586356530082,555.9019021021928,0.3623517273272757,20.599695684824272,125.0113458433329,14.059247011004787,18.40746773598173
7738,1.8352888469860749,556.7899303252176,0.36705776959136965,27.859684693805807,130.7092716652989,17.270068048097098,17.380185378901693
7739,1.7120170474477427,517.1489894441781,0.34240340969767097,26.091139799397364,125.19980666107979,18.421303427997515,16.144320755238176
7740,1.5017350945669994,450.8358926511808,0.30034701915063416,23.45710217279878,104.25045024454047,16.33887782595759,14.011188429838638
7741,1.559797684897021,471.99477936368123,0.31195953720781683,20.4177516918484,101.30885961579321,16.986196785703417,13.819807485942368
7742,1.6496382930311895,501.5725229142747,0.3299276588222228,20.719456957349315,97.36165203902883,19.746170364620284,14.467327827784835
7743,1.813885864763833,554.0877150346106,0.3627771731492104,25.93856786285557,95.70061821222434,21.33129776697942,15.109669251682096
7744,1.7918983577282772,556.3486020305146,0.3583796717445077,21.89699792864948,99.89833342973645,20.839777897736507,15.91205741466761
7745,1.5644854734914426,490.95118634725753,0.31289709492601736,30.413597599421834,129.08569639456402,22.35649741240768,14.53407004637452
7746,1.560676116803119,488.1326689634989,0.3121352235889083,43.96424620258676,152.80579856852498,23.80031077717921,14.436254078073524
7747,1.533959895265256,478.18131806077815,0.30679197928530716,42.73612267428794,149.74516494772845,23.730359575550423,14.051072638259557
7748,1.5312977380880026,480.35278736983844,0.3062595478502595,36.598015933639914,145.90204845759123,23.3369775243177,14.394198735583089
7749,1.737264370228278,548.6454606810452,0.3474528742507561,35.85713659647419,149.4915990363285,23.348833132677353,15.826478410699526
7750,1.6278781740072736,512.5862793454936,0.3255756350203241,23.978645499369016,125.4605708499185,17.841544784393523,14.634624782138433
7751,1.889963129819059,588.780213759315,0.3779926261523541,10.186901268689729,120.71194508671996,14.193623103406289,16.952969272597887
7752,1.951834593637505,591.0740699223353,0.3903669189100711,2.4983482797920895,82.30886480429423,5.621283629246842,17.05903434662477
7753,1.9613966736876873,586.0457120634877,0.392279334919218,0.01961396696133955,76.27871663110584,1.882940806749266,15.848085121788053
7754,1.2907268583998377,382.4036462361937,0.2581453719559346,0.012907268925224145,40.63208149190545,0.012907268925224145,10.235463984718628
7755,0.824255149219264,244.11964738474984,0.16485103027568163,0.00824255202762155,25.799186154188167,0.00824255202762155,6.544585881050581
7756,0.44079451060168356,129.16601514669352,0.08815890292726368,0.004407946117456872,15.326425099517628,0.004407946117456872,3.649778540430821
7757,0.6158360809762385,180.07046986672586,0.12316721677294079,0.006158361528762612,20.0085142481465,0.006158361528762612,5.75806735108994
7758,1.0970509240769113,322.15997424557287,0.21941018513999222,0.01097050964241965,37.3216724236869,0.29620374979702624,10.970509237114268
7759,1.994440151232148,610.1790197998298,0.398888030425102,9.613201528085504,93.12041065082046,9.074702687313149,20.722233169204063
7760,2.0258174975866194,633.371840551902,0.4051634996932307,20.805145698175508,126.04636468637278,13.350137307866238,21.43314912235917
7761,1.9820243893731486,622.0583545344242,0.39640487805442065,21.465324134701184,133.88574748719373,15.816554625628475,20.375210720669614
7762,2.114300619926239,654.3971848083453,0.42286012415379753,27.760767137074943,150.89763522930386,20.297285949479335,20.677860061028117
7763,2.0846281628686962,641.8153187184124,0.4169256327446866,31.91565717046077,149.92645745835614,23.055987479177332,20.366817149352467
7764,2.0975598378015716,643.7411141563131,0.4195119677302084,33.72876218864557,143.91358045720202,23.387792189331204,20.220476834571635
7765,2.1579092745766952,667.1823894499796,0.4315818550804846,32.325480930271915,134.45932688621264,25.39859215954363,19.809607138924857
7766,2.0090841435607123,623.2580829468178,0.4018168288895135,29.232174285803,112.95071053873531,26.740909948062754,18.242484021739163
7767,1.9793209274517258,615.5688083676939,0.39586418567038145,33.41093725181002,98.82749389664875,25.929104146893515,17.081539602190666
7768,1.661463966649324,524.7069352230932,0.3322927935443139,26.93233089530644,87.75852670451967,22.811900258681234,15.302083130638508
7769,1.550170974139887,495.6826705993456,0.310034195057807,28.19761001466356,128.94322160533403,23.686612480752938,14.819634510316934
7770,1.325893659743577,423.53021162488443,0.26517873221737237,32.35180528988001,131.40932058421683,20.750235770064087,12.622507637895897
7771,1.282081123842456,407.13768157739844,0.25641622504631645,30.013519101364064,128.61837830935934,20.30816499650742,12.03874174996508
7772,1.2377647762766188,394.6365435058681,0.24755295554308215,24.124035482975803,122.61297870266428,19.271997561382495,12.018695974510859
7773,2.023497956840272,651.1616424405511,0.40469959154416263,33.91382575317229,172.9686053321019,27.640982087650144,19.18276062897834
7774,2.14631804628268,689.2041877753676,0.42926360942257286,26.7216596738421,160.41581076385714,21.527570002340468,19.316862414883165
7775,1.7131529874828109,543.3436014278137,0.34263059770454674,9.233894601390574,111.01231357229162,12.86577893430272,15.401245355392335
7776,1.5898878154831702,491.92718890221175,0.31797756332072813,2.0350564037399934,72.91225520548572,4.578876908064692,13.847922870697685
7777,1.1308046818879636,346.9195682359284,0.22616093669252818,0.011308047208500514,47.79911388714424,1.085572494628201,9.06905354597577
7778,0.35443638629465307,107.713217414647,0.07088727826265062,0.003544365128926425,12.419450933028186,0.003544365128926425,2.792958715365238
7779,0.3067781030446437,93.11022161636635,0.061355621768906424,0.003067782500648545,10.218778565561701,0.003067782500648545,2.414343660999959
7780,0.23209106880425728,69.70855194172034,0.04641821529572927,0.002320912656068644,8.241553787111412,0.002320912656068644,1.889221286387019
7781,0.3061917853430168,91.50541461698036,0.061238358230806735,0.003061919326554692,10.410520653715126,0.003061919326554692,2.6516208499422733
7782,0.6493053543679775,194.27865487589656,0.12986107142155262,0.006493054225097528,23.45940242921942,0.17531244617945588,6.019060629319032
7783,1.6679949475529368,522.2158580965036,0.33359898972419727,8.039735646184747,80.18051711629538,9.140612311393376,16.246270786830873
7784,1.4788683058241332,473.79982772370835,0.2957736614057251,15.187977498020963,94.9729225809781,11.65348224782137,15.542905891346447
7785,1.7116869113337907,551.8649769994558,0.3423373824749206,21.909592462000766,113.70736150287064,16.07274009524025,17.73307639898151
7786,1.8729109527504677,595.4920373516007,0.37458219074035104,28.355871821277912,132.26497146667376,20.50837493025035,18.972587949190068
