"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Finland (FI)","22.12.2018 14:00 - 22.12.2018 15:00 (CET)","893","n/e","n/e","969","1283","1","n/e","669","n/e","n/e","n/e","1451","n/e","n/e","2799","386","43","n/e","54","n/e","276"
"Finland (FI)","22.12.2018 15:00 - 22.12.2018 16:00 (CET)","884","n/e","n/e","1006","1308","1","n/e","669","n/e","n/e","n/e","1535","n/e","n/e","2798","388","43","n/e","54","n/e","243"
"Finland (FI)","22.12.2018 16:00 - 22.12.2018 17:00 (CET)","888","n/e","n/e","1038","1316","1","n/e","668","n/e","n/e","n/e","1614","n/e","n/e","2798","390","43","n/e","54","n/e","227"
"Finland (FI)","22.12.2018 17:00 - 22.12.2018 18:00 (CET)","889","n/e","n/e","1033","1337","1","n/e","675","n/e","n/e","n/e","1654","n/e","n/e","2798","390","43","n/e","54","n/e","239"
"Finland (FI)","22.12.2018 18:00 - 22.12.2018 19:00 (CET)","892","n/e","n/e","1026","1341","1","n/e","664","n/e","n/e","n/e","1679","n/e","n/e","2797","391","43","n/e","54","n/e","248"
"Finland (FI)","22.12.2018 19:00 - 22.12.2018 20:00 (CET)","900","n/e","n/e","1022","1317","1","n/e","649","n/e","n/e","n/e","1501","n/e","n/e","2797","392","43","n/e","54","n/e","244"
"Finland (FI)","22.12.2018 20:00 - 22.12.2018 21:00 (CET)","906","n/e","n/e","1007","1245","1","n/e","645","n/e","n/e","n/e","1471","n/e","n/e","2797","395","43","n/e","54","n/e","219"
"Finland (FI)","22.12.2018 21:00 - 22.12.2018 22:00 (CET)","890","n/e","n/e","977","1194","1","n/e","644","n/e","n/e","n/e","1298","n/e","n/e","2798","397","43","n/e","54","n/e","192"
"Finland (FI)","22.12.2018 22:00 - 22.12.2018 23:00 (CET)","880","n/e","n/e","974","1156","1","n/e","641","n/e","n/e","n/e","1139","n/e","n/e","2798","398","43","n/e","54","n/e","154"
"Finland (FI)","22.12.2018 23:00 - 23.12.2018 00:00 (CET)","887","n/e","n/e","974","1152","1","n/e","640","n/e","n/e","n/e","1032","n/e","n/e","2797","399","43","n/e","54","n/e","112"
"Finland (FI)","23.12.2018 00:00 - 23.12.2018 01:00 (CET)","888","n/e","n/e","963","1150","1","n/e","639","n/e","n/e","n/e","878","n/e","n/e","2798","400","43","n/e","54","n/e","85"
"Finland (FI)","23.12.2018 01:00 - 23.12.2018 02:00 (CET)","869","n/e","n/e","962","1148","1","n/e","640","n/e","n/e","n/e","789","n/e","n/e","2798","400","43","n/e","54","n/e","79"
"Finland (FI)","23.12.2018 02:00 - 23.12.2018 03:00 (CET)","874","n/e","n/e","914","1147","1","n/e","637","n/e","n/e","n/e","768","n/e","n/e","2798","400","43","n/e","54","n/e","70"
"Finland (FI)","23.12.2018 03:00 - 23.12.2018 04:00 (CET)","870","n/e","n/e","997","1142","1","n/e","632","n/e","n/e","n/e","780","n/e","n/e","2797","402","43","n/e","54","n/e","60"
"Finland (FI)","23.12.2018 04:00 - 23.12.2018 05:00 (CET)","864","n/e","n/e","1001","996","1","n/e","635","n/e","n/e","n/e","854","n/e","n/e","2798","255","43","n/e","54","n/e","64"
"Finland (FI)","23.12.2018 05:00 - 23.12.2018 06:00 (CET)","865","n/e","n/e","994","956","1","n/e","629","n/e","n/e","n/e","1054","n/e","n/e","2798","202","43","n/e","54","n/e","69"
"Finland (FI)","23.12.2018 06:00 - 23.12.2018 07:00 (CET)","869","n/e","n/e","1027","988","1","n/e","637","n/e","n/e","n/e","1209","n/e","n/e","2797","203","43","n/e","54","n/e","75"
"Finland (FI)","23.12.2018 07:00 - 23.12.2018 08:00 (CET)","857","n/e","n/e","1013","995","1","n/e","641","n/e","n/e","n/e","1270","n/e","n/e","2797","203","43","n/e","54","n/e","78"
"Finland (FI)","23.12.2018 08:00 - 23.12.2018 09:00 (CET)","862","n/e","n/e","1001","1005","1","n/e","649","n/e","n/e","n/e","1290","n/e","n/e","2797","203","43","n/e","54","n/e","82"
"Finland (FI)","23.12.2018 09:00 - 23.12.2018 10:00 (CET)","851","n/e","n/e","958","1030","1","n/e","656","n/e","n/e","n/e","1365","n/e","n/e","2797","203","43","n/e","54","n/e","88"
"Finland (FI)","23.12.2018 10:00 - 23.12.2018 11:00 (CET)","834","n/e","n/e","955","1027","1","n/e","659","n/e","n/e","n/e","1517","n/e","n/e","2798","202","43","n/e","54","n/e","79"
"Finland (FI)","23.12.2018 11:00 - 23.12.2018 12:00 (CET)","819","n/e","n/e","960","1024","1","n/e","664","n/e","n/e","n/e","1599","n/e","n/e","2797","197","43","n/e","54","n/e","87"
"Finland (FI)","23.12.2018 12:00 - 23.12.2018 13:00 (CET)","816","n/e","n/e","964","1010","1","n/e","663","n/e","n/e","n/e","1514","n/e","n/e","2798","188","43","n/e","54","n/e","78"
