,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
974,1005.0,839.0,877.0,1.0,450.0,1980.0,2792.0,121.0,42.0,7.0,653.0
975,1009.0,865.0,872.0,1.0,459.0,1923.0,2793.0,125.0,40.0,7.0,677.0
976,1018.0,858.0,874.0,1.0,481.0,1995.0,2793.0,127.0,35.0,7.0,682.0
977,1008.0,880.0,879.0,1.0,482.0,2149.0,2792.0,130.0,35.0,7.0,693.0
978,1004.0,903.0,895.0,1.0,490.0,2096.0,2792.0,133.0,35.0,7.0,678.0
979,1016.0,941.0,893.0,1.0,474.0,1868.0,2793.0,136.0,37.0,7.0,635.0
980,1027.0,943.0,900.0,1.0,475.0,1713.0,2793.0,138.0,38.0,7.0,543.0
981,1010.0,942.0,898.0,1.0,472.0,1629.0,2793.0,139.0,37.0,7.0,470.0
982,1001.0,936.0,889.0,1.0,460.0,1548.0,2793.0,141.0,37.0,7.0,401.0
983,998.0,929.0,884.0,1.0,448.0,1490.0,2793.0,141.0,37.0,7.0,324.0
984,994.0,917.0,876.0,1.0,440.0,1560.0,2794.0,140.0,37.0,7.0,280.0
985,991.0,905.0,878.0,1.0,448.0,1552.0,2793.0,139.0,37.0,7.0,268.0
986,984.0,901.0,878.0,1.0,445.0,1513.0,2793.0,139.0,39.0,7.0,238.0
987,978.0,904.0,879.0,1.0,454.0,1513.0,2793.0,139.0,38.0,7.0,237.0
988,971.0,903.0,869.0,1.0,464.0,1486.0,2793.0,139.0,37.0,7.0,244.0
989,968.0,911.0,867.0,1.0,468.0,1491.0,2793.0,139.0,37.0,7.0,239.0
990,935.0,936.0,867.0,1.0,471.0,1603.0,2794.0,141.0,38.0,7.0,243.0
991,982.0,934.0,865.0,1.0,473.0,1679.0,2793.0,141.0,39.0,7.0,260.0
992,1006.0,925.0,867.0,1.0,493.0,1765.0,2794.0,141.0,39.0,7.0,270.0
993,1002.0,938.0,866.0,1.0,487.0,1929.0,2794.0,138.0,38.0,7.0,253.0
994,998.0,939.0,870.0,1.0,473.0,1941.0,2794.0,134.0,37.0,7.0,210.0
995,972.0,941.0,871.0,1.0,474.0,1933.0,2793.0,130.0,38.0,7.0,179.0
996,981.0,940.0,875.0,1.0,462.0,1962.0,2793.0,128.0,37.0,7.0,174.0
997,983.0,945.0,893.0,1.0,457.0,1890.0,2792.0,126.0,37.0,7.0,159.0
998,973.0,958.0,889.0,1.0,465.0,1895.0,2793.0,128.0,40.0,7.0,196.0
999,984.0,951.0,879.0,1.0,473.0,1919.0,2794.0,130.0,40.0,7.0,256.0
1000,991.0,938.0,882.0,1.0,469.0,1952.0,2794.0,133.0,40.0,7.0,304.0
1001,994.0,927.0,904.0,1.0,481.0,2051.0,2794.0,135.0,40.0,7.0,338.0
1002,1002.0,925.0,894.0,1.0,488.0,2076.0,2793.0,135.0,40.0,7.0,375.0
1003,995.0,919.0,897.0,1.0,481.0,2034.0,2793.0,135.0,41.0,7.0,374.0
1004,981.0,910.0,898.0,1.0,475.0,1826.0,2793.0,135.0,42.0,7.0,387.0
1005,976.0,916.0,910.0,1.0,480.0,1677.0,2793.0,133.0,42.0,7.0,372.0
1006,966.0,918.0,904.0,1.0,466.0,1639.0,2793.0,133.0,42.0,7.0,367.0
1007,965.0,916.0,906.0,1.0,453.0,1579.0,2793.0,133.0,41.0,7.0,381.0
1008,970.0,916.0,906.0,1.0,446.0,1566.0,2793.0,133.0,40.0,7.0,390.0
1009,966.0,910.0,903.0,1.0,459.0,1530.0,2793.0,131.0,39.0,7.0,394.0
1010,965.0,917.0,903.0,1.0,452.0,1457.0,2793.0,131.0,39.0,7.0,410.0
1011,959.0,906.0,900.0,1.0,456.0,1485.0,2794.0,130.0,40.0,7.0,432.0
1012,971.0,887.0,902.0,1.0,450.0,1694.0,2794.0,129.0,40.0,7.0,436.0
1013,986.0,872.0,921.0,1.0,481.0,1995.0,2793.0,128.0,40.0,7.0,444.0
1014,990.0,875.0,964.0,1.0,542.0,2246.0,2793.0,128.0,40.0,7.0,431.0
1015,1013.0,901.0,1045.0,1.0,553.0,2368.0,2792.0,128.0,40.0,8.0,446.0
1016,1006.0,937.0,1051.0,1.0,536.0,2335.0,2793.0,124.0,40.0,17.0,451.0
1017,1004.0,947.0,1049.0,1.0,541.0,2416.0,2793.0,120.0,42.0,15.0,439.0
1018,1009.0,942.0,1052.0,1.0,548.0,2378.0,2792.0,116.0,44.0,7.0,408.0
1019,1004.0,939.0,1055.0,1.0,547.0,2222.0,2793.0,113.0,44.0,7.0,411.0
1020,1011.0,935.0,1063.0,1.0,542.0,2100.0,2794.0,111.0,44.0,7.0,415.0
1021,1007.0,945.0,1064.0,1.0,543.0,2238.0,2792.0,111.0,44.0,7.0,471.0
1022,1007.0,941.0,1059.0,1.0,546.0,2450.0,2792.0,111.0,44.0,7.0,501.0
1023,1003.0,951.0,1080.0,1.0,556.0,2368.0,2792.0,112.0,44.0,7.0,586.0
1024,1006.0,954.0,1085.0,1.0,556.0,2171.0,2794.0,114.0,43.0,7.0,699.0
1025,1007.0,919.0,1079.0,1.0,564.0,2241.0,2793.0,115.0,45.0,7.0,781.0
1026,1000.0,885.0,1073.0,1.0,568.0,2199.0,2793.0,113.0,32.0,7.0,815.0
1027,978.0,876.0,1033.0,1.0,543.0,1972.0,2793.0,111.0,33.0,7.0,842.0
1028,972.0,871.0,926.0,1.0,494.0,1844.0,2793.0,109.0,30.0,7.0,835.0
1029,957.0,857.0,915.0,1.0,476.0,1740.0,2793.0,107.0,30.0,7.0,804.0
1030,946.0,908.0,909.0,1.0,456.0,1632.0,2792.0,107.0,35.0,7.0,819.0
1031,935.0,910.0,880.0,1.0,447.0,1604.0,2793.0,105.0,40.0,7.0,843.0
1032,927.0,915.0,864.0,1.0,448.0,1474.0,2793.0,105.0,41.0,9.0,853.0
1033,932.0,926.0,866.0,1.0,445.0,1473.0,2793.0,105.0,41.0,14.0,854.0
1034,934.0,905.0,867.0,1.0,446.0,1482.0,2793.0,102.0,41.0,14.0,899.0
1035,936.0,883.0,868.0,1.0,446.0,1559.0,2793.0,100.0,41.0,14.0,941.0
1036,920.0,890.0,866.0,1.0,440.0,1585.0,2793.0,99.0,41.0,14.0,962.0
1037,933.0,901.0,879.0,1.0,470.0,1879.0,2793.0,98.0,41.0,14.0,1011.0
1038,958.0,945.0,950.0,1.0,511.0,2232.0,2793.0,97.0,33.0,14.0,1054.0
1039,988.0,948.0,1046.0,1.0,539.0,2177.0,2792.0,96.0,32.0,14.0,1090.0
1040,984.0,946.0,1066.0,170.0,549.0,2281.0,2793.0,94.0,33.0,14.0,1045.0
1041,974.0,956.0,1069.0,23.0,552.0,2369.0,2792.0,90.0,33.0,14.0,998.0
1042,940.0,929.0,1049.0,1.0,550.0,2338.0,2793.0,86.0,33.0,14.0,982.0
1043,907.0,908.0,999.0,0.0,525.0,2168.0,2792.0,84.0,33.0,14.0,960.0
1044,907.0,913.0,968.0,0.0,479.0,2063.0,2792.0,82.0,33.0,17.0,985.0
1045,909.0,933.0,969.0,1.0,469.0,2071.0,2793.0,80.0,33.0,19.0,1017.0
1046,912.0,948.0,961.0,1.0,479.0,2242.0,2792.0,80.0,33.0,21.0,1076.0
1047,942.0,955.0,963.0,1.0,527.0,2169.0,2792.0,80.0,33.0,28.0,1154.0
1048,961.0,957.0,1009.0,1.0,553.0,2244.0,2792.0,80.0,33.0,28.0,1181.0
1049,966.0,943.0,1052.0,1.0,555.0,2317.0,2792.0,80.0,33.0,34.0,1167.0
1050,966.0,931.0,1048.0,1.0,554.0,2326.0,2792.0,80.0,33.0,33.0,1137.0
1051,951.0,923.0,985.0,1.0,535.0,2309.0,2792.0,80.0,33.0,24.0,1157.0
1052,932.0,931.0,914.0,1.0,500.0,2129.0,2793.0,80.0,33.0,17.0,1151.0
1053,925.0,926.0,892.0,1.0,452.0,2043.0,2792.0,80.0,35.0,12.0,1133.0
1054,910.0,900.0,855.0,1.0,443.0,1935.0,2793.0,81.0,38.0,7.0,1135.0
1055,909.0,841.0,833.0,1.0,443.0,1849.0,2793.0,81.0,38.0,7.0,1130.0
1056,905.0,836.0,824.0,1.0,438.0,1771.0,2793.0,81.0,35.0,7.0,1104.0
1057,895.0,831.0,819.0,1.0,444.0,1756.0,2792.0,81.0,36.0,7.0,1081.0
1058,889.0,801.0,821.0,1.0,443.0,1747.0,2793.0,81.0,38.0,7.0,1074.0
1059,888.0,786.0,826.0,1.0,443.0,1765.0,2793.0,81.0,39.0,7.0,1075.0
1060,902.0,837.0,868.0,1.0,447.0,1880.0,2793.0,81.0,39.0,9.0,1037.0
1061,899.0,903.0,940.0,1.0,482.0,2019.0,2792.0,81.0,39.0,17.0,1003.0
1062,925.0,935.0,995.0,1.0,537.0,2055.0,2792.0,80.0,39.0,26.0,981.0
1063,961.0,937.0,1024.0,1.0,565.0,2147.0,2793.0,79.0,39.0,35.0,967.0
1064,960.0,938.0,1047.0,1.0,573.0,2264.0,2794.0,80.0,39.0,35.0,905.0
1065,959.0,918.0,1036.0,1.0,564.0,2162.0,2793.0,79.0,39.0,35.0,878.0
1066,957.0,872.0,1018.0,1.0,567.0,2167.0,2792.0,77.0,39.0,35.0,853.0
1067,922.0,838.0,971.0,1.0,539.0,2006.0,2793.0,77.0,39.0,35.0,848.0
1068,908.0,827.0,951.0,1.0,524.0,1964.0,2792.0,75.0,39.0,35.0,832.0
1069,915.0,829.0,1017.0,1.0,527.0,1959.0,2793.0,75.0,39.0,35.0,848.0
1070,940.0,884.0,1056.0,1.0,553.0,2153.0,2792.0,75.0,39.0,35.0,900.0
1071,928.0,908.0,1055.0,1.0,561.0,2161.0,2792.0,75.0,39.0,35.0,940.0
1072,950.0,893.0,1058.0,1.0,572.0,2133.0,2792.0,75.0,39.0,32.0,986.0
1073,960.0,925.0,1054.0,1.0,572.0,2199.0,2793.0,77.0,39.0,33.0,1022.0
1074,958.0,940.0,1005.0,1.0,573.0,2195.0,2793.0,77.0,38.0,30.0,1108.0
1075,945.0,931.0,909.0,1.0,542.0,1924.0,2792.0,78.0,40.0,23.0,1144.0
1076,948.0,934.0,904.0,1.0,503.0,1853.0,2792.0,80.0,40.0,23.0,1135.0
1077,939.0,942.0,879.0,1.0,471.0,1707.0,2793.0,80.0,40.0,20.0,1172.0
1078,935.0,910.0,831.0,1.0,456.0,1594.0,2792.0,80.0,40.0,13.0,1201.0
1079,943.0,898.0,810.0,1.0,446.0,1498.0,2791.0,82.0,40.0,14.0,1192.0
1080,932.0,910.0,802.0,1.0,438.0,1447.0,2792.0,82.0,40.0,14.0,1182.0
1081,924.0,906.0,801.0,1.0,456.0,1430.0,2792.0,83.0,40.0,14.0,1185.0
1082,934.0,900.0,793.0,1.0,515.0,1395.0,2793.0,84.0,38.0,14.0,1131.0
1083,935.0,918.0,789.0,1.0,535.0,1406.0,2793.0,85.0,40.0,14.0,1135.0
1084,950.0,1011.0,801.0,1.0,540.0,1522.0,2793.0,86.0,42.0,14.0,1142.0
1085,953.0,1050.0,866.0,1.0,566.0,1747.0,2793.0,86.0,41.0,14.0,1139.0
1086,963.0,1072.0,919.0,1.0,637.0,2021.0,2793.0,87.0,42.0,15.0,1178.0
1087,972.0,1072.0,989.0,1.0,685.0,2103.0,2795.0,87.0,42.0,19.0,1198.0
1088,979.0,1068.0,971.0,15.0,691.0,2098.0,2793.0,88.0,40.0,19.0,1173.0
1089,976.0,1055.0,971.0,28.0,657.0,2137.0,2792.0,88.0,42.0,19.0,1127.0
1090,982.0,1032.0,998.0,0.0,616.0,2102.0,2792.0,88.0,44.0,19.0,1102.0
1091,973.0,1046.0,996.0,0.0,597.0,1933.0,2792.0,88.0,43.0,19.0,1050.0
1092,971.0,1040.0,985.0,0.0,587.0,1987.0,2792.0,88.0,38.0,17.0,1009.0
1093,981.0,1046.0,984.0,0.0,600.0,2043.0,2792.0,89.0,39.0,17.0,964.0
1094,980.0,1046.0,984.0,0.0,626.0,2155.0,2792.0,90.0,39.0,17.0,919.0
1095,999.0,1052.0,1037.0,0.0,676.0,2210.0,2792.0,96.0,39.0,18.0,927.0
1096,1010.0,1065.0,1092.0,0.0,697.0,2177.0,2792.0,102.0,41.0,27.0,1007.0
1097,1004.0,1076.0,1099.0,0.0,697.0,2263.0,2792.0,107.0,43.0,29.0,1059.0
1098,990.0,1078.0,1097.0,0.0,679.0,2231.0,2791.0,110.0,44.0,25.0,1058.0
1099,981.0,1074.0,1045.0,0.0,644.0,1954.0,2792.0,112.0,44.0,18.0,994.0
1100,983.0,1079.0,975.0,0.0,621.0,1811.0,2792.0,116.0,44.0,8.0,953.0
1101,970.0,1079.0,898.0,0.0,618.0,1697.0,2792.0,120.0,44.0,8.0,874.0
1102,975.0,903.0,889.0,0.0,615.0,1758.0,2791.0,123.0,43.0,8.0,792.0
1103,972.0,786.0,871.0,0.0,614.0,1745.0,2791.0,125.0,42.0,8.0,716.0
1104,956.0,828.0,868.0,0.0,616.0,1632.0,2792.0,129.0,42.0,8.0,650.0
1105,957.0,832.0,871.0,0.0,625.0,1474.0,2792.0,131.0,42.0,8.0,600.0
1106,966.0,841.0,876.0,0.0,627.0,1475.0,2791.0,134.0,40.0,8.0,531.0
1107,968.0,847.0,875.0,0.0,624.0,1549.0,2791.0,135.0,41.0,8.0,497.0
1108,975.0,845.0,877.0,0.0,639.0,1632.0,2791.0,136.0,41.0,9.0,473.0
1109,986.0,836.0,932.0,0.0,665.0,1882.0,2792.0,137.0,41.0,17.0,476.0
1110,996.0,828.0,1000.0,0.0,727.0,2040.0,2791.0,138.0,41.0,27.0,439.0
1111,1002.0,811.0,997.0,0.0,824.0,2238.0,2791.0,142.0,41.0,33.0,396.0
1112,1008.0,822.0,1014.0,0.0,845.0,2371.0,2790.0,142.0,41.0,33.0,349.0
1113,1009.0,814.0,1029.0,0.0,836.0,2385.0,2790.0,135.0,41.0,34.0,290.0
1114,1038.0,813.0,1028.0,0.0,826.0,2348.0,2791.0,129.0,41.0,29.0,248.0
1115,1055.0,816.0,1013.0,0.0,807.0,2206.0,2790.0,123.0,41.0,29.0,200.0
1116,1063.0,836.0,999.0,0.0,805.0,2197.0,2791.0,122.0,41.0,31.0,167.0
1117,1064.0,900.0,999.0,0.0,820.0,2205.0,2791.0,120.0,40.0,33.0,127.0
1118,1056.0,986.0,998.0,0.0,824.0,2232.0,2791.0,122.0,40.0,29.0,113.0
1119,1039.0,1059.0,997.0,0.0,830.0,2332.0,2791.0,127.0,37.0,28.0,107.0
1120,1040.0,1057.0,1024.0,0.0,853.0,2294.0,2791.0,135.0,38.0,31.0,125.0
1121,1028.0,1057.0,1029.0,0.0,850.0,2421.0,2792.0,143.0,38.0,32.0,148.0
1122,1040.0,1055.0,1022.0,0.0,856.0,2300.0,2791.0,147.0,38.0,30.0,177.0
1123,1039.0,1054.0,963.0,0.0,811.0,2152.0,2792.0,150.0,38.0,24.0,211.0
1124,1036.0,1062.0,895.0,1.0,755.0,1997.0,2792.0,152.0,39.0,15.0,229.0
1125,1017.0,1050.0,876.0,1.0,728.0,1777.0,2792.0,156.0,39.0,9.0,163.0
1126,996.0,1032.0,863.0,1.0,718.0,1704.0,2792.0,159.0,40.0,9.0,119.0
1127,972.0,1023.0,862.0,1.0,707.0,1620.0,2792.0,162.0,41.0,9.0,93.0
1128,961.0,1024.0,853.0,1.0,696.0,1490.0,2792.0,166.0,41.0,9.0,58.0
1129,955.0,1025.0,846.0,1.0,706.0,1479.0,2793.0,166.0,41.0,9.0,37.0
1130,951.0,1016.0,845.0,1.0,705.0,1502.0,2793.0,165.0,41.0,9.0,33.0
1131,968.0,1025.0,846.0,1.0,714.0,1511.0,2793.0,163.0,41.0,9.0,33.0
1132,970.0,1026.0,844.0,1.0,713.0,1478.0,2793.0,162.0,39.0,9.0,35.0
1133,969.0,1019.0,839.0,1.0,713.0,1505.0,2793.0,162.0,42.0,9.0,37.0
1134,969.0,1037.0,858.0,1.0,714.0,1675.0,2793.0,160.0,42.0,9.0,29.0
1135,979.0,1055.0,877.0,1.0,729.0,1877.0,2792.0,161.0,42.0,9.0,31.0
1136,986.0,1035.0,932.0,1.0,733.0,2021.0,2793.0,159.0,42.0,9.0,26.0
1137,984.0,1027.0,976.0,1.0,799.0,2244.0,2793.0,153.0,42.0,9.0,18.0
1138,980.0,1011.0,976.0,1.0,818.0,2302.0,2793.0,143.0,41.0,9.0,12.0
1139,974.0,1009.0,961.0,1.0,814.0,2196.0,2792.0,135.0,42.0,9.0,8.0
1140,971.0,1024.0,939.0,1.0,778.0,2151.0,2791.0,130.0,42.0,9.0,7.0
1141,971.0,1045.0,881.0,1.0,705.0,2142.0,2792.0,129.0,42.0,9.0,8.0
1142,968.0,1043.0,843.0,1.0,702.0,2116.0,2793.0,131.0,42.0,9.0,10.0
1143,991.0,1045.0,843.0,1.0,715.0,2128.0,2793.0,135.0,42.0,9.0,12.0
1144,997.0,1015.0,877.0,1.0,788.0,2268.0,2794.0,144.0,42.0,9.0,21.0
1145,1015.0,1042.0,972.0,1.0,850.0,2401.0,2794.0,151.0,42.0,9.0,34.0
1146,1038.0,1043.0,1007.0,1.0,856.0,2335.0,2793.0,156.0,42.0,9.0,47.0
1147,1041.0,1047.0,1012.0,1.0,854.0,2197.0,2793.0,163.0,42.0,9.0,46.0
1148,1041.0,1042.0,953.0,1.0,825.0,2128.0,2794.0,167.0,42.0,9.0,52.0
1149,1033.0,1041.0,888.0,1.0,749.0,1897.0,2794.0,175.0,42.0,9.0,51.0
1150,1034.0,1042.0,869.0,1.0,733.0,1712.0,2793.0,178.0,42.0,9.0,42.0
1151,1041.0,1055.0,870.0,1.0,705.0,1668.0,2793.0,180.0,42.0,9.0,40.0
1152,1031.0,1046.0,857.0,1.0,689.0,1555.0,2794.0,182.0,42.0,9.0,37.0
1153,1034.0,1032.0,850.0,1.0,689.0,1485.0,2793.0,184.0,42.0,9.0,45.0
1154,1032.0,1049.0,851.0,1.0,691.0,1485.0,2793.0,185.0,42.0,9.0,52.0
1155,1031.0,1067.0,857.0,1.0,686.0,1428.0,2793.0,185.0,42.0,9.0,47.0
1156,1048.0,1070.0,861.0,1.0,690.0,1509.0,2793.0,188.0,42.0,9.0,48.0
1157,1048.0,1041.0,867.0,1.0,702.0,1607.0,2793.0,192.0,42.0,9.0,50.0
1158,1042.0,1044.0,868.0,1.0,698.0,1692.0,2793.0,193.0,42.0,9.0,47.0
1159,1052.0,1045.0,856.0,1.0,694.0,1787.0,2792.0,194.0,42.0,9.0,41.0
1160,1051.0,1038.0,846.0,1.0,694.0,1780.0,2793.0,190.0,42.0,9.0,37.0
1161,1059.0,1035.0,837.0,1.0,689.0,1888.0,2792.0,179.0,42.0,9.0,25.0
1162,1047.0,1030.0,822.0,1.0,688.0,1936.0,2793.0,164.0,42.0,9.0,9.0
1163,1037.0,1022.0,810.0,1.0,681.0,1874.0,2792.0,155.0,42.0,9.0,5.0
1164,1041.0,1021.0,806.0,1.0,674.0,1915.0,2793.0,151.0,41.0,9.0,5.0
1165,1030.0,1036.0,809.0,1.0,669.0,1924.0,2794.0,146.0,42.0,9.0,5.0
1166,1033.0,1035.0,802.0,1.0,671.0,1990.0,2793.0,146.0,42.0,9.0,11.0
1167,1044.0,1041.0,798.0,1.0,698.0,2000.0,2793.0,152.0,42.0,9.0,18.0
1168,1047.0,1035.0,794.0,1.0,743.0,1918.0,2793.0,166.0,42.0,9.0,41.0
1169,1050.0,1025.0,884.0,1.0,814.0,2158.0,2794.0,178.0,42.0,9.0,49.0
1170,1050.0,1022.0,942.0,1.0,856.0,2259.0,2793.0,185.0,42.0,9.0,52.0
1171,1054.0,997.0,904.0,1.0,829.0,2148.0,2793.0,192.0,42.0,9.0,59.0
1172,1051.0,964.0,834.0,1.0,750.0,1926.0,2793.0,198.0,42.0,9.0,53.0
1173,1048.0,953.0,818.0,1.0,709.0,1863.0,2793.0,204.0,42.0,9.0,54.0
1174,1044.0,915.0,814.0,1.0,708.0,1780.0,2793.0,209.0,42.0,9.0,48.0
1175,1042.0,864.0,810.0,1.0,682.0,1697.0,2793.0,212.0,42.0,9.0,47.0
1176,1038.0,860.0,812.0,1.0,685.0,1563.0,2793.0,215.0,42.0,9.0,51.0
1177,1033.0,894.0,812.0,1.0,698.0,1520.0,2794.0,219.0,42.0,9.0,64.0
1178,1037.0,909.0,810.0,1.0,701.0,1527.0,2793.0,221.0,42.0,9.0,88.0
1179,1033.0,891.0,912.0,1.0,713.0,1573.0,2792.0,327.0,42.0,7.0,95.0
1180,1034.0,906.0,1046.0,1.0,747.0,1609.0,2793.0,448.0,42.0,7.0,135.0
1181,1053.0,1003.0,1184.0,1.0,831.0,2113.0,2794.0,467.0,42.0,7.0,181.0
1182,1069.0,1047.0,1268.0,1.0,851.0,2366.0,2793.0,510.0,42.0,7.0,209.0
1183,1079.0,1049.0,1300.0,1.0,857.0,2287.0,2792.0,516.0,41.0,7.0,214.0
1184,1068.0,1060.0,1260.0,1.0,872.0,2434.0,2795.0,514.0,37.0,7.0,190.0
1185,1067.0,1103.0,1146.0,1.0,885.0,2490.0,2794.0,502.0,41.0,19.0,158.0
1186,1058.0,1100.0,1152.0,1.0,888.0,2451.0,2791.0,485.0,41.0,20.0,125.0
1187,1041.0,1113.0,1151.0,1.0,892.0,2247.0,2791.0,467.0,41.0,11.0,83.0
1188,1041.0,1103.0,1151.0,1.0,893.0,2132.0,2792.0,457.0,41.0,8.0,62.0
1189,1045.0,1085.0,1143.0,1.0,892.0,2144.0,2793.0,455.0,39.0,8.0,69.0
1190,1055.0,1073.0,1132.0,1.0,891.0,2195.0,2792.0,455.0,41.0,8.0,101.0
1191,1054.0,1073.0,1131.0,1.0,884.0,2151.0,2792.0,460.0,41.0,8.0,190.0
1192,1054.0,1062.0,1141.0,1.0,888.0,2148.0,2792.0,475.0,41.0,8.0,337.0
1193,1046.0,1049.0,1151.0,1.0,879.0,2368.0,2793.0,484.0,41.0,8.0,461.0
1194,1045.0,1048.0,1152.0,1.0,888.0,2386.0,2793.0,494.0,41.0,8.0,495.0
1195,1050.0,1024.0,1162.0,1.0,879.0,2180.0,2793.0,499.0,41.0,8.0,521.0
1196,1043.0,988.0,1157.0,1.0,871.0,1999.0,2793.0,498.0,41.0,8.0,487.0
1197,1039.0,997.0,1127.0,1.0,844.0,1868.0,2793.0,473.0,41.0,8.0,399.0
1198,1044.0,925.0,1100.0,1.0,833.0,1821.0,2793.0,473.0,41.0,8.0,325.0
1199,1048.0,850.0,1007.0,1.0,755.0,1763.0,2793.0,447.0,41.0,8.0,249.0
1200,1031.0,845.0,1024.0,1.0,712.0,1616.0,2793.0,448.0,41.0,8.0,182.0
1201,1028.0,853.0,1035.0,1.0,710.0,1595.0,2793.0,454.0,41.0,8.0,147.0
1202,1048.0,838.0,1037.0,1.0,716.0,1596.0,2793.0,457.0,41.0,8.0,130.0
1203,1065.0,811.0,1043.0,1.0,777.0,1628.0,2792.0,462.0,41.0,8.0,109.0
1204,1059.0,913.0,1170.0,1.0,855.0,1728.0,2793.0,497.0,39.0,8.0,112.0
1205,1040.0,1066.0,1268.0,1.0,880.0,2197.0,2794.0,547.0,38.0,19.0,106.0
1206,1050.0,1073.0,1303.0,1.0,885.0,2338.0,2792.0,548.0,41.0,29.0,94.0
1207,1035.0,1065.0,1310.0,1.0,890.0,2304.0,2793.0,547.0,40.0,25.0,81.0
1208,1038.0,1068.0,1317.0,24.0,894.0,2445.0,2792.0,533.0,40.0,16.0,57.0
1209,1039.0,1055.0,1325.0,1.0,899.0,2458.0,2794.0,513.0,39.0,8.0,48.0
1210,1033.0,1073.0,1323.0,1.0,901.0,2393.0,2795.0,495.0,42.0,8.0,36.0
1211,1029.0,1074.0,1313.0,1.0,904.0,2127.0,2793.0,482.0,43.0,8.0,17.0
1212,1030.0,1088.0,1299.0,1.0,885.0,2073.0,2792.0,468.0,41.0,8.0,11.0
1213,1022.0,1108.0,1285.0,1.0,881.0,2052.0,2793.0,456.0,43.0,8.0,22.0
1214,1021.0,1102.0,1283.0,1.0,890.0,2164.0,2792.0,458.0,41.0,8.0,37.0
1215,1045.0,1072.0,1300.0,1.0,890.0,2186.0,2792.0,463.0,43.0,9.0,56.0
1216,1033.0,1068.0,1300.0,1.0,888.0,2139.0,2794.0,473.0,40.0,16.0,76.0
1217,1044.0,1086.0,1309.0,3.0,886.0,2345.0,2794.0,483.0,40.0,24.0,86.0
1218,1045.0,1117.0,1352.0,1.0,889.0,2333.0,2792.0,487.0,40.0,26.0,97.0
1219,1044.0,1114.0,1368.0,1.0,889.0,2215.0,2792.0,492.0,40.0,18.0,84.0
1220,1048.0,1029.0,1317.0,1.0,893.0,2070.0,2792.0,464.0,39.0,9.0,88.0
1221,1041.0,905.0,1286.0,1.0,883.0,1810.0,2792.0,439.0,38.0,8.0,101.0
1222,1045.0,818.0,1264.0,1.0,805.0,1728.0,2792.0,434.0,38.0,8.0,110.0
1223,1048.0,745.0,1178.0,1.0,747.0,1607.0,2792.0,440.0,38.0,8.0,115.0
1224,1042.0,729.0,1172.0,1.0,723.0,1687.0,2792.0,433.0,38.0,8.0,123.0
1225,1049.0,728.0,1167.0,1.0,721.0,1714.0,2791.0,435.0,38.0,8.0,130.0
1226,1055.0,710.0,1164.0,1.0,719.0,1638.0,2793.0,438.0,39.0,7.0,140.0
1227,1049.0,715.0,1165.0,1.0,741.0,1673.0,2793.0,438.0,39.0,7.0,160.0
1228,1036.0,805.0,1255.0,1.0,789.0,1797.0,2792.0,458.0,41.0,7.0,146.0
1229,1043.0,982.0,1420.0,1.0,868.0,2216.0,2792.0,523.0,41.0,11.0,132.0
1230,1046.0,1033.0,1486.0,1.0,877.0,2366.0,2793.0,536.0,41.0,13.0,142.0
1231,1052.0,1053.0,1523.0,1.0,880.0,2267.0,2793.0,540.0,39.0,20.0,181.0
1232,1072.0,1014.0,1524.0,19.0,878.0,2342.0,2792.0,532.0,42.0,26.0,198.0
1233,1067.0,1015.0,1521.0,19.0,886.0,2311.0,2792.0,515.0,42.0,32.0,192.0
1234,1052.0,1026.0,1535.0,1.0,896.0,2239.0,2793.0,500.0,40.0,26.0,171.0
1235,1044.0,1018.0,1538.0,1.0,892.0,2185.0,2794.0,485.0,42.0,17.0,148.0
1236,1027.0,1023.0,1510.0,1.0,880.0,1975.0,2793.0,472.0,40.0,7.0,146.0
1237,1023.0,1016.0,1471.0,1.0,873.0,2131.0,2792.0,460.0,42.0,7.0,161.0
1238,1037.0,1022.0,1485.0,1.0,879.0,2113.0,2792.0,458.0,42.0,7.0,198.0
1239,1027.0,1033.0,1496.0,1.0,897.0,2175.0,2791.0,463.0,42.0,7.0,221.0
1240,1030.0,1054.0,1508.0,1.0,897.0,2237.0,2792.0,475.0,42.0,7.0,270.0
1241,1031.0,1050.0,1523.0,1.0,865.0,2261.0,2791.0,483.0,40.0,7.0,325.0
1242,1033.0,1083.0,1523.0,1.0,879.0,2233.0,2790.0,490.0,40.0,7.0,395.0
1243,1036.0,1074.0,1501.0,1.0,890.0,2116.0,2791.0,498.0,40.0,7.0,424.0
1244,1033.0,1037.0,1450.0,1.0,892.0,1913.0,2791.0,467.0,40.0,7.0,435.0
1245,1022.0,958.0,1387.0,1.0,870.0,1839.0,2791.0,445.0,40.0,7.0,416.0
1246,1017.0,943.0,1308.0,1.0,795.0,1757.0,2791.0,464.0,40.0,7.0,432.0
