,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
186,0.0,5912.0,72.0,1223.0,11673.0,210.0,199.0,347.0,43.0,958.0
187,0.0,5915.0,72.0,1085.0,11806.0,214.0,74.0,346.0,43.0,1062.0
188,0.0,5880.0,72.0,1085.0,11409.0,215.0,24.0,345.0,5.0,1100.0
189,0.0,5489.0,73.0,1064.0,10466.0,216.0,21.0,339.0,0.0,1023.0
190,0.0,4870.0,74.0,822.0,9708.0,216.0,21.0,301.0,0.0,1119.0
191,0.0,4236.0,73.0,615.0,9365.0,217.0,2.0,294.0,0.0,1242.0
192,0.0,3855.0,75.0,629.0,9118.0,217.0,0.0,277.0,0.0,1504.0
193,0.0,3992.0,75.0,612.0,9105.0,216.0,0.0,274.0,0.0,1645.0
194,0.0,3882.0,76.0,612.0,9094.0,214.0,0.0,273.0,0.0,1886.0
195,0.0,3739.0,74.0,613.0,9059.0,214.0,0.0,273.0,0.0,2135.0
196,0.0,3769.0,70.0,614.0,9081.0,214.0,0.0,273.0,0.0,2413.0
197,0.0,4172.0,66.0,637.0,9142.0,214.0,0.0,273.0,0.0,2636.0
198,0.0,5342.0,67.0,639.0,9388.0,214.0,0.0,284.0,0.0,3026.0
199,0.0,6011.0,69.0,663.0,10015.0,216.0,0.0,303.0,0.0,3297.0
200,0.0,5979.0,74.0,754.0,9968.0,219.0,18.0,331.0,0.0,3389.0
201,0.0,5987.0,73.0,878.0,9777.0,218.0,117.0,344.0,50.0,3394.0
202,0.0,5969.0,72.0,913.0,9618.0,215.0,172.0,357.0,57.0,3308.0
203,0.0,5861.0,72.0,951.0,9706.0,218.0,275.0,359.0,57.0,3154.0
204,0.0,5690.0,71.0,1052.0,9633.0,215.0,335.0,358.0,7.0,3211.0
