,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
282,206.0,3629.0,1468.0,764.0,1094.0,198.0,120.0,2.0,952.0
283,207.0,3681.0,1469.0,860.0,1204.0,476.0,119.0,0.0,1202.0
284,205.0,3592.0,1468.0,1101.0,1261.0,483.0,120.0,0.0,1306.0
285,203.0,3364.0,1468.0,1210.0,887.0,389.0,119.0,0.0,1497.0
286,199.0,3394.0,1467.0,863.0,808.0,150.0,120.0,0.0,1775.0
287,202.0,3125.0,1459.0,388.0,749.0,143.0,121.0,0.0,2027.0
288,201.0,2050.0,1410.0,278.0,430.0,267.0,121.0,0.0,2208.0
289,201.0,1433.0,1409.0,229.0,299.0,366.0,121.0,0.0,2180.0
290,205.0,1261.0,1410.0,1.0,222.0,117.0,122.0,0.0,2278.0
291,202.0,1273.0,1410.0,0.0,195.0,76.0,122.0,0.0,2624.0
292,205.0,1312.0,1391.0,0.0,206.0,76.0,122.0,0.0,2843.0
293,200.0,1375.0,1377.0,0.0,211.0,76.0,119.0,0.0,2690.0
294,199.0,1378.0,1409.0,0.0,223.0,76.0,122.0,0.0,2264.0
295,200.0,1656.0,1409.0,0.0,343.0,76.0,119.0,0.0,2104.0
296,200.0,2306.0,1470.0,45.0,409.0,82.0,120.0,0.0,1625.0
297,201.0,3185.0,1417.0,350.0,483.0,121.0,119.0,8.0,1131.0
298,205.0,3392.0,1412.0,894.0,585.0,296.0,119.0,58.0,795.0
299,204.0,3657.0,1410.0,682.0,638.0,385.0,120.0,117.0,754.0
300,204.0,3606.0,1411.0,555.0,605.0,338.0,119.0,241.0,799.0
301,206.0,3555.0,1411.0,657.0,587.0,246.0,117.0,257.0,1186.0
302,200.0,3448.0,1412.0,23.0,559.0,123.0,115.0,263.0,1589.0
303,202.0,3350.0,1413.0,0.0,331.0,84.0,118.0,228.0,1794.0
