,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
1975,39.0,2501.0,304.0,58.0,0.0,282.0,1001.0,2106.0,9.0,4.0,41.0
1976,38.0,2549.0,306.0,58.0,0.0,275.0,1217.0,2106.0,22.0,4.0,31.0
1977,39.0,2549.0,310.0,59.0,0.0,272.0,1231.0,2103.0,50.0,4.0,36.0
1978,38.0,2544.0,324.0,57.0,0.0,265.0,1062.0,2102.0,89.0,4.0,59.0
1979,37.0,2534.0,309.0,56.0,0.0,157.0,912.0,2105.0,92.0,4.0,61.0
1980,35.0,2492.0,310.0,56.0,0.0,150.0,800.0,2105.0,93.0,4.0,53.0
1981,35.0,2487.0,309.0,62.0,0.0,139.0,755.0,2104.0,80.0,4.0,50.0
1982,34.0,2504.0,308.0,61.0,0.0,140.0,808.0,2105.0,46.0,4.0,40.0
1983,34.0,2540.0,309.0,61.0,0.0,140.0,890.0,2107.0,27.0,4.0,22.0
1984,35.0,2515.0,309.0,77.0,0.0,164.0,1157.0,2104.0,15.0,4.0,18.0
1985,34.0,2585.0,312.0,61.0,195.0,167.0,1206.0,2104.0,0.0,4.0,20.0
1986,34.0,2584.0,306.0,59.0,386.0,168.0,1257.0,2104.0,0.0,4.0,22.0
1987,33.0,2537.0,297.0,58.0,190.0,169.0,1211.0,2103.0,0.0,4.0,25.0
1988,34.0,2420.0,298.0,57.0,131.0,162.0,1096.0,2103.0,0.0,4.0,20.0
1989,34.0,2396.0,298.0,57.0,133.0,138.0,987.0,2103.0,0.0,4.0,29.0
1990,33.0,2277.0,298.0,57.0,109.0,134.0,946.0,2104.0,0.0,4.0,25.0
1991,34.0,2405.0,321.0,61.0,0.0,224.0,532.0,2103.0,0.0,4.0,57.0
1992,33.0,2301.0,331.0,60.0,0.0,212.0,491.0,2107.0,0.0,4.0,74.0
1993,34.0,2206.0,309.0,60.0,0.0,204.0,444.0,2112.0,0.0,4.0,75.0
1994,34.0,2114.0,307.0,61.0,0.0,210.0,437.0,2108.0,0.0,4.0,69.0
1995,34.0,2173.0,308.0,61.0,0.0,208.0,442.0,2105.0,0.0,4.0,88.0
1996,35.0,2214.0,310.0,63.0,0.0,208.0,491.0,2105.0,0.0,4.0,91.0
1997,35.0,2191.0,307.0,61.0,0.0,216.0,479.0,2107.0,3.0,4.0,88.0
1998,35.0,2260.0,306.0,74.0,0.0,231.0,647.0,2105.0,30.0,4.0,72.0
1999,35.0,2318.0,305.0,94.0,0.0,238.0,858.0,2104.0,78.0,4.0,49.0
2000,34.0,2319.0,305.0,84.0,0.0,237.0,1053.0,2106.0,154.0,4.0,37.0
2001,35.0,2396.0,302.0,58.0,0.0,235.0,1005.0,2104.0,262.0,4.0,38.0
2002,35.0,2399.0,302.0,58.0,0.0,236.0,803.0,2103.0,316.0,4.0,33.0
2003,36.0,2411.0,301.0,58.0,0.0,232.0,721.0,2104.0,320.0,4.0,34.0
2004,36.0,2368.0,301.0,58.0,0.0,235.0,566.0,2107.0,287.0,4.0,31.0
2005,35.0,2324.0,307.0,60.0,0.0,230.0,536.0,2106.0,217.0,4.0,39.0
2006,34.0,2333.0,311.0,63.0,0.0,235.0,702.0,2104.0,153.0,4.0,46.0
2007,35.0,2396.0,320.0,64.0,0.0,238.0,977.0,2105.0,78.0,4.0,48.0
2008,35.0,2440.0,312.0,64.0,187.0,261.0,1109.0,2105.0,22.0,4.0,57.0
2009,35.0,2445.0,309.0,66.0,401.0,267.0,1173.0,2104.0,1.0,4.0,76.0
2010,34.0,2414.0,305.0,66.0,405.0,267.0,1294.0,2108.0,0.0,4.0,79.0
2011,34.0,2316.0,306.0,65.0,405.0,249.0,1067.0,2109.0,0.0,5.0,100.0
2012,33.0,2242.0,306.0,66.0,203.0,240.0,1036.0,2107.0,0.0,5.0,112.0
2013,35.0,2089.0,308.0,66.0,1.0,232.0,970.0,2106.0,0.0,4.0,125.0
2014,33.0,2045.0,305.0,68.0,0.0,226.0,492.0,2105.0,0.0,3.0,141.0
2015,33.0,1920.0,305.0,69.0,0.0,226.0,381.0,2106.0,0.0,4.0,142.0
2016,33.0,1902.0,306.0,112.0,0.0,220.0,400.0,2104.0,0.0,4.0,126.0
2017,33.0,1917.0,306.0,160.0,0.0,219.0,314.0,2105.0,0.0,4.0,131.0
2018,30.0,1959.0,306.0,92.0,0.0,224.0,316.0,2108.0,0.0,4.0,136.0
2019,31.0,1918.0,304.0,68.0,0.0,216.0,446.0,2107.0,0.0,4.0,159.0
2020,31.0,2025.0,305.0,68.0,0.0,240.0,529.0,2105.0,0.0,4.0,209.0
2021,33.0,2124.0,305.0,68.0,0.0,268.0,837.0,2105.0,1.0,4.0,288.0
2022,32.0,2210.0,304.0,68.0,0.0,287.0,822.0,2107.0,13.0,4.0,313.0
2023,31.0,2444.0,304.0,70.0,0.0,288.0,853.0,2107.0,40.0,4.0,263.0
2024,32.0,2601.0,303.0,70.0,0.0,288.0,748.0,2105.0,72.0,5.0,149.0
2025,31.0,2624.0,319.0,72.0,0.0,290.0,673.0,2105.0,115.0,5.0,123.0
2026,32.0,2564.0,320.0,72.0,0.0,289.0,601.0,2102.0,152.0,4.0,97.0
2027,31.0,2526.0,326.0,70.0,0.0,275.0,551.0,2104.0,174.0,3.0,121.0
2028,32.0,2399.0,329.0,70.0,0.0,269.0,528.0,2105.0,145.0,3.0,160.0
2029,31.0,2340.0,325.0,70.0,0.0,263.0,550.0,2102.0,142.0,3.0,158.0
2030,31.0,2379.0,319.0,67.0,0.0,273.0,555.0,2103.0,121.0,3.0,161.0
2031,31.0,2335.0,319.0,69.0,0.0,282.0,680.0,2104.0,91.0,4.0,137.0
2032,31.0,2378.0,320.0,69.0,0.0,287.0,957.0,2106.0,46.0,4.0,126.0
2033,30.0,2408.0,315.0,70.0,119.0,290.0,1068.0,2105.0,2.0,4.0,223.0
2034,31.0,2362.0,317.0,68.0,137.0,294.0,1134.0,2103.0,0.0,4.0,258.0
2035,29.0,2346.0,317.0,67.0,131.0,295.0,935.0,2105.0,0.0,4.0,243.0
2036,29.0,2321.0,319.0,68.0,12.0,284.0,909.0,2105.0,0.0,4.0,103.0
2037,30.0,2249.0,316.0,68.0,0.0,247.0,849.0,2103.0,0.0,4.0,53.0
2038,30.0,2279.0,318.0,75.0,0.0,221.0,531.0,2105.0,0.0,4.0,56.0
2039,30.0,2167.0,320.0,74.0,0.0,225.0,451.0,2106.0,0.0,3.0,98.0
2040,31.0,2105.0,322.0,73.0,0.0,219.0,286.0,2105.0,0.0,3.0,169.0
2041,31.0,1998.0,320.0,73.0,0.0,201.0,279.0,2103.0,0.0,4.0,202.0
2042,31.0,1913.0,321.0,73.0,0.0,200.0,280.0,2104.0,0.0,4.0,246.0
2043,31.0,2062.0,317.0,106.0,0.0,218.0,285.0,2102.0,0.0,3.0,258.0
2044,31.0,2108.0,321.0,168.0,0.0,233.0,464.0,2104.0,0.0,4.0,255.0
2045,31.0,2116.0,322.0,169.0,0.0,258.0,852.0,2104.0,7.0,4.0,250.0
2046,32.0,2223.0,323.0,169.0,0.0,286.0,905.0,2103.0,55.0,3.0,141.0
2047,32.0,2359.0,321.0,171.0,0.0,278.0,916.0,2104.0,130.0,4.0,64.0
2048,31.0,2267.0,321.0,171.0,0.0,281.0,893.0,2105.0,174.0,5.0,34.0
2049,33.0,2315.0,318.0,166.0,0.0,288.0,822.0,2102.0,211.0,5.0,23.0
2050,32.0,2385.0,317.0,166.0,0.0,286.0,742.0,2105.0,217.0,4.0,9.0
2051,33.0,2322.0,315.0,166.0,0.0,279.0,690.0,2104.0,230.0,3.0,2.0
2052,33.0,2307.0,311.0,166.0,0.0,270.0,633.0,2101.0,210.0,4.0,3.0
2053,32.0,2311.0,312.0,167.0,0.0,258.0,635.0,2102.0,174.0,4.0,5.0
2054,32.0,2274.0,313.0,167.0,0.0,270.0,716.0,2100.0,151.0,5.0,6.0
2055,33.0,2153.0,309.0,166.0,0.0,278.0,852.0,2099.0,118.0,5.0,8.0
2056,33.0,2241.0,312.0,162.0,131.0,281.0,873.0,2099.0,47.0,5.0,13.0
2057,33.0,2242.0,323.0,169.0,258.0,287.0,1052.0,2097.0,3.0,4.0,18.0
2058,33.0,2301.0,322.0,170.0,215.0,287.0,1207.0,2098.0,0.0,4.0,44.0
2059,33.0,2374.0,321.0,171.0,130.0,286.0,1046.0,2099.0,0.0,3.0,42.0
2060,33.0,2335.0,321.0,144.0,88.0,270.0,909.0,2100.0,0.0,5.0,24.0
2061,33.0,2361.0,324.0,73.0,0.0,235.0,780.0,2098.0,0.0,4.0,25.0
2062,33.0,2222.0,319.0,74.0,0.0,232.0,528.0,2099.0,0.0,3.0,26.0
2063,32.0,2102.0,323.0,75.0,0.0,241.0,407.0,2098.0,0.0,3.0,37.0
2064,33.0,2078.0,322.0,75.0,0.0,241.0,406.0,2099.0,0.0,3.0,19.0
2065,33.0,2013.0,323.0,74.0,0.0,245.0,399.0,2100.0,0.0,4.0,19.0
2066,34.0,1955.0,324.0,74.0,0.0,231.0,399.0,2099.0,0.0,3.0,31.0
2067,33.0,2006.0,318.0,73.0,0.0,248.0,483.0,2099.0,0.0,4.0,27.0
2068,33.0,2209.0,323.0,73.0,0.0,260.0,565.0,2100.0,0.0,3.0,28.0
2069,34.0,2486.0,323.0,72.0,0.0,259.0,651.0,2097.0,3.0,3.0,18.0
2070,34.0,2601.0,323.0,72.0,0.0,286.0,686.0,2098.0,35.0,3.0,14.0
2071,34.0,2574.0,319.0,72.0,0.0,282.0,693.0,2101.0,102.0,3.0,8.0
2072,34.0,2547.0,320.0,72.0,0.0,283.0,546.0,2103.0,179.0,4.0,11.0
2073,34.0,2474.0,308.0,72.0,0.0,284.0,564.0,2099.0,231.0,4.0,12.0
2074,34.0,2389.0,291.0,73.0,0.0,278.0,564.0,2100.0,238.0,4.0,19.0
2075,34.0,2331.0,293.0,73.0,0.0,272.0,567.0,2099.0,259.0,4.0,24.0
2076,34.0,2216.0,292.0,73.0,0.0,257.0,566.0,2095.0,273.0,4.0,35.0
2077,35.0,2189.0,292.0,72.0,0.0,258.0,565.0,2097.0,270.0,4.0,37.0
2078,34.0,2246.0,287.0,72.0,0.0,258.0,565.0,2098.0,256.0,4.0,36.0
2079,35.0,2340.0,288.0,72.0,0.0,278.0,565.0,2096.0,177.0,4.0,31.0
2080,35.0,2479.0,292.0,72.0,0.0,284.0,774.0,2100.0,72.0,3.0,21.0
2081,35.0,2428.0,294.0,72.0,197.0,284.0,995.0,2098.0,7.0,3.0,11.0
2082,34.0,2582.0,294.0,73.0,202.0,284.0,1105.0,2095.0,0.0,3.0,11.0
2083,34.0,2490.0,296.0,73.0,132.0,284.0,1049.0,2094.0,0.0,3.0,20.0
2084,34.0,2552.0,296.0,72.0,0.0,268.0,923.0,2096.0,0.0,3.0,57.0
2085,34.0,2418.0,292.0,72.0,0.0,231.0,724.0,2095.0,0.0,3.0,67.0
2086,19.0,2082.0,291.0,72.0,0.0,193.0,639.0,2091.0,0.0,3.0,57.0
2087,18.0,1791.0,294.0,72.0,0.0,200.0,533.0,2093.0,0.0,3.0,119.0
2088,18.0,1685.0,291.0,71.0,0.0,194.0,491.0,2094.0,0.0,3.0,199.0
2089,19.0,1663.0,292.0,72.0,0.0,195.0,433.0,2090.0,0.0,3.0,218.0
2090,19.0,1648.0,293.0,72.0,0.0,194.0,352.0,2090.0,0.0,3.0,321.0
2091,19.0,1698.0,291.0,73.0,0.0,192.0,393.0,2092.0,0.0,3.0,423.0
2092,18.0,1892.0,295.0,74.0,0.0,214.0,517.0,2091.0,0.0,3.0,388.0
2093,18.0,2024.0,294.0,72.0,0.0,244.0,774.0,2087.0,8.0,3.0,378.0
2094,18.0,2212.0,293.0,73.0,0.0,251.0,747.0,2089.0,77.0,3.0,287.0
2095,19.0,2183.0,293.0,72.0,0.0,243.0,712.0,2090.0,185.0,3.0,195.0
2096,19.0,1822.0,288.0,70.0,0.0,240.0,624.0,2087.0,290.0,2.0,163.0
2097,18.0,1745.0,274.0,72.0,0.0,244.0,640.0,2088.0,369.0,3.0,171.0
2098,16.0,1800.0,277.0,72.0,0.0,233.0,510.0,2088.0,404.0,3.0,154.0
2099,17.0,1851.0,279.0,72.0,0.0,223.0,445.0,2090.0,421.0,3.0,105.0
2100,18.0,1801.0,278.0,72.0,0.0,218.0,505.0,2090.0,408.0,3.0,66.0
2101,17.0,1814.0,276.0,72.0,0.0,216.0,522.0,2088.0,363.0,3.0,77.0
2102,17.0,1874.0,269.0,72.0,0.0,228.0,570.0,2088.0,284.0,3.0,65.0
2103,18.0,1871.0,257.0,74.0,0.0,244.0,569.0,2085.0,172.0,3.0,39.0
2104,19.0,1992.0,257.0,74.0,93.0,244.0,621.0,2087.0,56.0,2.0,12.0
2105,19.0,2166.0,282.0,72.0,391.0,245.0,722.0,2087.0,4.0,2.0,2.0
2106,18.0,2234.0,281.0,72.0,395.0,247.0,974.0,2085.0,0.0,3.0,7.0
2107,19.0,2177.0,281.0,72.0,359.0,236.0,952.0,2082.0,0.0,3.0,13.0
2108,18.0,2073.0,286.0,72.0,284.0,227.0,913.0,2087.0,0.0,3.0,20.0
2109,19.0,1933.0,286.0,70.0,199.0,224.0,715.0,2087.0,0.0,3.0,23.0
2110,17.0,1604.0,291.0,71.0,0.0,191.0,691.0,2085.0,0.0,3.0,35.0
2111,17.0,1528.0,292.0,70.0,0.0,163.0,647.0,2084.0,0.0,3.0,68.0
2112,17.0,1460.0,291.0,71.0,0.0,169.0,638.0,2084.0,0.0,3.0,92.0
2113,17.0,1447.0,291.0,71.0,0.0,171.0,645.0,2084.0,0.0,3.0,94.0
2114,17.0,1443.0,291.0,71.0,0.0,195.0,636.0,2085.0,0.0,3.0,96.0
2115,17.0,1463.0,292.0,74.0,0.0,201.0,647.0,2085.0,0.0,3.0,96.0
2116,17.0,1618.0,297.0,73.0,261.0,207.0,637.0,2082.0,0.0,3.0,115.0
2117,17.0,1696.0,295.0,73.0,370.0,207.0,660.0,2082.0,21.0,3.0,136.0
2118,16.0,1694.0,293.0,73.0,329.0,232.0,740.0,2084.0,165.0,3.0,157.0
2119,16.0,1659.0,293.0,74.0,92.0,228.0,728.0,2084.0,372.0,3.0,172.0
2120,16.0,1418.0,290.0,74.0,0.0,217.0,762.0,2079.0,555.0,3.0,163.0
2121,17.0,1359.0,276.0,71.0,0.0,216.0,569.0,2080.0,680.0,3.0,144.0
2122,17.0,1369.0,281.0,73.0,0.0,215.0,559.0,2084.0,733.0,3.0,146.0
2123,17.0,1371.0,277.0,71.0,0.0,220.0,441.0,2082.0,738.0,3.0,187.0
2124,17.0,1357.0,279.0,72.0,0.0,217.0,291.0,2080.0,700.0,3.0,188.0
2125,17.0,1331.0,279.0,75.0,0.0,220.0,365.0,2080.0,618.0,3.0,165.0
2126,17.0,1320.0,280.0,74.0,0.0,221.0,452.0,2079.0,494.0,3.0,158.0
2127,17.0,1333.0,280.0,71.0,0.0,224.0,492.0,2079.0,301.0,3.0,146.0
2128,17.0,1361.0,280.0,75.0,0.0,221.0,584.0,2077.0,103.0,3.0,194.0
2129,16.0,1458.0,256.0,72.0,200.0,225.0,965.0,2077.0,6.0,3.0,266.0
2130,17.0,1520.0,257.0,73.0,389.0,223.0,1107.0,2078.0,0.0,3.0,287.0
2131,17.0,1536.0,260.0,71.0,361.0,224.0,929.0,2077.0,0.0,3.0,290.0
2132,17.0,1383.0,261.0,71.0,168.0,225.0,731.0,2075.0,0.0,3.0,288.0
2133,17.0,1387.0,261.0,71.0,0.0,202.0,603.0,2076.0,0.0,3.0,300.0
2134,33.0,1172.0,292.0,73.0,0.0,225.0,442.0,2078.0,0.0,4.0,318.0
2135,32.0,1100.0,292.0,72.0,0.0,217.0,346.0,2077.0,0.0,3.0,337.0
2136,33.0,1084.0,290.0,71.0,0.0,216.0,238.0,2076.0,0.0,3.0,358.0
2137,33.0,1108.0,291.0,71.0,0.0,214.0,207.0,2078.0,0.0,3.0,330.0
2138,33.0,1123.0,291.0,71.0,0.0,215.0,207.0,2073.0,0.0,3.0,296.0
2139,33.0,1144.0,295.0,73.0,0.0,216.0,208.0,2076.0,0.0,3.0,272.0
2140,31.0,1159.0,299.0,72.0,0.0,238.0,269.0,2077.0,0.0,3.0,302.0
2141,32.0,1085.0,297.0,72.0,0.0,239.0,307.0,2076.0,16.0,3.0,364.0
2142,31.0,1036.0,292.0,73.0,373.0,281.0,227.0,2073.0,101.0,3.0,400.0
2143,32.0,1106.0,294.0,75.0,401.0,283.0,247.0,2075.0,220.0,3.0,402.0
2144,33.0,1116.0,289.0,75.0,171.0,281.0,355.0,2074.0,310.0,3.0,387.0
2145,33.0,1182.0,280.0,74.0,0.0,282.0,496.0,2073.0,421.0,3.0,375.0
2146,32.0,1140.0,280.0,74.0,0.0,284.0,479.0,2073.0,458.0,3.0,381.0
2147,33.0,1164.0,281.0,74.0,0.0,275.0,341.0,2073.0,452.0,3.0,423.0
2148,33.0,1070.0,281.0,73.0,0.0,276.0,204.0,2075.0,436.0,3.0,466.0
2149,33.0,1054.0,281.0,72.0,0.0,259.0,219.0,2074.0,416.0,3.0,445.0
2150,33.0,1063.0,279.0,72.0,0.0,258.0,282.0,2072.0,374.0,3.0,403.0
2151,33.0,1157.0,278.0,72.0,0.0,261.0,286.0,2073.0,266.0,3.0,402.0
2152,33.0,1118.0,282.0,72.0,180.0,264.0,298.0,2072.0,88.0,3.0,437.0
2153,32.0,1104.0,280.0,70.0,408.0,292.0,599.0,2072.0,5.0,3.0,419.0
2154,33.0,1149.0,279.0,70.0,422.0,291.0,977.0,2071.0,0.0,3.0,454.0
2155,32.0,1128.0,282.0,71.0,420.0,286.0,751.0,2071.0,0.0,3.0,480.0
2156,33.0,1062.0,282.0,71.0,419.0,292.0,410.0,2069.0,0.0,4.0,530.0
2157,33.0,1072.0,285.0,71.0,237.0,258.0,211.0,2070.0,0.0,4.0,567.0
2158,32.0,1062.0,282.0,74.0,0.0,235.0,294.0,2071.0,0.0,4.0,555.0
2159,32.0,1056.0,281.0,74.0,0.0,250.0,199.0,2071.0,0.0,4.0,577.0
2160,33.0,1070.0,282.0,77.0,0.0,253.0,123.0,2068.0,0.0,3.0,583.0
2161,32.0,1063.0,281.0,72.0,0.0,244.0,118.0,2070.0,0.0,3.0,569.0
2162,32.0,1058.0,282.0,72.0,0.0,242.0,123.0,2071.0,0.0,3.0,578.0
2163,33.0,1059.0,280.0,71.0,0.0,244.0,118.0,2071.0,0.0,3.0,584.0
2164,33.0,1061.0,279.0,71.0,0.0,270.0,119.0,2068.0,0.0,3.0,583.0
2165,32.0,1061.0,282.0,71.0,0.0,267.0,191.0,2068.0,9.0,3.0,568.0
2166,31.0,1059.0,278.0,72.0,0.0,283.0,242.0,2069.0,69.0,3.0,561.0
2167,31.0,1065.0,281.0,72.0,0.0,285.0,163.0,2067.0,162.0,3.0,562.0
2168,30.0,1040.0,280.0,72.0,0.0,286.0,163.0,2065.0,235.0,3.0,514.0
2169,32.0,981.0,275.0,71.0,0.0,283.0,254.0,2064.0,352.0,3.0,521.0
2170,32.0,915.0,277.0,71.0,0.0,284.0,226.0,2065.0,422.0,3.0,458.0
2171,31.0,951.0,277.0,71.0,0.0,281.0,181.0,2064.0,432.0,3.0,382.0
2172,31.0,916.0,276.0,72.0,0.0,281.0,149.0,2064.0,424.0,3.0,324.0
2173,31.0,1015.0,280.0,72.0,0.0,281.0,244.0,2062.0,374.0,3.0,129.0
2174,32.0,1082.0,277.0,72.0,0.0,287.0,424.0,2062.0,285.0,4.0,95.0
2175,32.0,958.0,281.0,72.0,144.0,281.0,428.0,2062.0,154.0,3.0,201.0
2176,32.0,931.0,280.0,72.0,416.0,286.0,546.0,2060.0,52.0,4.0,213.0
2177,31.0,982.0,282.0,71.0,422.0,288.0,837.0,2060.0,3.0,3.0,243.0
2178,31.0,1047.0,283.0,71.0,422.0,286.0,1252.0,2059.0,0.0,3.0,284.0
2179,32.0,1051.0,282.0,72.0,423.0,286.0,914.0,2059.0,0.0,3.0,411.0
2180,32.0,1048.0,284.0,72.0,403.0,288.0,785.0,2057.0,0.0,3.0,288.0
2181,33.0,1114.0,259.0,72.0,397.0,268.0,442.0,2058.0,0.0,4.0,307.0
2182,18.0,1118.0,248.0,73.0,73.0,214.0,264.0,2059.0,0.0,3.0,352.0
2183,18.0,1093.0,247.0,73.0,0.0,214.0,135.0,2060.0,0.0,3.0,340.0
2184,17.0,1098.0,248.0,74.0,0.0,212.0,138.0,2059.0,0.0,3.0,379.0
2185,17.0,1094.0,249.0,73.0,0.0,211.0,95.0,2058.0,0.0,3.0,412.0
2186,18.0,1007.0,282.0,73.0,0.0,210.0,95.0,2060.0,0.0,3.0,466.0
2187,18.0,1003.0,282.0,69.0,0.0,211.0,114.0,2058.0,0.0,4.0,508.0
2188,18.0,1052.0,277.0,71.0,0.0,211.0,112.0,2057.0,0.0,4.0,545.0
2189,18.0,1170.0,277.0,71.0,0.0,212.0,391.0,2058.0,13.0,3.0,542.0
2190,18.0,1273.0,273.0,70.0,138.0,247.0,500.0,2056.0,92.0,3.0,525.0
2191,18.0,1251.0,271.0,72.0,180.0,245.0,389.0,2055.0,194.0,4.0,502.0
2192,19.0,1253.0,270.0,70.0,0.0,244.0,276.0,2055.0,290.0,5.0,465.0
2193,19.0,1244.0,271.0,72.0,0.0,243.0,196.0,2055.0,338.0,4.0,389.0
2194,18.0,1240.0,272.0,72.0,0.0,245.0,119.0,2056.0,371.0,3.0,341.0
2195,19.0,1254.0,271.0,72.0,0.0,244.0,277.0,2055.0,361.0,3.0,385.0
2196,18.0,1259.0,272.0,72.0,0.0,242.0,215.0,2055.0,338.0,3.0,372.0
2197,18.0,1261.0,272.0,72.0,0.0,241.0,116.0,2057.0,324.0,3.0,444.0
2198,18.0,1229.0,270.0,72.0,0.0,242.0,112.0,2056.0,265.0,3.0,335.0
2199,19.0,1101.0,269.0,72.0,0.0,248.0,127.0,2056.0,170.0,4.0,487.0
2200,18.0,1075.0,273.0,74.0,27.0,244.0,486.0,2055.0,65.0,3.0,428.0
2201,19.0,1082.0,275.0,71.0,415.0,246.0,789.0,2054.0,6.0,4.0,328.0
2202,15.0,1187.0,275.0,71.0,422.0,248.0,1236.0,2053.0,0.0,4.0,341.0
2203,6.0,1177.0,275.0,72.0,421.0,247.0,1130.0,2054.0,0.0,4.0,336.0
2204,9.0,1182.0,280.0,72.0,406.0,247.0,852.0,2052.0,0.0,3.0,164.0
2205,16.0,1260.0,279.0,73.0,401.0,226.0,720.0,2052.0,0.0,3.0,80.0
2206,31.0,1166.0,294.0,71.0,28.0,253.0,352.0,2052.0,0.0,3.0,66.0
2207,31.0,1112.0,297.0,71.0,0.0,250.0,337.0,2052.0,0.0,3.0,129.0
2208,31.0,1125.0,297.0,72.0,0.0,249.0,260.0,2051.0,0.0,3.0,186.0
2209,31.0,1137.0,298.0,71.0,0.0,249.0,196.0,2051.0,0.0,3.0,211.0
2210,32.0,1170.0,298.0,71.0,0.0,247.0,221.0,2052.0,0.0,3.0,207.0
2211,32.0,1170.0,297.0,70.0,0.0,249.0,249.0,2051.0,0.0,3.0,156.0
2212,30.0,1295.0,298.0,70.0,0.0,248.0,558.0,2048.0,0.0,3.0,136.0
2213,30.0,1421.0,296.0,70.0,0.0,252.0,1040.0,2052.0,33.0,3.0,88.0
2214,31.0,1433.0,291.0,71.0,0.0,282.0,979.0,2050.0,204.0,4.0,24.0
2215,32.0,1408.0,286.0,71.0,0.0,278.0,753.0,2049.0,422.0,3.0,2.0
2216,31.0,1247.0,283.0,73.0,0.0,279.0,597.0,2052.0,591.0,4.0,0.0
2217,31.0,1206.0,277.0,69.0,0.0,277.0,504.0,2052.0,699.0,3.0,6.0
2218,31.0,1163.0,281.0,75.0,0.0,277.0,340.0,2051.0,752.0,3.0,6.0
2219,32.0,1154.0,277.0,72.0,0.0,276.0,226.0,2051.0,761.0,4.0,39.0
2220,31.0,1145.0,278.0,72.0,0.0,279.0,211.0,2050.0,733.0,4.0,77.0
2221,32.0,1126.0,277.0,70.0,0.0,279.0,182.0,2049.0,662.0,3.0,86.0
2222,31.0,1163.0,279.0,74.0,0.0,282.0,282.0,2049.0,534.0,4.0,116.0
2223,31.0,1169.0,276.0,71.0,0.0,290.0,535.0,2048.0,351.0,4.0,141.0
2224,32.0,1291.0,281.0,71.0,4.0,286.0,849.0,2048.0,133.0,4.0,170.0
2225,31.0,1287.0,279.0,71.0,316.0,287.0,846.0,2048.0,10.0,4.0,235.0
2226,31.0,1440.0,281.0,72.0,422.0,289.0,992.0,2046.0,0.0,4.0,249.0
2227,31.0,1397.0,281.0,73.0,372.0,289.0,902.0,2046.0,0.0,3.0,285.0
2228,32.0,1350.0,282.0,69.0,318.0,288.0,770.0,2046.0,0.0,3.0,282.0
2229,32.0,1364.0,283.0,69.0,129.0,256.0,699.0,2046.0,0.0,3.0,290.0
2230,32.0,1382.0,284.0,73.0,0.0,259.0,164.0,2046.0,0.0,3.0,308.0
2231,31.0,1230.0,283.0,71.0,0.0,243.0,97.0,2045.0,0.0,3.0,300.0
2232,32.0,1169.0,283.0,73.0,0.0,234.0,92.0,2045.0,0.0,3.0,286.0
2233,31.0,1099.0,283.0,70.0,0.0,231.0,92.0,2046.0,0.0,3.0,278.0
2234,32.0,1073.0,284.0,71.0,0.0,229.0,95.0,2045.0,0.0,3.0,278.0
2235,32.0,1111.0,291.0,72.0,0.0,230.0,183.0,2043.0,0.0,3.0,270.0
2236,31.0,1143.0,291.0,70.0,0.0,226.0,619.0,2043.0,0.0,3.0,219.0
2237,31.0,1292.0,286.0,70.0,135.0,267.0,673.0,2043.0,34.0,3.0,173.0
2238,30.0,1264.0,284.0,70.0,189.0,285.0,716.0,2044.0,194.0,3.0,109.0
2239,31.0,1257.0,285.0,70.0,4.0,276.0,775.0,2042.0,393.0,3.0,76.0
2240,31.0,1225.0,284.0,65.0,0.0,276.0,607.0,2043.0,554.0,3.0,83.0
2241,30.0,1206.0,254.0,73.0,0.0,274.0,368.0,2041.0,652.0,3.0,93.0
2242,29.0,1220.0,259.0,73.0,0.0,282.0,335.0,2039.0,700.0,3.0,124.0
2243,29.0,1210.0,266.0,73.0,0.0,281.0,264.0,2040.0,727.0,3.0,135.0
2244,29.0,1181.0,270.0,71.0,0.0,280.0,264.0,2040.0,695.0,3.0,137.0
2245,28.0,1166.0,271.0,71.0,0.0,285.0,302.0,2039.0,625.0,3.0,151.0
2246,28.0,1115.0,271.0,74.0,0.0,291.0,384.0,2039.0,492.0,3.0,193.0
2247,29.0,1148.0,274.0,71.0,0.0,299.0,463.0,2036.0,328.0,3.0,203.0
2248,30.0,1163.0,274.0,72.0,96.0,287.0,741.0,2036.0,115.0,3.0,199.0
2249,31.0,1171.0,274.0,72.0,282.0,286.0,853.0,2037.0,8.0,3.0,207.0
2250,31.0,1224.0,274.0,72.0,406.0,290.0,1040.0,2035.0,0.0,3.0,277.0
2251,31.0,1271.0,271.0,71.0,383.0,291.0,906.0,2034.0,0.0,3.0,283.0
2252,31.0,1235.0,276.0,71.0,407.0,281.0,681.0,2034.0,0.0,3.0,265.0
2253,32.0,1211.0,276.0,70.0,241.0,251.0,600.0,2037.0,0.0,3.0,257.0
2254,16.0,1191.0,271.0,71.0,0.0,189.0,298.0,2037.0,0.0,3.0,104.0
