,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
135,295.0,2406.0,8.575429519528656,215.0,231.88693467341363,6197.0,1870.0,55304.0,522.0,258.0,1447.0
136,296.0,2405.0,8.258174162177738,215.0,280.0,6170.0,1901.0,55305.0,192.0,260.0,1691.0
137,295.0,2406.0,6.191504331638953,215.0,1553.0,6187.0,2093.0,55332.0,64.0,262.0,1927.0
138,296.0,2578.0,8.778829815274776,216.0,2521.0,6202.0,2377.0,55225.0,0.0,262.0,2387.0
139,295.0,3013.0,8.522068444120242,217.0,2288.0,6220.0,2154.0,55480.0,0.0,260.0,2766.0
140,296.0,2538.0,8.05957300275482,216.0,1348.0,6112.0,1991.0,55406.0,0.0,255.0,3257.0
141,297.0,2409.0,6.76346931449612,216.0,424.0,5975.0,1870.0,54011.0,0.0,256.0,3814.0
142,296.0,2398.0,5.676487395354798,216.0,326.0,5894.0,1777.0,53724.0,0.0,246.0,4244.0
143,295.0,2394.0,5.230350065394305,217.0,500.0,5872.0,1949.0,53692.0,0.0,248.0,4649.0
144,295.0,2392.0,4.6301538421007535,199.0,646.6460554143257,5829.0,1999.0,51990.0,0.0,250.0,5083.0
145,295.0,2395.0,3.826988708868157,198.0,776.25,5698.0,1599.0,50572.0,0.0,252.0,5674.0
146,295.0,2409.0,4.229752500279574,198.0,867.0,5863.0,1433.0,49291.0,0.0,252.0,6414.0
147,296.0,2366.0,5.658710547257215,200.0,0.0,5878.0,1312.0,48151.0,0.0,256.0,6880.0
148,297.0,2354.0,21.35889034172419,200.0,1489.0,5881.0,1331.0,47800.0,0.0,261.0,7358.0
149,297.0,2350.0,36.35742756833224,200.0,1920.771061628939,5891.0,1339.0,48001.0,0.0,262.0,7640.0
150,296.0,2349.0,56.11232768045738,200.0,2019.104854247722,5910.0,1259.0,49019.0,0.0,259.0,7966.0
151,296.0,2352.0,71.7807335613179,200.0,1968.9044832440268,5815.0,1573.0,49702.0,0.0,259.0,8405.0
152,295.0,2353.0,1.0,198.0,1728.1228045379976,5789.0,1600.0,50270.0,84.0,258.0,8648.0
153,295.0,2415.0,1.0,197.0,1730.8907735569644,5739.0,1808.0,51060.0,297.0,251.0,8736.0
154,295.0,2419.0,0.0,197.0,1073.765714801848,5751.0,1789.0,51372.0,695.0,254.0,9030.0
155,295.0,2413.0,0.0,196.0,1513.3029070230207,5833.0,1900.0,52700.0,946.0,249.0,9214.0
156,295.0,2408.0,10.0,197.0,726.0,5881.0,1754.0,53287.0,1086.0,248.0,9046.0
157,295.0,2406.0,10.0,197.0,309.0,5876.0,1863.0,53555.0,1082.0,244.0,8774.0
158,295.0,2402.0,10.0,197.0,1201.832015194872,5826.0,1686.0,53197.0,879.0,243.0,8474.0
