,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW]
297,5.0,3658.0,2.0,0.0,1798.0,31.0,57.0
298,5.0,3609.0,2.0,0.0,1805.0,111.0,57.0
299,5.0,3683.0,2.0,0.0,1784.0,87.0,57.0
300,5.0,3724.0,2.0,0.0,1760.0,59.0,57.0
301,5.0,3825.0,2.0,0.0,1724.0,26.0,56.0
302,5.0,3837.0,2.0,0.0,1642.0,29.0,57.0
303,5.0,3869.0,2.0,0.0,1598.0,29.0,57.0
304,5.0,3886.0,2.0,0.0,1733.0,47.0,57.0
305,5.0,3845.0,2.0,0.0,1866.0,98.0,57.0
306,5.0,3871.0,2.0,0.0,1869.0,73.0,57.0
307,5.0,3883.0,2.0,0.0,1861.0,64.0,57.0
308,5.0,3835.0,2.0,0.0,1767.0,56.0,57.0
309,5.0,3781.0,2.0,0.0,1819.0,71.0,57.0
310,5.0,3748.0,2.0,0.0,1579.0,16.0,59.0
311,5.0,3801.0,2.0,0.0,1310.0,10.0,63.0
312,5.0,3789.0,2.0,0.0,1372.0,0.0,65.0
313,5.0,3737.0,2.0,0.0,1243.0,0.0,60.0
314,5.0,3589.0,2.0,0.0,1086.0,0.0,60.0
315,5.0,3544.0,2.0,0.0,891.0,0.0,58.0
316,5.0,3574.0,2.0,0.0,721.0,0.0,59.0
317,5.0,3604.0,2.0,0.0,675.0,0.0,58.0
318,5.0,3562.0,2.0,0.0,718.0,0.0,58.0
319,5.0,3587.0,2.0,0.0,798.0,0.0,59.0
320,5.0,3631.0,2.0,0.0,1006.0,0.0,59.0
321,5.0,3648.0,2.0,0.0,1179.0,7.0,58.0
322,5.0,3722.0,2.0,0.0,1263.0,22.0,59.0
323,5.0,3707.0,2.0,0.0,1446.0,11.0,59.0
324,5.0,3680.0,2.0,0.0,1505.0,0.0,59.0
325,5.0,3715.0,2.0,0.0,1374.0,0.0,59.0
