,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
304,82.0,12.0,1151.0,96.0,1.0
305,83.0,44.0,1141.0,96.0,3.0
306,83.0,58.0,1007.0,97.0,5.0
307,84.0,60.0,1003.0,97.0,5.0
308,83.0,62.0,868.0,97.0,4.0
309,83.0,62.0,888.0,97.0,3.0
310,83.0,62.0,799.0,96.0,3.0
311,83.0,62.0,686.0,97.0,4.0
312,83.0,62.0,439.0,97.0,3.0
313,83.0,62.0,438.0,97.0,3.0
314,85.0,62.0,437.0,99.0,3.0
315,85.0,62.0,436.0,99.0,3.0
316,84.0,62.0,437.0,98.0,3.0
317,83.0,62.0,613.0,97.0,4.0
318,82.0,62.0,666.0,96.0,8.0
319,82.0,62.0,801.0,94.0,10.0
320,79.0,62.0,894.0,91.0,10.0
321,78.0,62.0,913.0,91.0,3.0
322,78.0,62.0,904.0,90.0,2.0
323,78.0,62.0,914.0,90.0,2.0
324,78.0,62.0,914.0,90.0,1.0
325,78.0,62.0,914.0,90.0,2.0
326,78.0,62.0,914.0,91.0,2.0
327,79.0,62.0,913.0,91.0,1.0
328,81.0,62.0,1065.0,94.0,1.0
329,81.0,62.0,1135.0,94.0,1.0
330,82.0,62.0,1125.0,95.0,2.0
331,82.0,62.0,941.0,96.0,4.0
332,83.0,62.0,748.0,96.0,5.0
333,78.0,62.0,581.0,91.0,4.0
334,78.0,62.0,540.0,91.0,8.0
335,78.0,62.0,486.0,91.0,10.0
336,78.0,86.0,146.0,91.0,7.0
337,79.0,87.0,69.0,92.0,7.0
338,79.0,86.0,68.0,92.0,8.0
339,79.0,86.0,68.0,92.0,8.0
340,79.0,105.0,125.0,91.0,11.0
341,78.0,144.0,308.0,91.0,14.0
342,78.0,246.0,506.0,91.0,15.0
343,78.0,290.0,802.0,90.0,14.0
344,77.0,298.0,817.0,90.0,12.0
345,77.0,298.0,875.0,89.0,12.0
346,76.0,298.0,1053.0,89.0,12.0
347,76.0,298.0,1077.0,88.0,16.0
348,76.0,298.0,1077.0,88.0,17.0
349,76.0,298.0,1079.0,88.0,19.0
350,77.0,298.0,1101.0,89.0,21.0
351,77.0,298.0,1125.0,90.0,17.0
352,78.0,298.0,1042.0,90.0,19.0
353,78.0,298.0,1016.0,90.0,22.0
354,78.0,296.0,1008.0,90.0,20.0
355,79.0,266.0,779.0,91.0,26.0
356,79.0,216.0,746.0,91.0,26.0
357,79.0,217.0,767.0,92.0,28.0
