,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Fossil Peat,Hydro Run-of-river and poundage,Other renewable,Solar,Waste,Wind Onshore
256,70.0,36.0,3.0,1466.0,4.0,3.0,6.0,1.0,11.0,31.0
257,71.0,38.0,3.0,1474.0,5.0,3.0,6.0,1.0,15.0,40.0
258,72.0,38.0,1.0,1475.0,5.0,3.0,6.0,1.0,15.0,39.0
259,74.0,37.0,1.0,1472.0,5.0,3.0,6.0,1.0,17.0,40.0
260,74.0,36.0,1.0,1479.0,5.0,3.0,6.0,1.0,18.0,40.0
261,75.0,34.0,1.0,1476.0,5.0,3.0,5.0,1.0,18.0,44.0
262,75.0,35.0,1.0,1477.0,5.0,3.0,5.0,1.0,17.0,42.0
263,74.0,37.0,1.0,1414.0,5.0,3.0,5.0,1.0,17.0,42.0
264,73.0,35.0,1.0,1389.0,5.0,3.0,6.0,1.0,17.0,40.0
265,72.0,31.0,1.0,1357.0,5.0,3.0,6.0,1.0,17.0,36.0
266,72.0,32.0,1.0,1362.0,5.0,3.0,6.0,1.0,17.0,29.0
267,69.0,30.0,1.0,1401.0,4.0,3.0,6.0,1.0,17.0,23.0
268,70.0,34.0,1.0,1467.0,4.0,3.0,6.0,1.0,17.0,20.0
269,69.0,35.0,1.0,1430.0,4.0,3.0,6.0,1.0,17.0,19.0
270,69.0,33.0,1.0,1461.0,4.0,3.0,6.0,1.0,17.0,20.0
271,69.0,33.0,3.0,1465.0,4.0,3.0,6.0,1.0,17.0,20.0
272,69.0,33.0,3.0,1473.0,4.0,3.0,6.0,1.0,17.0,19.0
273,69.0,32.0,3.0,1471.0,4.0,3.0,6.0,1.0,17.0,16.0
274,69.0,32.0,3.0,1475.0,4.0,3.0,6.0,1.0,16.0,14.0
275,68.0,33.0,3.0,1474.0,4.0,3.0,6.0,1.0,16.0,14.0
276,69.0,32.0,3.0,1471.0,4.0,3.0,6.0,1.0,16.0,15.0
277,69.0,28.0,3.0,1468.0,4.0,3.0,6.0,1.0,16.0,12.0
278,69.0,29.0,3.0,1438.0,4.0,3.0,6.0,1.0,16.0,11.0
279,69.0,31.0,3.0,1465.0,4.0,3.0,6.0,1.0,16.0,12.0
280,70.0,31.0,3.0,1474.0,4.0,3.0,6.0,1.0,16.0,12.0
281,71.0,31.0,3.0,1470.0,5.0,3.0,6.0,1.0,15.0,13.0
282,72.0,32.0,1.0,1464.0,5.0,3.0,6.0,1.0,15.0,16.0
283,74.0,33.0,1.0,1443.0,5.0,3.0,6.0,1.0,16.0,16.0
284,74.0,33.0,1.0,1469.0,5.0,3.0,6.0,1.0,16.0,15.0
285,74.0,35.0,1.0,1324.0,5.0,3.0,5.0,1.0,16.0,19.0
286,74.0,33.0,1.0,1242.0,5.0,3.0,6.0,1.0,16.0,19.0
287,73.0,35.0,1.0,1233.0,5.0,3.0,6.0,1.0,16.0,20.0
288,72.0,32.0,1.0,938.0,5.0,3.0,6.0,1.0,16.0,25.0
289,72.0,33.0,1.0,902.0,5.0,3.0,6.0,1.0,16.0,21.0
290,72.0,34.0,1.0,906.0,5.0,3.0,6.0,1.0,15.0,20.0
291,69.0,34.0,1.0,906.0,4.0,3.0,5.0,1.0,16.0,24.0
292,69.0,34.0,1.0,903.0,4.0,3.0,6.0,1.0,16.0,32.0
293,69.0,33.0,1.0,905.0,4.0,3.0,6.0,1.0,16.0,32.0
