,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
159,115.0,524.0,1083.0,0.476280556760933,5.0,0.0,1934.0,93.0,12.0,16.0,141.0
160,114.0,518.0,865.0,0.4911672833719138,5.0,0.0,1934.0,93.0,12.0,15.0,151.0
161,114.0,504.0,888.0,0.012690880914652786,5.0,0.0,1934.0,93.0,11.0,16.0,148.0
162,114.0,508.0,977.0,0.36846443841761495,5.0,0.0,1923.0,94.0,11.0,15.0,141.0
163,114.0,518.0,1000.0,0.38711599580624545,5.0,0.0,1922.0,94.0,12.0,16.0,149.0
164,115.0,531.0,1004.0,0.37739906868511175,5.0,0.0,1920.0,89.0,12.0,17.0,159.0
165,115.0,525.0,990.0,0.00861783568131879,5.0,0.0,1921.0,90.0,13.0,18.0,151.0
166,115.0,532.0,935.0,0.007476993508463793,5.0,0.0,1921.0,90.0,13.0,17.0,144.0
167,116.0,529.0,902.0,0.13395575786316904,5.0,0.0,1921.0,90.0,13.0,16.0,142.0
168,116.0,512.0,969.0,0.8682097865227254,5.0,0.0,1919.0,95.0,12.0,16.0,132.0
169,116.0,507.0,1008.0,0.0,5.0,0.0,1919.0,95.0,11.0,15.0,132.0
170,116.0,513.0,1003.0,1.090507643273095,5.0,0.0,1918.0,95.0,12.0,15.0,126.0
171,117.0,504.0,1004.0,2.7764462639405867,5.0,0.0,1919.0,95.0,12.0,15.0,119.0
172,115.0,519.0,1100.0,2.298453046976066,5.0,0.0,1920.0,94.0,12.0,15.0,124.0
173,116.0,530.0,1102.0,0.6876590018361586,5.0,0.0,1918.0,94.0,12.0,16.0,117.0
174,116.0,538.0,1098.0,0.002934865953263489,5.0,0.0,1918.0,94.0,12.0,17.0,104.0
175,117.0,537.0,1047.0,0.0,5.0,0.0,1917.0,94.0,12.0,15.0,102.0
176,116.0,541.0,1076.0,0.0,5.0,0.0,1919.0,94.0,12.0,16.0,116.0
177,114.0,531.0,1036.0,0.0,5.0,0.0,1918.0,94.0,11.0,17.0,113.0
178,115.0,520.0,982.0,0.0,5.0,0.0,1918.0,94.0,11.0,17.0,118.0
179,115.0,508.0,971.0,0.0,5.0,0.0,1917.0,94.0,11.0,16.0,125.0
180,115.0,521.0,963.0,0.0,5.0,0.0,1919.0,94.0,11.0,16.0,132.0
181,114.0,525.0,915.0,0.0,5.0,0.0,1919.0,94.0,11.0,17.0,152.0
182,114.0,528.0,841.0,0.0,5.0,0.0,1919.0,94.0,11.0,16.0,158.0
183,114.0,521.0,773.0,0.0,5.0,0.0,1920.0,94.0,11.0,16.0,169.0
184,114.0,524.0,805.0,0.0,5.0,0.0,1922.0,93.0,11.0,16.0,174.0
185,116.0,511.0,821.0,0.0,5.0,0.0,1921.0,93.0,11.0,17.0,158.0
186,116.0,502.0,786.0,0.0,5.0,0.0,1923.0,93.0,11.0,17.0,151.0
187,116.0,517.0,731.0,0.0,5.0,0.0,1922.0,93.0,11.0,17.0,140.0
188,115.0,470.0,805.0,0.0,5.0,0.0,1923.0,93.0,11.0,17.0,134.0
189,116.0,456.0,761.0,0.0,5.0,0.0,1922.0,93.0,11.0,17.0,139.0
190,116.0,446.0,724.0,0.0,5.0,0.0,1923.0,93.0,11.0,16.0,144.0
191,116.0,412.0,697.0,0.0,5.0,0.0,1922.0,93.0,11.0,15.0,138.0
192,115.0,379.0,804.0,0.0,5.0,0.0,1924.0,101.0,11.0,15.0,138.0
193,116.0,359.0,725.0,0.0,5.0,0.0,1922.0,101.0,11.0,17.0,131.0
194,114.0,359.0,702.0,0.0,5.0,0.0,1922.0,101.0,11.0,17.0,115.0
195,113.0,347.0,676.0,0.0,5.0,0.0,1923.0,101.0,11.0,17.0,103.0
196,114.0,323.0,716.0,0.0,5.0,0.0,1925.0,100.0,11.0,18.0,91.0
197,113.0,297.0,710.0,0.0,5.0,0.0,1924.0,100.0,11.0,16.0,83.0
198,112.0,279.0,776.0,0.0,5.0,0.0,1924.0,100.0,8.0,16.0,74.0
199,106.0,257.0,755.0,0.0,5.0,0.0,1924.0,91.0,7.0,16.0,69.0
200,98.0,220.0,554.0,0.0,5.0,0.0,1837.0,91.0,6.0,17.0,67.0
201,87.0,210.0,556.0,0.0,5.0,0.0,1733.0,91.0,6.0,16.0,67.0
202,82.0,208.0,564.0,0.0,5.0,0.0,1728.0,91.0,6.0,17.0,62.0
203,78.0,209.0,560.0,0.0,5.0,0.0,1729.0,91.0,6.0,16.0,65.0
204,77.0,218.0,574.0,0.0,5.0,0.0,1729.0,91.0,5.0,16.0,67.0
205,74.0,225.0,560.0,0.0,5.0,0.0,1728.0,91.0,5.0,16.0,55.0
206,73.0,212.0,567.0,0.0,5.0,0.0,1729.0,91.0,5.0,16.0,45.0
207,77.0,208.0,577.0,0.0,5.0,0.0,1728.0,91.0,5.0,17.0,36.0
208,76.0,212.0,562.0,0.0,5.0,0.0,1729.0,91.0,5.0,16.0,43.0
209,77.0,218.0,583.0,0.0,5.0,0.0,1728.0,91.0,6.0,16.0,58.0
210,82.0,226.0,609.0,0.0,5.0,0.0,1729.0,91.0,5.0,16.0,58.0
211,86.0,236.0,680.0,0.0,5.0,0.0,1728.0,91.0,5.0,17.0,58.0
212,88.0,248.0,786.0,0.0,5.0,0.0,1826.0,99.0,6.0,17.0,59.0
213,92.0,279.0,842.0,0.0,5.0,0.0,1922.0,99.0,7.0,17.0,53.0
214,104.0,319.0,924.0,0.0,5.0,0.0,1923.0,99.0,8.0,16.0,52.0
215,111.0,358.0,1009.0,0.0,5.0,0.0,1922.0,99.0,9.0,16.0,56.0
216,114.0,375.0,769.0,0.0,5.0,0.0,1921.0,99.0,10.0,17.0,55.0
217,114.0,395.0,839.0,0.0,5.0,0.0,1922.0,99.0,10.0,17.0,61.0
218,114.0,409.0,958.0,0.0,5.0,0.0,1920.0,99.0,10.0,17.0,79.0
219,112.0,412.0,1061.0,0.0,5.0,0.0,1918.0,99.0,10.0,16.0,91.0
220,114.0,416.0,971.0,0.0,5.0,0.0,1915.0,99.0,10.0,14.0,99.0
221,112.0,427.0,927.0,0.0,5.0,0.0,1917.0,99.0,11.0,17.0,120.0
222,116.0,454.0,879.0,0.0,5.0,0.0,1919.0,99.0,11.0,17.0,133.0
223,116.0,467.0,878.0,0.03347764296595274,5.0,0.0,1918.0,99.0,12.0,17.0,144.0
224,115.0,475.0,960.0,0.17864849521495535,5.0,0.0,1915.0,99.0,13.0,16.0,167.0
225,115.0,476.0,980.0,0.7017654648721013,5.0,0.0,1918.0,99.0,13.0,16.0,187.0
226,115.0,477.0,994.0,0.693484705728651,5.0,0.0,1919.0,99.0,13.0,16.0,190.0
227,115.0,505.0,980.0,0.8919589157256776,5.0,0.0,1920.0,99.0,13.0,16.0,214.0
228,115.0,503.0,954.0,0.7017535718101768,5.0,0.0,1921.0,99.0,13.0,16.0,203.0
229,115.0,512.0,957.0,0.9345990965853691,5.0,0.0,1921.0,99.0,13.0,16.0,207.0
230,115.0,507.0,960.0,4.704997603341205,5.0,0.0,1921.0,99.0,13.0,15.0,215.0
231,115.0,510.0,962.0,2.8238397715519965,5.0,0.0,1920.0,99.0,13.0,16.0,226.0
232,115.0,518.0,954.0,2.006467086478846,5.0,0.0,1922.0,98.0,13.0,16.0,237.0
233,115.0,519.0,958.0,2.0949951522547017,5.0,0.0,1919.0,98.0,13.0,16.0,248.0
234,115.0,526.0,949.0,0.05930075693582726,5.0,0.0,1917.0,98.0,13.0,16.0,274.0
235,115.0,522.0,944.0,0.7918257390776795,5.0,0.0,1918.0,98.0,13.0,16.0,286.0
236,114.0,499.0,798.0,1.0852429059723554,5.0,0.0,1918.0,100.0,12.0,15.0,290.0
237,114.0,500.0,814.0,1.60885734575952,5.0,0.0,1918.0,100.0,12.0,16.0,292.0
238,114.0,507.0,815.0,0.0,5.0,0.0,1919.0,100.0,13.0,15.0,293.0
239,113.0,520.0,817.0,1.6578860327761926,5.0,0.0,1920.0,100.0,13.0,15.0,288.0
240,113.0,501.0,846.0,0.7255509015440181,5.0,0.0,1921.0,97.0,13.0,15.0,282.0
241,113.0,512.0,834.0,0.0,5.0,0.0,1919.0,97.0,13.0,14.0,285.0
242,113.0,513.0,863.0,1.7973554014487136,5.0,0.0,1919.0,97.0,13.0,14.0,275.0
243,113.0,530.0,854.0,0.6244512283271287,5.0,0.0,1919.0,97.0,13.0,15.0,292.0
244,112.0,530.0,905.0,0.0,5.0,0.0,1920.0,97.0,13.0,13.0,287.0
245,114.0,529.0,918.0,0.0,5.0,0.0,1919.0,97.0,14.0,16.0,292.0
246,114.0,532.0,904.0,0.0,5.0,0.0,1920.0,97.0,14.0,16.0,281.0
247,112.0,528.0,873.0,0.882276222561176,5.0,0.0,1920.0,97.0,14.0,16.0,260.0
248,114.0,534.0,905.0,0.11745326554823907,5.0,0.0,1920.0,97.0,14.0,16.0,281.0
249,114.0,531.0,963.0,0.4796503894772467,5.0,0.0,1921.0,97.0,14.0,16.0,238.0
250,114.0,525.0,1056.0,0.29145110700828375,5.0,0.0,1921.0,97.0,14.0,15.0,181.0
251,114.0,534.0,1104.0,0.26556491471534416,5.0,0.0,1920.0,97.0,14.0,15.0,182.0
252,114.0,542.0,1131.0,0.44595228114705077,5.0,0.0,1919.0,97.0,14.0,16.0,233.0
253,114.0,540.0,1129.0,0.0002750104156207054,5.0,0.0,1919.0,97.0,14.0,16.0,249.0
254,114.0,539.0,1182.0,0.13810630877535723,5.0,0.0,1918.0,97.0,14.0,16.0,232.0
255,112.0,541.0,1242.0,0.5165540336579785,6.0,0.0,1917.0,97.0,14.0,16.0,193.0
256,114.0,530.0,1132.0,0.5069057728551009,6.0,0.0,1916.0,89.0,14.0,17.0,188.0
257,113.0,538.0,1148.0,0.010963020047945832,6.0,0.0,1919.0,89.0,14.0,16.0,194.0
258,112.0,536.0,1227.0,0.3530919412174999,6.0,0.0,1919.0,89.0,14.0,17.0,175.0
259,112.0,543.0,1258.0,0.3606864408264746,5.0,0.0,1920.0,89.0,14.0,17.0,151.0
260,113.0,539.0,1213.0,0.0,5.0,0.0,1918.0,89.0,14.0,17.0,154.0
261,113.0,543.0,1162.0,0.3714114133577059,5.0,0.0,1920.0,90.0,14.0,16.0,154.0
262,113.0,557.0,1140.0,0.0,5.0,0.0,1921.0,90.0,14.0,16.0,157.0
