,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2394,2.039324736221622e-09,2.209810103753764e-09,2.0423517288769784e-09,2.041926122964811e-09,2.039830803987794e-09,2.0416988187289003e-09,2.0423701150625452e-09,2.0423094314962207e-09,2.043313803542485e-09,2.0390518363013697e-09,2.0396912107747864e-09,2.039865517407257e-09,2.042551777904808e-09
2395,1.547428708037699e-09,1.638273947413178e-09,1.5497195031476147e-09,1.549343422520753e-09,1.5478830343515808e-09,1.5491975209872658e-09,1.5497719484720716e-09,1.5496430730867848e-09,1.5486953857348501e-09,1.5468284664504565e-09,1.5467114030851996e-09,1.547923415542486e-09,1.5497961107439596e-09
2396,1.1894730426152915e-09,1.2361028528461572e-09,1.191082316520665e-09,1.1908106831333834e-09,1.1897768970406764e-09,1.1907079013903418e-09,1.1911581547183165e-09,1.1910337724687175e-09,1.1892468066972786e-09,1.1889288842475153e-09,1.1884836969052137e-09,1.189795547391072e-09,1.191148022137224e-09
2397,1.286579128360506e-09,1.3437092002434809e-09,1.2883117427633846e-09,1.2879939260348028e-09,1.2869001576568112e-09,1.287933625681359e-09,1.2883533476837163e-09,1.288285382996614e-09,1.286892091261304e-09,1.2859736483498026e-09,1.2856065862905147e-09,1.2869233054586465e-09,1.288423929166945e-09
2398,1.1464724349266401e-09,1.1888285541466439e-09,1.1478595533201926e-09,1.1476199536073315e-09,1.1467276180725591e-09,1.1476123204856277e-09,1.1479464440860673e-09,1.1479037412816765e-09,1.1462542477131036e-09,1.1459145494973166e-09,1.1456029252035662e-09,1.1467473936897427e-09,1.148014928086469e-09
2399,5.518527510703915e-10,5.586710447478552e-10,5.523717725816411e-10,5.522741913213917e-10,5.51943242989779e-10,5.522916084661076e-10,5.523947212379539e-10,5.524000606966124e-10,5.509582011881798e-10,5.516104241814403e-10,5.51479012502303e-10,5.51962357574656e-10,5.524394476198093e-10
2400,2.9520758519356125e-10,2.9607126319661013e-10,2.9541685793405383e-10,2.953793762420895e-10,2.952464175240573e-10,2.953880773251418e-10,2.954187975223867e-10,2.9542444211559644e-10,2.9480808346634613e-10,2.950952527286729e-10,2.950455308132305e-10,2.9525627705140887e-10,2.9543746373201416e-10
2401,1.803498690319242e-10,1.8025381906268084e-10,1.8044109690159834e-10,1.804261800787624e-10,1.803682890345428e-10,1.804297190099057e-10,1.8044090877991208e-10,1.8044441037883843e-10,1.8013354363725515e-10,1.802916652612928e-10,1.8026658093281479e-10,1.8037259400556486e-10,1.8045001816248819e-10
2402,1.626629019716239e-10,1.6251218806859792e-10,1.627400042746806e-10,1.6272682792314393e-10,1.6267682843016468e-10,1.6273083613141662e-10,1.6273970889078177e-10,1.6274306595384958e-10,1.6248258583891632e-10,1.6261365266918967e-10,1.625914074140194e-10,1.6268355683164642e-10,1.6274817358480783e-10
2403,1.6295095681911653e-10,1.6280033392789973e-10,1.630274791602195e-10,1.6301529184357282e-10,1.6296421454689474e-10,1.6301839534448692e-10,1.6302773412729297e-10,1.6303085909364363e-10,1.627754509952841e-10,1.629000957986756e-10,1.628774099614935e-10,1.6296764094171053e-10,1.630364097840943e-10
2404,1.7100383349466793e-10,1.7087607856801206e-10,1.7108714122231316e-10,1.710736626130324e-10,1.7101745426430766e-10,1.7107666448637205e-10,1.710871615063526e-10,1.710905229252921e-10,1.708157308030127e-10,1.7094839069823347e-10,1.708892454112174e-10,1.7102325078289594e-10,1.7109695313337714e-10
2405,3.5272367742666e-10,3.54518063153953e-10,3.5299861932570385e-10,3.5294763933489916e-10,3.5276259472858013e-10,3.5295683261379285e-10,3.53002458524611e-10,3.530098236941318e-10,3.5222982781572165e-10,3.525773940472411e-10,3.5240522219837127e-10,3.527767282085338e-10,3.5303629666778346e-10
2406,1.203354808979583e-09,1.2513587982906455e-09,1.2048640301833684e-09,1.2045827003537165e-09,1.2035615252164765e-09,1.2045640280202931e-09,1.204963543050623e-09,1.2049164390673876e-09,1.2028750063080437e-09,1.20264334985825e-09,1.2023502593779747e-09,1.2036115093920144e-09,1.2051317329058607e-09
2407,1.7092629338853265e-09,1.8242437079537091e-09,1.711671448248643e-09,1.7112805673364703e-09,1.7096118024143537e-09,1.7111916792290708e-09,1.7118954236887873e-09,1.7117310312916017e-09,1.7109509164364233e-09,1.7086280071233927e-09,1.709060774808825e-09,1.7096609160529646e-09,1.7120876992459261e-09
2408,1.4971271847652713e-09,1.580789314982332e-09,1.4992119496687634e-09,1.4988743461247973e-09,1.4974145156946684e-09,1.4987661359129254e-09,1.4994158338729974e-09,1.4992199332359595e-09,1.4976864445253048e-09,1.4964122381055701e-09,1.4981743060826848e-09,1.497441845558617e-09,1.4995215204569093e-09
2409,1.9208220296839824e-09,2.070438668231454e-09,1.923680602817826e-09,1.9231905679294215e-09,1.921213625600009e-09,1.923026761681846e-09,1.9239226521225394e-09,1.9236622979420882e-09,1.92338775554086e-09,1.9202969803919304e-09,1.9227880149663032e-09,1.921213625600009e-09,1.924079206008746e-09
2410,1.8585198445045746e-09,1.9975590075039252e-09,1.8612067392150238e-09,1.8607757805581741e-09,1.8588500055630531e-09,1.8606026934468072e-09,1.8613941886877534e-09,1.861212792765145e-09,1.8608776256198862e-09,1.8579056575181417e-09,1.8607139134616124e-09,1.8588615074523704e-09,1.8616093459012365e-09
2411,1.5808200195537042e-09,1.6763427956641985e-09,1.5829721377393356e-09,1.5826790842468882e-09,1.581134002053255e-09,1.582550859347432e-09,1.5831548493109939e-09,1.5830438135145818e-09,1.581624154599287e-09,1.58013176825777e-09,1.582801792806182e-09,1.5811627677594792e-09,1.5833626703246025e-09
2412,1.2850340844864383e-09,1.3418564714301183e-09,1.2866099961675878e-09,1.2863617205983228e-09,1.2852445570160473e-09,1.2863039073700601e-09,1.286729165309132e-09,1.2866777249071445e-09,1.2849250495047088e-09,1.2843021624471951e-09,1.2864938017656726e-09,1.2852517457933164e-09,1.28691901753577e-09
2413,1.115091447171526e-09,1.1543978736418098e-09,1.116378811373399e-09,1.1161175885077822e-09,1.1152643704927572e-09,1.1161324769567341e-09,1.1164745897106116e-09,1.116447486583948e-09,1.1144493464204547e-09,1.1144472590489046e-09,1.1162899624074466e-09,1.1152563843522238e-09,1.116646554093922e-09
2414,7.15231576603621e-10,7.280480854518282e-10,7.159446410822843e-10,7.158133785517862e-10,7.153294789819892e-10,7.158149184318813e-10,7.159842368194754e-10,7.159864935001184e-10,7.141383755401833e-10,7.148863044440877e-10,7.158908126563079e-10,7.153044502095228e-10,7.160784581980727e-10
2415,8.459055186560713e-10,8.652814589093012e-10,8.468094881585445e-10,8.466499706518736e-10,8.460353121261173e-10,8.466401536344508e-10,8.468447623030156e-10,8.468586654430804e-10,8.448176394582896e-10,8.454773006728596e-10,8.467155882244946e-10,8.45996101443317e-10,8.469824174309052e-10
2416,7.073959654300863e-10,7.198903926213941e-10,7.081121284229067e-10,7.07987597862623e-10,7.075046971579668e-10,7.079857448984356e-10,7.081548772977181e-10,7.081550692431594e-10,7.063344917252952e-10,7.070669169495933e-10,7.080219389327966e-10,7.074844441652904e-10,7.082468552214814e-10
2417,5.695855613772329e-10,5.769459892565361e-10,5.701299234388653e-10,5.700291112623772e-10,5.696734595038218e-10,5.700334711854498e-10,5.70161281301136e-10,5.701547309429134e-10,5.687065351413289e-10,5.693496783061931e-10,5.700218570896772e-10,5.696758740373065e-10,5.702224943939092e-10
