,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
4307,6255.243838584417,85.74822184038888,1548.2081883439482,9709.50056350058,163.8292393941124,535.062044092715,172.71197105130946,51.56059504782761,1847.9183413044725
4308,6099.844257226116,85.64376289050583,1538.6175400082323,9377.238365027455,165.78017923376328,392.13277274047323,174.63472355527725,51.477691119349295,2423.306115918949
4309,5928.827395015521,87.48011937636943,1532.3600714943564,8898.544363833314,162.82911019853486,222.66626145814848,155.27498187650053,51.208436880374826,2593.753010663304
4310,5761.431341586683,88.78728984417326,1543.8600976842238,8686.756450683548,160.0276747391418,201.5316190089933,154.66245791403898,44.827827769000656,2996.895780328883
4311,5508.312631626817,91.7955491798633,1545.891877619228,8092.7998137806735,162.75542691209782,213.86053376996887,149.76381321178178,43.57146544148625,3364.4557149780385
4312,5297.040488309253,88.54320211992044,1515.6132431190877,7587.176033461795,169.30051523777934,212.8018087269645,145.4341309211643,43.577668837376244,3663.95631532253
4313,5204.557292398971,91.71679594499203,1459.8312329858477,7485.468440732226,171.28254036441766,62.658809818852184,140.91598006382443,43.52238733859589,3618.26273634933
4314,5361.841351673856,99.41110057481288,1450.2751163072382,7595.256307807654,174.72472068720424,60.55616497638479,141.0732963585757,43.574025511681384,3334.1982554773385
4315,5602.818851953162,98.43738725827357,1450.8332127265548,7186.027394071682,176.0454017876289,63.91063587006695,131.47200234165408,43.63917666760654,3176.70746396708
4316,5559.3713785970895,97.33514104704486,1411.4442217077224,7151.026449085473,177.1062360892804,44.303304292599904,130.36125674287015,43.631400632183855,3020.485761299432
4317,6154.822532123354,97.75450185285018,1407.54545794992,6987.623183984331,179.07897736297411,57.67919168296028,122.29216515743619,43.87508326258214,2978.596579072462
4318,6085.287725310402,96.99378062654687,1396.9182120947598,6901.785775148975,179.7919383297754,119.47011304557047,116.21508087647794,44.0716045547106,2845.191164064934
4319,6340.279687486882,98.04878368734978,1272.5889209304064,6785.628789884805,183.15983817462015,256.90577201321736,123.32831900585194,2.3848799860123044,2599.68033228051
4320,6348.521779761878,101.46494426304928,1267.9195564928173,6467.759724218167,183.31692557345391,56.551705438237235,124.55475466673957,7.239122495894534e-13,2335.7484476976424
4321,5963.587740781289,101.94164421025722,1227.3083206467945,6269.975180571112,178.6984589044889,9.143328455474276e-13,123.61894829923334,7.414832636776225e-13,2145.285296056647
4322,5902.02666425272,98.79142402511745,1184.7506627333005,6383.203926534916,175.67877259521455,8.098435116954406e-13,122.20563996601217,6.918354777951663e-13,2133.3064554441326
4323,5651.76696351232,94.4192996464628,1184.7767985294665,6014.847434113892,174.58992852994865,1.0566998664973681e-12,122.20916424401548,7.298276566425344e-13,2180.394907261828
4324,5346.3340191289935,92.06893278834612,1188.2517924621056,6051.282551686012,173.1393068396655,9.002017881121205e-13,121.94200095201306,7.306828753161909e-13,2307.5612116566126
4325,5377.49130719736,94.61550335332556,1234.236865192235,6438.786477144762,173.91359096079017,9.659512772985934e-13,121.42505280770578,45.0587057491112,2151.008967208886
4326,5861.978976244854,98.04659528022616,1328.1838839848533,6484.713718360191,172.00665864956275,26.045657600145883,130.42628295144914,51.73289646312834,2505.2600468589003
4327,5896.355545939033,100.17427727236326,1387.6653643398824,6803.8977807674055,174.0663341764234,203.79940009346035,131.41486345927876,51.6875588196114,3116.5715707860727
4328,5803.802881748194,99.56405971957689,1399.084112578148,6794.032643364269,170.67520490127995,224.07714804703713,132.62205622970225,51.28609990330694,3416.7631373750846
4329,5805.411901344356,96.8114311305659,1391.0339282498887,6646.9015231655485,168.43803274508508,221.38240279318538,150.0554380143696,50.8983260917413,3404.8861104257885
4330,5859.973177822502,93.38576334832773,1386.2318459966043,6654.160620985105,165.90293328475013,125.89794396477646,156.1731881357431,50.770967507870694,3601.713074086222
4331,5700.269492716706,92.57701144268431,1388.0665502658217,6508.128227737045,168.63255781994314,93.869849379623,156.73697155828117,50.96404402243563,3714.4979989711
4332,5756.376672560393,96.2600228737822,1373.5289159771467,6546.895699567884,171.69069296434859,88.9549312557633,157.60547108251816,51.26147536634845,3724.423552586476
4333,5812.596237119721,99.60903541756697,1347.3806198736645,6439.319476300587,170.76338094076104,87.95605700039805,157.7637754134193,44.775968421630814,3686.788360925634
4334,5752.249217782094,99.88560319865293,1349.889686618127,6373.409763005511,170.21200684448658,8.42584495842889,157.2014841678913,43.84249410148315,3627.16961600999
4335,5485.7331920003535,100.84205064026898,1347.036362592431,6421.415565590302,171.04021474239,1.004503771828702e-12,155.85141257127148,29.57235833872213,3566.550006129609
4336,5345.907809468185,99.19442414195453,1362.8888848317217,6543.772053334984,171.00610272408622,8.620309327467268e-13,148.08886131232592,27.588840819138454,3388.1756993758886
4337,5952.668364395088,97.4483092900387,1414.3642162771343,6969.403677368732,174.1323773813277,130.10756938475444,141.194543566619,1.2386045233213823,3201.014915483157
4338,5849.864364258363,99.62640081599311,1397.755196807731,6678.402647420799,170.79742626135985,420.48051705990133,140.35422403329306,7.294737730534351e-13,2732.577497569634
4339,5897.192292854051,99.74819682895759,1399.4154687739494,6728.040320676793,171.03621054993633,494.25188131105125,140.56255931862808,7.069553276117801e-13,2213.739348618292
4340,6000.50540373342,100.95035054495736,1369.1971169910305,6842.283184185527,170.15656419373352,360.43826156787543,126.53706424730595,7.136843199750942e-13,1977.3289644702525
4341,6198.29931256276,101.57213890675801,1370.7210583143697,7134.398422250612,172.4529829463824,177.00069031247625,125.27927340986315,7.211280184105107e-13,2059.6649424694615
4342,6199.788680114545,101.77629854853726,1130.6671263867042,6584.542387493383,175.01235734228777,1.0291507229753805e-12,121.66227908928978,7.250224726140786e-13,2117.5603283766977
4343,5461.221212868121,103.12179259350475,686.6157741787335,5829.0464620987805,190.03010321320286,9.135261991310983e-13,119.74376215427789,6.958496279185766e-13,2324.0730214796704
4344,4744.806539662549,102.31520993361487,657.1568651771779,5571.348387075633,179.44559035120724,8.368566256633514e-13,118.61245141053391,7.276054758698081e-13,2384.9875344410248
