,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
426,28754.999999999996,3678.501462553067,175.3858524142377,1884.6252434073836,1146.3655557464333,7715.976107675803,130.02516901275803,67.21052354311695,2554.010332059793,4710.794684159294
427,28754.999999999996,3584.075714346247,175.3865358631091,1468.3773853122811,1136.7763195055618,7814.080846921665,130.10168789971493,65.5584383233378,2760.6351318608968,4726.163695711726
428,28154.49377494401,2917.7805560358383,175.37844062330916,1186.9362357779278,951.9453191563031,7966.436547767185,129.1953454273096,62.791675423989325,3243.232681172357,4690.648481192378
429,27219.628758934323,1709.0899225419905,175.37692502455891,880.7208354792649,674.27859711072,7952.0955656542155,129.0256590986845,0.0,3160.08663616677,4570.246217801593
430,23212.95946659042,845.0928210457126,175.39458104485243,486.4886110432903,499.9086465656458,8074.027854150326,131.00242587349928,0.0,3886.363342038706,4889.554112557738
431,19011.8708977959,317.66413586677004,175.42319827522417,511.93990212102517,348.3063653569881,8279.794682516242,134.2064089327805,0.0,3764.6955511853544,5098.5010620614
432,14910.756201843784,75.5985806530596,175.39899908138725,1.4274498919816228,335.66326238853014,8104.9387691536,131.4970689278983,1.734723475976807e-18,4085.542164110639,4897.8916186531205
433,13816.757914939955,45.517439815578484,175.40395542223408,1.4280420515324985,317.62690493172835,8142.889127945643,132.05198049408904,1.734723475976807e-18,3972.8707196261175,5050.263493001988
434,14082.985735256589,39.55831885321506,175.36794323658472,1.423739490361085,307.8293524113081,7587.919576075318,128.02005875133142,0.0,3702.749366664261,4991.538514911753
435,13200.865517019705,38.68859976481964,175.37807529607568,1.4249500196573832,310.8772463292426,7522.761885606603,129.15444341615938,0.0,3672.5729354492664,4948.455313143483
436,12356.283224446497,38.955088000336374,175.35780999421735,1.422528819740455,289.0480315382048,7355.21897559355,126.88554164386508,0.0,3647.4995217630058,5273.003231395303
437,11446.749409663858,38.67010656899249,175.36184706413263,1.4230111492617192,298.79972230120876,7603.147120579959,127.33753171075726,8.673617379884035e-19,3679.7491306969,5341.755537930819
