,Biomass,Fossil Brown coal/Lignite,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
43,1.0729195309977513e-12,3380.0087060588426,4.0514831073368285e-12,1801.8716677194263,9.869131553652544e-12,6.252776074688882e-13
44,1.085354028873553e-12,3340.8632943833936,3.975238541120696e-12,1811.763412376411,1.404565352913778e-11,6.536993168992922e-13
45,1.099564883588755e-12,3394.840970624507,4.035594775020357e-12,1570.933135490346,2.8808955221393262e-11,5.826450433232822e-13
46,1.1004530620084552e-12,3070.896592297519,4.0376382792750576e-12,1853.9142954831934,3.0738078748981934e-11,5.968558980384842e-13
47,1.1013412404281553e-12,2798.9573190048404,3.9837213389182224e-12,2027.9399960212725,26.12145160833373,6.394884621840902e-13
48,1.0809131367750524e-12,2769.2831777211354,4.022945171433534e-12,1894.4640937147212,58.345095693200484,6.536993168992922e-13
49,1.0800249583553523e-12,2745.795091976768,3.995354394548123e-12,1677.8190072065877,9.900344433155794e-12,5.968558980384842e-13
50,1.098676705169055e-12,2754.5303601541923,4.020835747686746e-12,1348.9583650882882,9.85993578450639e-12,5.968558980384842e-13
51,1.070254995738651e-12,2744.730261410126,4.104865752863063e-12,1097.033558874525,9.89501709736107e-12,6.110667527536862e-13
52,1.0729195309977513e-12,2769.1929384192404,4.035939984992076e-12,1036.054859084469,9.855062946262372e-12,6.394884621840902e-13
53,1.0889067425523535e-12,2787.1299375331237,4.01876448785643e-12,1125.2961620694628,9.878308240840461e-12,6.394884621840902e-13
54,1.0791367799356522e-12,2849.3532384639066,4.0103424053805625e-12,1511.0259955935755,9.85993578450639e-12,6.394884621840902e-13
55,1.0906830993917538e-12,3023.602032894478,4.076199447422546e-12,1592.2917525003654,9.86733958430186e-12,6.394884621840902e-13
56,1.0933476346508542e-12,3117.837360436002,3.942669107859231e-12,1661.588288878759,9.893644931091572e-12,6.394884621840902e-13
57,1.0897949209720537e-12,3173.2731015665413,4.026742481122447e-12,1813.2144042401026,9.87315611211681e-12,6.394884621840902e-13
58,1.0897949209720537e-12,2996.137274506816,1.4239276424632408e-11,1995.8405225340641,3.320366204206948e-11,6.110667527536862e-13
59,1.0880185641326534e-12,2945.2843506265763,128.6169877015409,1867.0121988282626,3.680966642605199e-11,6.679101716144942e-13
60,1.0818013151947525e-12,2938.1273718731827,126.83422371907317,1921.3201259168768,1.1923795284474181e-11,6.110667527536862e-13
61,1.0942358130705543e-12,3049.0372356856187,124.07769094542647,1740.0104754796312,9.850187505933139e-12,5.968558980384842e-13
62,1.0889067425523535e-12,3074.2553541879174,37.28843548353137,1699.7099449370949,9.873653110392677e-12,6.394884621840902e-13
63,1.084465850453853e-12,3174.1109746798625,4.021030036716056e-12,1777.7826604009535,9.862909967905953e-12,6.394884621840902e-13
64,1.0933476346508542e-12,3178.836403528715,23.939261187947892,1947.3788407834047,9.869826310404672e-12,6.821210263296962e-13
65,1.092459456231154e-12,3369.4838411833484,128.0455756125461,1842.4488045597927,9.907508841111579e-12,6.536993168992922e-13
66,1.098676705169055e-12,3408.1290538192193,6.185274514791672e-12,1933.9420295381224,9.890041910431968e-12,6.252776074688882e-13
67,1.0906830993917538e-12,3454.4986101518666,4.061835937041458e-12,1849.8549921319427,9.848864779282707e-12,6.394884621840902e-13
68,1.092459456231154e-12,3574.736096195261,4.004636899868075e-12,1741.0661391321205,1.2462919585232157e-11,6.821210263296962e-13
69,1.091571277811454e-12,3721.1597584301658,4.087220145665427e-12,1423.9425165206355,3.411315674384241e-11,6.252776074688882e-13
70,1.0906830993917538e-12,3655.817085847312,4.04311306656524e-12,1430.4017633143287,2.190603254348389e-11,6.252776074688882e-13
71,1.0960121699099545e-12,3493.0137711410157,4.061454297876743e-12,1466.761256830362,9.818916513193443e-12,6.679101716144942e-13
72,1.0897949209720537e-12,3407.5986178016637,3.968771492002254e-12,1421.1650735600167,9.863384414776633e-12,6.110667527536862e-13
73,1.0818013151947525e-12,3259.377081802283,4.059884373130984e-12,1196.300955304405,9.823603736025532e-12,6.252776074688882e-13
74,1.0862422072932532e-12,3001.464356049282,3.986668959364559e-12,1114.026682791261,9.863543629865662e-12,6.821210263296962e-13
75,1.0818013151947525e-12,3029.4643560493355,4.047579328994577e-12,844.0266827913149,9.82899834656506e-12,5.897504706808832e-13
76,1.0746958878371515e-12,3276.1325636511674,4.0399675792224254e-12,577.2885334989121,9.871297464332518e-12,6.394884621840902e-13
77,1.0818013151947525e-12,3559.5420169008794,4.033178305218321e-12,510.5509474745979,9.855231214439542e-12,6.110667527536862e-13
78,1.0933476346508542e-12,3466.895791115372,3.930554666464747e-12,881.5861043186538,9.880840069753649e-12,6.252776074688882e-13
79,1.0897949209720537e-12,3331.1241699758884,4.047027903769651e-12,1471.2886258626609,9.871964357088814e-12,6.750155989720952e-13
80,1.0889067425523535e-12,3295.4018159077787,4.006464431050016e-12,1706.216052173813,9.871128654054262e-12,6.323830348264892e-13
81,1.0818013151947525e-12,3368.1567684429247,4.004769606213987e-12,1776.502704562334,1.2278178473934531e-11,6.110667527536862e-13
82,1.0675904604795505e-12,3392.929771739051,4.012496064575988e-12,1775.2765595188507,2.7998936502626748e-11,6.110667527536862e-13
83,1.0693668173189508e-12,3374.998611652231,4.055603075592273e-12,1742.879606902879,2.113509367518418e-11,6.679101716144942e-13
84,1.0906830993917538e-12,3377.4907433336984,3.9764658579799494e-12,1705.5541026118283,9.866750645681766e-12,6.679101716144942e-13
85,1.0675904604795505e-12,3330.2811387023794,4.095418448812893e-12,1699.5150257087523,9.881058211230753e-12,6.252776074688882e-13
86,1.0960121699099545e-12,3310.5355467616314,4.075426194433129e-12,1660.6302670055452,9.835417202896934e-12,6.323830348264892e-13
87,1.06314956838105e-12,3326.975120406747,3.963633241066411e-12,1699.8931940393757,9.854591535157775e-12,6.394884621840902e-13
88,1.070254995738651e-12,3333.004302028658,84.54962873395573,1921.7472089463527,9.84431893641391e-12,6.536993168992922e-13
