"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"13.01.2018 04:00 - 13.01.2018 04:15","48096","48890"
"13.01.2018 04:15 - 13.01.2018 04:30","48179","48850"
"13.01.2018 04:30 - 13.01.2018 04:45","48246","48724"
"13.01.2018 04:45 - 13.01.2018 05:00","48298","48581"
"13.01.2018 05:00 - 13.01.2018 05:15","48563","48862"
"13.01.2018 05:15 - 13.01.2018 05:30","48262","48683"
"13.01.2018 05:30 - 13.01.2018 05:45","48487","48588"
"13.01.2018 05:45 - 13.01.2018 06:00","48662","48717"
"13.01.2018 06:00 - 13.01.2018 06:15","48788","48914"
"13.01.2018 06:15 - 13.01.2018 06:30","49353","49146"
"13.01.2018 06:30 - 13.01.2018 06:45","49944","50067"
"13.01.2018 06:45 - 13.01.2018 07:00","50697","50661"
"13.01.2018 07:00 - 13.01.2018 07:15","51734","51913"
"13.01.2018 07:15 - 13.01.2018 07:30","52681","52582"
"13.01.2018 07:30 - 13.01.2018 07:45","53914","53671"
"13.01.2018 07:45 - 13.01.2018 08:00","54783","54877"
"13.01.2018 08:00 - 13.01.2018 08:15","55903","56139"
"13.01.2018 08:15 - 13.01.2018 08:30","56584","56898"
"13.01.2018 08:30 - 13.01.2018 08:45","57409","57927"
"13.01.2018 08:45 - 13.01.2018 09:00","58032","58912"
"13.01.2018 09:00 - 13.01.2018 09:15","58872","59955"
"13.01.2018 09:15 - 13.01.2018 09:30","59438","60798"
"13.01.2018 09:30 - 13.01.2018 09:45","60005","61601"
"13.01.2018 09:45 - 13.01.2018 10:00","60168","62409"
"13.01.2018 10:00 - 13.01.2018 10:15","60593","63101"
"13.01.2018 10:15 - 13.01.2018 10:30","60951","63221"
"13.01.2018 10:30 - 13.01.2018 10:45","61212","63753"
"13.01.2018 10:45 - 13.01.2018 11:00","61425","63865"
"13.01.2018 11:00 - 13.01.2018 11:15","61776","63995"
"13.01.2018 11:15 - 13.01.2018 11:30","62059","64339"
"13.01.2018 11:30 - 13.01.2018 11:45","62368","64727"
"13.01.2018 11:45 - 13.01.2018 12:00","62165","64415"
"13.01.2018 12:00 - 13.01.2018 12:15","62289","64404"
"13.01.2018 12:15 - 13.01.2018 12:30","62395","64226"
"13.01.2018 12:30 - 13.01.2018 12:45","61993","63996"
"13.01.2018 12:45 - 13.01.2018 13:00","61754","63454"
"13.01.2018 13:00 - 13.01.2018 13:15","61285","62836"
"13.01.2018 13:15 - 13.01.2018 13:30","60769","62171"
"13.01.2018 13:30 - 13.01.2018 13:45","60371","61912"
"13.01.2018 13:45 - 13.01.2018 14:00","59511","61189"
"13.01.2018 14:00 - 13.01.2018 14:15","59091","60728"
"13.01.2018 14:15 - 13.01.2018 14:30","58574","60220"
"13.01.2018 14:30 - 13.01.2018 14:45","58540","59976"
"13.01.2018 14:45 - 13.01.2018 15:00","58728","59686"
"13.01.2018 15:00 - 13.01.2018 15:15","59021","59641"
"13.01.2018 15:15 - 13.01.2018 15:30","58520","59601"
"13.01.2018 15:30 - 13.01.2018 15:45","58405","59585"
"13.01.2018 15:45 - 13.01.2018 16:00","58420","59716"
"13.01.2018 16:00 - 13.01.2018 16:15","58953","60043"
"13.01.2018 16:15 - 13.01.2018 16:30","59310","60330"
"13.01.2018 16:30 - 13.01.2018 16:45","60051","60843"
"13.01.2018 16:45 - 13.01.2018 17:00","60726","61834"
"13.01.2018 17:00 - 13.01.2018 17:15","62183","63155"
"13.01.2018 17:15 - 13.01.2018 17:30","62972","63875"
"13.01.2018 17:30 - 13.01.2018 17:45","63704","64462"
"13.01.2018 17:45 - 13.01.2018 18:00","63863","64918"
"13.01.2018 18:00 - 13.01.2018 18:15","63979","65157"
"13.01.2018 18:15 - 13.01.2018 18:30","63937","64967"
"13.01.2018 18:30 - 13.01.2018 18:45","63791","64607"
"13.01.2018 18:45 - 13.01.2018 19:00","63777","64080"
"13.01.2018 19:00 - 13.01.2018 19:15","63458","63718"
"13.01.2018 19:15 - 13.01.2018 19:30","62870","63108"
"13.01.2018 19:30 - 13.01.2018 19:45","62330","62293"
"13.01.2018 19:45 - 13.01.2018 20:00","61735","61518"
"13.01.2018 20:00 - 13.01.2018 20:15","60455","60176"
"13.01.2018 20:15 - 13.01.2018 20:30","59319","59061"
"13.01.2018 20:30 - 13.01.2018 20:45","58118","58143"
"13.01.2018 20:45 - 13.01.2018 21:00","57410","57527"
"13.01.2018 21:00 - 13.01.2018 21:15","56598","56857"
"13.01.2018 21:15 - 13.01.2018 21:30","56279","56470"
"13.01.2018 21:30 - 13.01.2018 21:45","56272","55805"
"13.01.2018 21:45 - 13.01.2018 22:00","56077","55769"
"13.01.2018 22:00 - 13.01.2018 22:15","56546","56499"
"13.01.2018 22:15 - 13.01.2018 22:30","55956","55748"
"13.01.2018 22:30 - 13.01.2018 22:45","55094","55088"
"13.01.2018 22:45 - 13.01.2018 23:00","54036","54430"
"13.01.2018 23:00 - 13.01.2018 23:15","52790","53626"
"13.01.2018 23:15 - 13.01.2018 23:30","51798","52744"
"13.01.2018 23:30 - 13.01.2018 23:45","51001","51823"
"13.01.2018 23:45 - 14.01.2018 00:00","50216","51028"
"14.01.2018 00:00 - 14.01.2018 00:15","49863","50188"
"14.01.2018 00:15 - 14.01.2018 00:30","49469","49243"
"14.01.2018 00:30 - 14.01.2018 00:45","48973","48657"
"14.01.2018 00:45 - 14.01.2018 01:00","48396","48155"
"14.01.2018 01:00 - 14.01.2018 01:15","47752","47610"
"14.01.2018 01:15 - 14.01.2018 01:30","47367","47172"
"14.01.2018 01:30 - 14.01.2018 01:45","46933","46717"
"14.01.2018 01:45 - 14.01.2018 02:00","46737","46645"
"14.01.2018 02:00 - 14.01.2018 02:15","46417","46194"
"14.01.2018 02:15 - 14.01.2018 02:30","46211","45898"
"14.01.2018 02:30 - 14.01.2018 02:45","46105","45476"
"14.01.2018 02:45 - 14.01.2018 03:00","46045","45347"
"14.01.2018 03:00 - 14.01.2018 03:15","45997","45522"
"14.01.2018 03:15 - 14.01.2018 03:30","45958","45515"
"14.01.2018 03:30 - 14.01.2018 03:45","45947","45510"
"14.01.2018 03:45 - 14.01.2018 04:00","45871","45464"
"14.01.2018 04:00 - 14.01.2018 04:15","45947","45624"
"14.01.2018 04:15 - 14.01.2018 04:30","45905","45576"
"14.01.2018 04:30 - 14.01.2018 04:45","45931","45555"
"14.01.2018 04:45 - 14.01.2018 05:00","45873","45572"
"14.01.2018 05:00 - 14.01.2018 05:15","45972","45525"
"14.01.2018 05:15 - 14.01.2018 05:30","45688","45323"
"14.01.2018 05:30 - 14.01.2018 05:45","45653","45107"
"14.01.2018 05:45 - 14.01.2018 06:00","45561","44762"
"14.01.2018 06:00 - 14.01.2018 06:15","44985","44467"
"14.01.2018 06:15 - 14.01.2018 06:30","45282","44345"
"14.01.2018 06:30 - 14.01.2018 06:45","45577","44522"
"14.01.2018 06:45 - 14.01.2018 07:00","46084","44868"
"14.01.2018 07:00 - 14.01.2018 07:15","46484","45761"
"14.01.2018 07:15 - 14.01.2018 07:30","47092","46129"
"14.01.2018 07:30 - 14.01.2018 07:45","48310","46705"
"14.01.2018 07:45 - 14.01.2018 08:00","49196","47579"
"14.01.2018 08:00 - 14.01.2018 08:15","49972","48457"
"14.01.2018 08:15 - 14.01.2018 08:30","50574","49159"
"14.01.2018 08:30 - 14.01.2018 08:45","51448","50239"
"14.01.2018 08:45 - 14.01.2018 09:00","52044","51343"
"14.01.2018 09:00 - 14.01.2018 09:15","53100","52432"
"14.01.2018 09:15 - 14.01.2018 09:30","53903","53377"
"14.01.2018 09:30 - 14.01.2018 09:45","54468","53984"
"14.01.2018 09:45 - 14.01.2018 10:00","54789","54520"
"14.01.2018 10:00 - 14.01.2018 10:15","55428","54873"
"14.01.2018 10:15 - 14.01.2018 10:30","55965","55580"
"14.01.2018 10:30 - 14.01.2018 10:45","56425","56107"
"14.01.2018 10:45 - 14.01.2018 11:00","57004","56684"
"14.01.2018 11:00 - 14.01.2018 11:15","57398","57445"
"14.01.2018 11:15 - 14.01.2018 11:30","58141","58181"
"14.01.2018 11:30 - 14.01.2018 11:45","58688","58929"
"14.01.2018 11:45 - 14.01.2018 12:00","58512","58774"
"14.01.2018 12:00 - 14.01.2018 12:15","58615","58575"
"14.01.2018 12:15 - 14.01.2018 12:30","58738","58460"
"14.01.2018 12:30 - 14.01.2018 12:45","58210","57971"
"14.01.2018 12:45 - 14.01.2018 13:00","57798","57327"
"14.01.2018 13:00 - 14.01.2018 13:15","57438","56946"
"14.01.2018 13:15 - 14.01.2018 13:30","56838","56257"
"14.01.2018 13:30 - 14.01.2018 13:45","56700","55832"
"14.01.2018 13:45 - 14.01.2018 14:00","55729","55019"
"14.01.2018 14:00 - 14.01.2018 14:15","55542","54825"
"14.01.2018 14:15 - 14.01.2018 14:30","54904","54993"
"14.01.2018 14:30 - 14.01.2018 14:45","54903","54638"
"14.01.2018 14:45 - 14.01.2018 15:00","55067","54320"
"14.01.2018 15:00 - 14.01.2018 15:15","55268","54501"
"14.01.2018 15:15 - 14.01.2018 15:30","54756","54470"
"14.01.2018 15:30 - 14.01.2018 15:45","54730","54247"
"14.01.2018 15:45 - 14.01.2018 16:00","54758","54270"
"14.01.2018 16:00 - 14.01.2018 16:15","55458","54791"
"14.01.2018 16:15 - 14.01.2018 16:30","55877","55259"
"14.01.2018 16:30 - 14.01.2018 16:45","56458","56250"
"14.01.2018 16:45 - 14.01.2018 17:00","57255","57769"
"14.01.2018 17:00 - 14.01.2018 17:15","58893","59549"
"14.01.2018 17:15 - 14.01.2018 17:30","59745","61074"
"14.01.2018 17:30 - 14.01.2018 17:45","60768","61693"
"14.01.2018 17:45 - 14.01.2018 18:00","60960","62277"
"14.01.2018 18:00 - 14.01.2018 18:15","61378","62804"
"14.01.2018 18:15 - 14.01.2018 18:30","61564","63019"
"14.01.2018 18:30 - 14.01.2018 18:45","61407","62898"
"14.01.2018 18:45 - 14.01.2018 19:00","61309","62651"
"14.01.2018 19:00 - 14.01.2018 19:15","61162","62652"
"14.01.2018 19:15 - 14.01.2018 19:30","60758","61980"
"14.01.2018 19:30 - 14.01.2018 19:45","60322","61249"
"14.01.2018 19:45 - 14.01.2018 20:00","59568","60663"
"14.01.2018 20:00 - 14.01.2018 20:15","58976","60091"
"14.01.2018 20:15 - 14.01.2018 20:30","58375","59342"
"14.01.2018 20:30 - 14.01.2018 20:45","56997","58604"
"14.01.2018 20:45 - 14.01.2018 21:00","56636","57528"
"14.01.2018 21:00 - 14.01.2018 21:15","55940","57634"
"14.01.2018 21:15 - 14.01.2018 21:30","55741","57218"
"14.01.2018 21:30 - 14.01.2018 21:45","55832","57056"
"14.01.2018 21:45 - 14.01.2018 22:00","56022","57173"
"14.01.2018 22:00 - 14.01.2018 22:15","56755","58234"
"14.01.2018 22:15 - 14.01.2018 22:30","56380","57754"
"14.01.2018 22:30 - 14.01.2018 22:45","55707","57115"
"14.01.2018 22:45 - 14.01.2018 23:00","54689","56333"
"14.01.2018 23:00 - 14.01.2018 23:15","53581","55343"
"14.01.2018 23:15 - 14.01.2018 23:30","52725","54776"
"14.01.2018 23:30 - 14.01.2018 23:45","52003","54048"
"14.01.2018 23:45 - 15.01.2018 00:00","51397","53398"
"15.01.2018 00:00 - 15.01.2018 00:15","50957","52627"
"15.01.2018 00:15 - 15.01.2018 00:30","50438","52171"
"15.01.2018 00:30 - 15.01.2018 00:45","49936","51610"
"15.01.2018 00:45 - 15.01.2018 01:00","49432","51018"
"15.01.2018 01:00 - 15.01.2018 01:15","48949","50402"
"15.01.2018 01:15 - 15.01.2018 01:30","48554","50122"
"15.01.2018 01:30 - 15.01.2018 01:45","48324","50118"
"15.01.2018 01:45 - 15.01.2018 02:00","48158","49941"
"15.01.2018 02:00 - 15.01.2018 02:15","47917","49577"
"15.01.2018 02:15 - 15.01.2018 02:30","47866","49648"
"15.01.2018 02:30 - 15.01.2018 02:45","47893","49810"
"15.01.2018 02:45 - 15.01.2018 03:00","47944","49953"
"15.01.2018 03:00 - 15.01.2018 03:15","48045","49864"
"15.01.2018 03:15 - 15.01.2018 03:30","48070","49981"
"15.01.2018 03:30 - 15.01.2018 03:45","48290","50380"
"15.01.2018 03:45 - 15.01.2018 04:00","48513","50582"
"15.01.2018 04:00 - 15.01.2018 04:15","49122","51071"
"15.01.2018 04:15 - 15.01.2018 04:30","49490","51645"
"15.01.2018 04:30 - 15.01.2018 04:45","50025","52384"
"15.01.2018 04:45 - 15.01.2018 05:00","50534","53132"
"15.01.2018 05:00 - 15.01.2018 05:15","51865","54467"
"15.01.2018 05:15 - 15.01.2018 05:30","52599","55620"
"15.01.2018 05:30 - 15.01.2018 05:45","53876","57084"
"15.01.2018 05:45 - 15.01.2018 06:00","55511","58794"
"15.01.2018 06:00 - 15.01.2018 06:15","58363","62132"
"15.01.2018 06:15 - 15.01.2018 06:30","60850","64831"
"15.01.2018 06:30 - 15.01.2018 06:45","62765","67195"
"15.01.2018 06:45 - 15.01.2018 07:00","64605","68612"
"15.01.2018 07:00 - 15.01.2018 07:15","66522","70656"
"15.01.2018 07:15 - 15.01.2018 07:30","67749","72198"
"15.01.2018 07:30 - 15.01.2018 07:45","68818","73342"
"15.01.2018 07:45 - 15.01.2018 08:00","69703","74418"
"15.01.2018 08:00 - 15.01.2018 08:15","70599","74843"
"15.01.2018 08:15 - 15.01.2018 08:30","70839","74987"
"15.01.2018 08:30 - 15.01.2018 08:45","71163","75240"
"15.01.2018 08:45 - 15.01.2018 09:00","71297","75410"
"15.01.2018 09:00 - 15.01.2018 09:15","71121","75007"
"15.01.2018 09:15 - 15.01.2018 09:30","71388","75146"
"15.01.2018 09:30 - 15.01.2018 09:45","71694","75428"
"15.01.2018 09:45 - 15.01.2018 10:00","71841","75923"
"15.01.2018 10:00 - 15.01.2018 10:15","71992","76086"
"15.01.2018 10:15 - 15.01.2018 10:30","72306","75957"
"15.01.2018 10:30 - 15.01.2018 10:45","72475","76070"
"15.01.2018 10:45 - 15.01.2018 11:00","72782","76278"
"15.01.2018 11:00 - 15.01.2018 11:15","72957","76708"
"15.01.2018 11:15 - 15.01.2018 11:30","73353","77097"
"15.01.2018 11:30 - 15.01.2018 11:45","73586","77350"
"15.01.2018 11:45 - 15.01.2018 12:00","74080","77188"
"15.01.2018 12:00 - 15.01.2018 12:15","73146","77308"
"15.01.2018 12:15 - 15.01.2018 12:30","73166","77122"
"15.01.2018 12:30 - 15.01.2018 12:45","73063","77116"
"15.01.2018 12:45 - 15.01.2018 13:00","73262","77063"
"15.01.2018 13:00 - 15.01.2018 13:15","73122","77154"
"15.01.2018 13:15 - 15.01.2018 13:30","72624","76827"
"15.01.2018 13:30 - 15.01.2018 13:45","72309","77056"
"15.01.2018 13:45 - 15.01.2018 14:00","71616","76181"
"15.01.2018 14:00 - 15.01.2018 14:15","71456","75998"
"15.01.2018 14:15 - 15.01.2018 14:30","71381","76153"
"15.01.2018 14:30 - 15.01.2018 14:45","71175","76126"
"15.01.2018 14:45 - 15.01.2018 15:00","70733","75808"
"15.01.2018 15:00 - 15.01.2018 15:15","69264","76102"
"15.01.2018 15:15 - 15.01.2018 15:30","70737","75882"
"15.01.2018 15:30 - 15.01.2018 15:45","70722","75778"
"15.01.2018 15:45 - 15.01.2018 16:00","70332","75786"
"15.01.2018 16:00 - 15.01.2018 16:15","70550","75945"
"15.01.2018 16:15 - 15.01.2018 16:30","69655","76005"
"15.01.2018 16:30 - 15.01.2018 16:45","67803","76559"
"15.01.2018 16:45 - 15.01.2018 17:00","68472","77424"
"15.01.2018 17:00 - 15.01.2018 17:15","69669","78361"
"15.01.2018 17:15 - 15.01.2018 17:30","70211","79065"
"15.01.2018 17:30 - 15.01.2018 17:45","70762","79435"
"15.01.2018 17:45 - 15.01.2018 18:00","71052","79586"
"15.01.2018 18:00 - 15.01.2018 18:15","70756","79099"
"15.01.2018 18:15 - 15.01.2018 18:30","70736","78619"
"15.01.2018 18:30 - 15.01.2018 18:45","70710","78547"
"15.01.2018 18:45 - 15.01.2018 19:00","70838","78104"
"15.01.2018 19:00 - 15.01.2018 19:15","70479","77538"
"15.01.2018 19:15 - 15.01.2018 19:30","70095","76743"
"15.01.2018 19:30 - 15.01.2018 19:45","69673","76220"
"15.01.2018 19:45 - 15.01.2018 20:00","69129","75475"
"15.01.2018 20:00 - 15.01.2018 20:15","68072","74228"
"15.01.2018 20:15 - 15.01.2018 20:30","67247","72619"
"15.01.2018 20:30 - 15.01.2018 20:45","66374","71492"
"15.01.2018 20:45 - 15.01.2018 21:00","65798","70340"
"15.01.2018 21:00 - 15.01.2018 21:15","65252","69711"
"15.01.2018 21:15 - 15.01.2018 21:30","64775","68992"
"15.01.2018 21:30 - 15.01.2018 21:45","64579","68206"
"15.01.2018 21:45 - 15.01.2018 22:00","63432","67245"
"15.01.2018 22:00 - 15.01.2018 22:15","63479","67318"
"15.01.2018 22:15 - 15.01.2018 22:30","62716","66497"
"15.01.2018 22:30 - 15.01.2018 22:45","61630","65375"
"15.01.2018 22:45 - 15.01.2018 23:00","60371","64274"
"15.01.2018 23:00 - 15.01.2018 23:15","59029","62777"
"15.01.2018 23:15 - 15.01.2018 23:30","58037","61572"
"15.01.2018 23:30 - 15.01.2018 23:45","57044","60683"
"15.01.2018 23:45 - 16.01.2018 00:00","56154","59458"
"16.01.2018 00:00 - 16.01.2018 00:15","56779","58532"
"16.01.2018 00:15 - 16.01.2018 00:30","56427","57609"
"16.01.2018 00:30 - 16.01.2018 00:45","55887","56697"
"16.01.2018 00:45 - 16.01.2018 01:00","55377","56340"
"16.01.2018 01:00 - 16.01.2018 01:15","54804","55297"
"16.01.2018 01:15 - 16.01.2018 01:30","54424","54812"
"16.01.2018 01:30 - 16.01.2018 01:45","54170","54680"
"16.01.2018 01:45 - 16.01.2018 02:00","53933","54389"
"16.01.2018 02:00 - 16.01.2018 02:15","53573","54068"
"16.01.2018 02:15 - 16.01.2018 02:30","53516","53784"
"16.01.2018 02:30 - 16.01.2018 02:45","53555","53743"
"16.01.2018 02:45 - 16.01.2018 03:00","53588","54060"
"16.01.2018 03:00 - 16.01.2018 03:15","53696","54152"
"16.01.2018 03:15 - 16.01.2018 03:30","53691","54108"
"16.01.2018 03:30 - 16.01.2018 03:45","53882","54256"
"16.01.2018 03:45 - 16.01.2018 04:00","53902","54359"
"16.01.2018 04:00 - 16.01.2018 04:15","54330","54861"
"16.01.2018 04:15 - 16.01.2018 04:30","54623","55191"
"16.01.2018 04:30 - 16.01.2018 04:45","55072","55459"
"16.01.2018 04:45 - 16.01.2018 05:00","55598","55761"
"16.01.2018 05:00 - 16.01.2018 05:15","56361","56854"
"16.01.2018 05:15 - 16.01.2018 05:30","57015","57505"
"16.01.2018 05:30 - 16.01.2018 05:45","57981","58544"
"16.01.2018 05:45 - 16.01.2018 06:00","59294","60139"
"16.01.2018 06:00 - 16.01.2018 06:15","61888","62984"
"16.01.2018 06:15 - 16.01.2018 06:30","64021","65260"
"16.01.2018 06:30 - 16.01.2018 06:45","65840","67665"
"16.01.2018 06:45 - 16.01.2018 07:00","67482","69538"
"16.01.2018 07:00 - 16.01.2018 07:15","69452","71569"
"16.01.2018 07:15 - 16.01.2018 07:30","70552","73060"
"16.01.2018 07:30 - 16.01.2018 07:45","71508","73893"
"16.01.2018 07:45 - 16.01.2018 08:00","72340","74882"
"16.01.2018 08:00 - 16.01.2018 08:15","73057","75428"
"16.01.2018 08:15 - 16.01.2018 08:30","73155","75551"
"16.01.2018 08:30 - 16.01.2018 08:45","73353","75482"
"16.01.2018 08:45 - 16.01.2018 09:00","73339","75650"
"16.01.2018 09:00 - 16.01.2018 09:15","73098","75111"
"16.01.2018 09:15 - 16.01.2018 09:30","73290","75232"
"16.01.2018 09:30 - 16.01.2018 09:45","73386","75959"
"16.01.2018 09:45 - 16.01.2018 10:00","73627","76166"
"16.01.2018 10:00 - 16.01.2018 10:15","73667","76170"
"16.01.2018 10:15 - 16.01.2018 10:30","73903","76305"
"16.01.2018 10:30 - 16.01.2018 10:45","74125","76731"
"16.01.2018 10:45 - 16.01.2018 11:00","74327","76793"
"16.01.2018 11:00 - 16.01.2018 11:15","74380","76906"
"16.01.2018 11:15 - 16.01.2018 11:30","74652","77043"
"16.01.2018 11:30 - 16.01.2018 11:45","74894","76974"
"16.01.2018 11:45 - 16.01.2018 12:00","74725","76780"
"16.01.2018 12:00 - 16.01.2018 12:15","74235","76562"
"16.01.2018 12:15 - 16.01.2018 12:30","74383","76471"
"16.01.2018 12:30 - 16.01.2018 12:45","74319","76439"
"16.01.2018 12:45 - 16.01.2018 13:00","74649","76621"
"16.01.2018 13:00 - 16.01.2018 13:15","74556","76538"
"16.01.2018 13:15 - 16.01.2018 13:30","74175","76422"
"16.01.2018 13:30 - 16.01.2018 13:45","73993","76199"
"16.01.2018 13:45 - 16.01.2018 14:00","73371","75409"
"16.01.2018 14:00 - 16.01.2018 14:15","73180","75039"
"16.01.2018 14:15 - 16.01.2018 14:30","72964","75107"
"16.01.2018 14:30 - 16.01.2018 14:45","72992","74850"
"16.01.2018 14:45 - 16.01.2018 15:00","72700","74582"
"16.01.2018 15:00 - 16.01.2018 15:15","72288","74815"
"16.01.2018 15:15 - 16.01.2018 15:30","72293","74831"
"16.01.2018 15:30 - 16.01.2018 15:45","72096","74493"
"16.01.2018 15:45 - 16.01.2018 16:00","71963","74301"
"16.01.2018 16:00 - 16.01.2018 16:15","72196","74197"
"16.01.2018 16:15 - 16.01.2018 16:30","71942","74076"
"16.01.2018 16:30 - 16.01.2018 16:45","71890","74462"
"16.01.2018 16:45 - 16.01.2018 17:00","73379","75009"
"16.01.2018 17:00 - 16.01.2018 17:15","74533","75982"
"16.01.2018 17:15 - 16.01.2018 17:30","75130","77252"
"16.01.2018 17:30 - 16.01.2018 17:45","75540","77770"
"16.01.2018 17:45 - 16.01.2018 18:00","75903","77839"
"16.01.2018 18:00 - 16.01.2018 18:15","75480","77605"
"16.01.2018 18:15 - 16.01.2018 18:30","75497","77113"
"16.01.2018 18:30 - 16.01.2018 18:45","75306","76941"
"16.01.2018 18:45 - 16.01.2018 19:00","74981","77024"
"16.01.2018 19:00 - 16.01.2018 19:15","74599","76891"
"16.01.2018 19:15 - 16.01.2018 19:30","74100","76046"
"16.01.2018 19:30 - 16.01.2018 19:45","73540","75682"
"16.01.2018 19:45 - 16.01.2018 20:00","72677","74882"
"16.01.2018 20:00 - 16.01.2018 20:15","71386","73526"
"16.01.2018 20:15 - 16.01.2018 20:30","69938","72244"
"16.01.2018 20:30 - 16.01.2018 20:45","68864","70896"
"16.01.2018 20:45 - 16.01.2018 21:00","68086","69530"
"16.01.2018 21:00 - 16.01.2018 21:15","67162","68734"
"16.01.2018 21:15 - 16.01.2018 21:30","66602","67822"
"16.01.2018 21:30 - 16.01.2018 21:45","66012","67010"
"16.01.2018 21:45 - 16.01.2018 22:00","65282","65965"
"16.01.2018 22:00 - 16.01.2018 22:15","65384","65795"
"16.01.2018 22:15 - 16.01.2018 22:30","64487","64832"
"16.01.2018 22:30 - 16.01.2018 22:45","63592","63711"
"16.01.2018 22:45 - 16.01.2018 23:00","62207","62163"
"16.01.2018 23:00 - 16.01.2018 23:15","60876","60756"
"16.01.2018 23:15 - 16.01.2018 23:30","59842","59772"
"16.01.2018 23:30 - 16.01.2018 23:45","58745","59144"
"16.01.2018 23:45 - 17.01.2018 00:00","57871","58258"
"17.01.2018 00:00 - 17.01.2018 00:15","58150","57576"
"17.01.2018 00:15 - 17.01.2018 00:30","57553","56652"
"17.01.2018 00:30 - 17.01.2018 00:45","56951","56280"
"17.01.2018 00:45 - 17.01.2018 01:00","56375","55358"
"17.01.2018 01:00 - 17.01.2018 01:15","55838","54831"
"17.01.2018 01:15 - 17.01.2018 01:30","55303","54334"
"17.01.2018 01:30 - 17.01.2018 01:45","55091","54071"
"17.01.2018 01:45 - 17.01.2018 02:00","54726","53935"
"17.01.2018 02:00 - 17.01.2018 02:15","54339","53405"
"17.01.2018 02:15 - 17.01.2018 02:30","54160","53291"
"17.01.2018 02:30 - 17.01.2018 02:45","54279","53329"
"17.01.2018 02:45 - 17.01.2018 03:00","54298","53362"
"17.01.2018 03:00 - 17.01.2018 03:15","54381","53528"
"17.01.2018 03:15 - 17.01.2018 03:30","54394","53637"
"17.01.2018 03:30 - 17.01.2018 03:45","54636","53885"
"17.01.2018 03:45 - 17.01.2018 04:00","54672","54004"
"17.01.2018 04:00 - 17.01.2018 04:15","55151","54575"
"17.01.2018 04:15 - 17.01.2018 04:30","55437","55104"
"17.01.2018 04:30 - 17.01.2018 04:45","55852","55332"
"17.01.2018 04:45 - 17.01.2018 05:00","56329","56033"
"17.01.2018 05:00 - 17.01.2018 05:15","57189","57362"
"17.01.2018 05:15 - 17.01.2018 05:30","57799","57959"
"17.01.2018 05:30 - 17.01.2018 05:45","58800","58576"
"17.01.2018 05:45 - 17.01.2018 06:00","59934","59925"
"17.01.2018 06:00 - 17.01.2018 06:15","62285","62531"
"17.01.2018 06:15 - 17.01.2018 06:30","64407","64910"
"17.01.2018 06:30 - 17.01.2018 06:45","66339","66840"
"17.01.2018 06:45 - 17.01.2018 07:00","68032","68466"
"17.01.2018 07:00 - 17.01.2018 07:15","69934","70685"
"17.01.2018 07:15 - 17.01.2018 07:30","70922","71731"
"17.01.2018 07:30 - 17.01.2018 07:45","72095","72935"
"17.01.2018 07:45 - 17.01.2018 08:00","72966","73981"
"17.01.2018 08:00 - 17.01.2018 08:15","73794","74828"
"17.01.2018 08:15 - 17.01.2018 08:30","73681","75237"
"17.01.2018 08:30 - 17.01.2018 08:45","73983","75632"
"17.01.2018 08:45 - 17.01.2018 09:00","74082","75853"
"17.01.2018 09:00 - 17.01.2018 09:15","73871","75386"
"17.01.2018 09:15 - 17.01.2018 09:30","73920","75923"
"17.01.2018 09:30 - 17.01.2018 09:45","73983","76405"
"17.01.2018 09:45 - 17.01.2018 10:00","74263","76321"
"17.01.2018 10:00 - 17.01.2018 10:15","74336","76471"
"17.01.2018 10:15 - 17.01.2018 10:30","74258","76345"
"17.01.2018 10:30 - 17.01.2018 10:45","74476","76667"
"17.01.2018 10:45 - 17.01.2018 11:00","74800","77353"
"17.01.2018 11:00 - 17.01.2018 11:15","74816","77424"
"17.01.2018 11:15 - 17.01.2018 11:30","75184","77644"
"17.01.2018 11:30 - 17.01.2018 11:45","75303","77704"
"17.01.2018 11:45 - 17.01.2018 12:00","75039","77648"
"17.01.2018 12:00 - 17.01.2018 12:15","74677","77178"
"17.01.2018 12:15 - 17.01.2018 12:30","74840","77280"
"17.01.2018 12:30 - 17.01.2018 12:45","74813","76952"
"17.01.2018 12:45 - 17.01.2018 13:00","75168","76896"
"17.01.2018 13:00 - 17.01.2018 13:15","75025","76756"
"17.01.2018 13:15 - 17.01.2018 13:30","74616","76914"
"17.01.2018 13:30 - 17.01.2018 13:45","74296","76264"
"17.01.2018 13:45 - 17.01.2018 14:00","73835","75773"
"17.01.2018 14:00 - 17.01.2018 14:15","73623","75957"
"17.01.2018 14:15 - 17.01.2018 14:30","73338","75984"
"17.01.2018 14:30 - 17.01.2018 14:45","73314","75982"
"17.01.2018 14:45 - 17.01.2018 15:00","73116","75856"
"17.01.2018 15:00 - 17.01.2018 15:15","72833","75817"
"17.01.2018 15:15 - 17.01.2018 15:30","72927","75625"
"17.01.2018 15:30 - 17.01.2018 15:45","72676","75462"
"17.01.2018 15:45 - 17.01.2018 16:00","72525","75212"
"17.01.2018 16:00 - 17.01.2018 16:15","72690","75216"
"17.01.2018 16:15 - 17.01.2018 16:30","72455","74667"
"17.01.2018 16:30 - 17.01.2018 16:45","72357","74865"
