"Time (CET)","Hungary (HU) > Croatia (HR) [MW]","Croatia (HR) > Hungary (HU) [MW]"
"05.04.2018 01:00 - 05.04.2018 02:00","4","0"
"05.04.2018 02:00 - 05.04.2018 03:00","28","0"
"05.04.2018 03:00 - 05.04.2018 04:00","40","0"
"05.04.2018 04:00 - 05.04.2018 05:00","42","0"
"05.04.2018 05:00 - 05.04.2018 06:00","0","10"
"05.04.2018 06:00 - 05.04.2018 07:00","0","167"
"05.04.2018 07:00 - 05.04.2018 08:00","0","122"
"05.04.2018 08:00 - 05.04.2018 09:00","0","86"
"05.04.2018 09:00 - 05.04.2018 10:00","0","127"
"05.04.2018 10:00 - 05.04.2018 11:00","0","57"
"05.04.2018 11:00 - 05.04.2018 12:00","0","43"
"05.04.2018 12:00 - 05.04.2018 13:00","3","0"
"05.04.2018 13:00 - 05.04.2018 14:00","93","0"
"05.04.2018 14:00 - 05.04.2018 15:00","102","0"
"05.04.2018 15:00 - 05.04.2018 16:00","77","0"
"05.04.2018 16:00 - 05.04.2018 17:00","44","0"
"05.04.2018 17:00 - 05.04.2018 18:00","8","0"
"05.04.2018 18:00 - 05.04.2018 19:00","0","76"
"05.04.2018 19:00 - 05.04.2018 20:00","36","0"
"05.04.2018 20:00 - 05.04.2018 21:00","100","0"
"05.04.2018 21:00 - 05.04.2018 22:00","81","0"
"05.04.2018 22:00 - 05.04.2018 23:00","123","0"
"05.04.2018 23:00 - 06.04.2018 00:00","127","0"
"06.04.2018 00:00 - 06.04.2018 01:00","145","0"
"06.04.2018 01:00 - 06.04.2018 02:00","140","0"
"06.04.2018 02:00 - 06.04.2018 03:00","103","0"
"06.04.2018 03:00 - 06.04.2018 04:00","49","0"
"06.04.2018 04:00 - 06.04.2018 05:00","0","23"
"06.04.2018 05:00 - 06.04.2018 06:00","0","132"
"06.04.2018 06:00 - 06.04.2018 07:00","0","385"
"06.04.2018 07:00 - 06.04.2018 08:00","0","424"
"06.04.2018 08:00 - 06.04.2018 09:00","0","420"
"06.04.2018 09:00 - 06.04.2018 10:00","0","345"
"06.04.2018 10:00 - 06.04.2018 11:00","0","337"
"06.04.2018 11:00 - 06.04.2018 12:00","0","298"
"06.04.2018 12:00 - 06.04.2018 13:00","0","181"
"06.04.2018 13:00 - 06.04.2018 14:00","0","127"
"06.04.2018 14:00 - 06.04.2018 15:00","0","31"
"06.04.2018 15:00 - 06.04.2018 16:00","0","73"
"06.04.2018 16:00 - 06.04.2018 17:00","0","139"
"06.04.2018 17:00 - 06.04.2018 18:00","0","291"
"06.04.2018 18:00 - 06.04.2018 19:00","0","391"
"06.04.2018 19:00 - 06.04.2018 20:00","0","366"
"06.04.2018 20:00 - 06.04.2018 21:00","0","249"
"06.04.2018 21:00 - 06.04.2018 22:00","0","118"
"06.04.2018 22:00 - 06.04.2018 23:00","123","0"
"06.04.2018 23:00 - 07.04.2018 00:00","73","0"
"07.04.2018 00:00 - 07.04.2018 01:00","251","0"
"07.04.2018 01:00 - 07.04.2018 02:00","217","0"
"07.04.2018 02:00 - 07.04.2018 03:00","111","0"
"07.04.2018 03:00 - 07.04.2018 04:00","63","0"
"07.04.2018 04:00 - 07.04.2018 05:00","66","0"
"07.04.2018 05:00 - 07.04.2018 06:00","105","0"
"07.04.2018 06:00 - 07.04.2018 07:00","86","0"
"07.04.2018 07:00 - 07.04.2018 08:00","78","0"
"07.04.2018 08:00 - 07.04.2018 09:00","73","0"
"07.04.2018 09:00 - 07.04.2018 10:00","76","0"
"07.04.2018 10:00 - 07.04.2018 11:00","153","0"
"07.04.2018 11:00 - 07.04.2018 12:00","144","0"
"07.04.2018 12:00 - 07.04.2018 13:00","238","0"
"07.04.2018 13:00 - 07.04.2018 14:00","310","0"
"07.04.2018 14:00 - 07.04.2018 15:00","334","0"
"07.04.2018 15:00 - 07.04.2018 16:00","341","0"
"07.04.2018 16:00 - 07.04.2018 17:00","400","0"
"07.04.2018 17:00 - 07.04.2018 18:00","343","0"
"07.04.2018 18:00 - 07.04.2018 19:00","0","65"
"07.04.2018 19:00 - 07.04.2018 20:00","0","84"
"07.04.2018 20:00 - 07.04.2018 21:00","1","0"
"07.04.2018 21:00 - 07.04.2018 22:00","88","0"
"07.04.2018 22:00 - 07.04.2018 23:00","111","0"
"07.04.2018 23:00 - 08.04.2018 00:00","262","0"
"08.04.2018 00:00 - 08.04.2018 01:00","282","0"
"08.04.2018 01:00 - 08.04.2018 02:00","343","0"
"08.04.2018 02:00 - 08.04.2018 03:00","286","0"
"08.04.2018 03:00 - 08.04.2018 04:00","252","0"
"08.04.2018 04:00 - 08.04.2018 05:00","207","0"
"08.04.2018 05:00 - 08.04.2018 06:00","150","0"
"08.04.2018 06:00 - 08.04.2018 07:00","128","0"
"08.04.2018 07:00 - 08.04.2018 08:00","97","0"
"08.04.2018 08:00 - 08.04.2018 09:00","103","0"
"08.04.2018 09:00 - 08.04.2018 10:00","139","0"
"08.04.2018 10:00 - 08.04.2018 11:00","140","0"
"08.04.2018 11:00 - 08.04.2018 12:00","172","0"
"08.04.2018 12:00 - 08.04.2018 13:00","153","0"
"08.04.2018 13:00 - 08.04.2018 14:00","247","0"
"08.04.2018 14:00 - 08.04.2018 15:00","265","0"
"08.04.2018 15:00 - 08.04.2018 16:00","248","0"
"08.04.2018 16:00 - 08.04.2018 17:00","227","0"
"08.04.2018 17:00 - 08.04.2018 18:00","126","0"
"08.04.2018 18:00 - 08.04.2018 19:00","0","85"
"08.04.2018 19:00 - 08.04.2018 20:00","0","120"
"08.04.2018 20:00 - 08.04.2018 21:00","0","74"
"08.04.2018 21:00 - 08.04.2018 22:00","0","97"
"08.04.2018 22:00 - 08.04.2018 23:00","0","97"
"08.04.2018 23:00 - 09.04.2018 00:00","17","0"
"09.04.2018 00:00 - 09.04.2018 01:00","45","0"
"09.04.2018 01:00 - 09.04.2018 02:00","49","0"
"09.04.2018 02:00 - 09.04.2018 03:00","2","0"
"09.04.2018 03:00 - 09.04.2018 04:00","0","76"
"09.04.2018 04:00 - 09.04.2018 05:00","0","122"
"09.04.2018 05:00 - 09.04.2018 06:00","0","154"
"09.04.2018 06:00 - 09.04.2018 07:00","0","173"
"09.04.2018 07:00 - 09.04.2018 08:00","0","145"
"09.04.2018 08:00 - 09.04.2018 09:00","0","82"
"09.04.2018 09:00 - 09.04.2018 10:00","0","55"
"09.04.2018 10:00 - 09.04.2018 11:00","0","76"
"09.04.2018 11:00 - 09.04.2018 12:00","19","0"
"09.04.2018 12:00 - 09.04.2018 13:00","31","0"
"09.04.2018 13:00 - 09.04.2018 14:00","104","0"
"09.04.2018 14:00 - 09.04.2018 15:00","76","0"
"09.04.2018 15:00 - 09.04.2018 16:00","70","0"
"09.04.2018 16:00 - 09.04.2018 17:00","24","0"
"09.04.2018 17:00 - 09.04.2018 18:00","0","133"
"09.04.2018 18:00 - 09.04.2018 19:00","0","218"
"09.04.2018 19:00 - 09.04.2018 20:00","0","213"
"09.04.2018 20:00 - 09.04.2018 21:00","0","121"
"09.04.2018 21:00 - 09.04.2018 22:00","38","0"
"09.04.2018 22:00 - 09.04.2018 23:00","230","0"
"09.04.2018 23:00 - 10.04.2018 00:00","238","0"
"10.04.2018 00:00 - 10.04.2018 01:00","182","0"
"10.04.2018 01:00 - 10.04.2018 02:00","112","0"
"10.04.2018 02:00 - 10.04.2018 03:00","110","0"
"10.04.2018 03:00 - 10.04.2018 04:00","142","0"
"10.04.2018 04:00 - 10.04.2018 05:00","147","0"
"10.04.2018 05:00 - 10.04.2018 06:00","128","0"
"10.04.2018 06:00 - 10.04.2018 07:00","0","19"
"10.04.2018 07:00 - 10.04.2018 08:00","50","0"
"10.04.2018 08:00 - 10.04.2018 09:00","102","0"
"10.04.2018 09:00 - 10.04.2018 10:00","199","0"
"10.04.2018 10:00 - 10.04.2018 11:00","242","0"
"10.04.2018 11:00 - 10.04.2018 12:00","328","0"
"10.04.2018 12:00 - 10.04.2018 13:00","421","0"
"10.04.2018 13:00 - 10.04.2018 14:00","443","0"
"10.04.2018 14:00 - 10.04.2018 15:00","353","0"
"10.04.2018 15:00 - 10.04.2018 16:00","193","0"
"10.04.2018 16:00 - 10.04.2018 17:00","217","0"
"10.04.2018 17:00 - 10.04.2018 18:00","163","0"
"10.04.2018 18:00 - 10.04.2018 19:00","77","0"
"10.04.2018 19:00 - 10.04.2018 20:00","106","0"
"10.04.2018 20:00 - 10.04.2018 21:00","205","0"
"10.04.2018 21:00 - 10.04.2018 22:00","258","0"
"10.04.2018 22:00 - 10.04.2018 23:00","354","0"
"10.04.2018 23:00 - 11.04.2018 00:00","361","0"
"11.04.2018 00:00 - 11.04.2018 01:00","432","0"
"11.04.2018 01:00 - 11.04.2018 02:00","376","0"
"11.04.2018 02:00 - 11.04.2018 03:00","293","0"
"11.04.2018 03:00 - 11.04.2018 04:00","290","0"
"11.04.2018 04:00 - 11.04.2018 05:00","308","0"
"11.04.2018 05:00 - 11.04.2018 06:00","290","0"
"11.04.2018 06:00 - 11.04.2018 07:00","0","81"
"11.04.2018 07:00 - 11.04.2018 08:00","0","97"
"11.04.2018 08:00 - 11.04.2018 09:00","16","0"
"11.04.2018 09:00 - 11.04.2018 10:00","16","0"
"11.04.2018 10:00 - 11.04.2018 11:00","106","0"
"11.04.2018 11:00 - 11.04.2018 12:00","176","0"
"11.04.2018 12:00 - 11.04.2018 13:00","300","0"
"11.04.2018 13:00 - 11.04.2018 14:00","421","0"
"11.04.2018 14:00 - 11.04.2018 15:00","437","0"
"11.04.2018 15:00 - 11.04.2018 16:00","341","0"
"11.04.2018 16:00 - 11.04.2018 17:00","143","0"
"11.04.2018 17:00 - 11.04.2018 18:00","0","12"
"11.04.2018 18:00 - 11.04.2018 19:00","0","112"
"11.04.2018 19:00 - 11.04.2018 20:00","0","52"
"11.04.2018 20:00 - 11.04.2018 21:00","0","76"
"11.04.2018 21:00 - 11.04.2018 22:00","43","0"
"11.04.2018 22:00 - 11.04.2018 23:00","205","0"
"11.04.2018 23:00 - 12.04.2018 00:00","269","0"
"12.04.2018 00:00 - 12.04.2018 01:00","350","0"
"12.04.2018 01:00 - 12.04.2018 02:00","290","0"
"12.04.2018 02:00 - 12.04.2018 03:00","198","0"
"12.04.2018 03:00 - 12.04.2018 04:00","182","0"
"12.04.2018 04:00 - 12.04.2018 05:00","209","0"
"12.04.2018 05:00 - 12.04.2018 06:00","223","0"
"12.04.2018 06:00 - 12.04.2018 07:00","0","33"
"12.04.2018 07:00 - 12.04.2018 08:00","38","0"
"12.04.2018 08:00 - 12.04.2018 09:00","214","0"
"12.04.2018 09:00 - 12.04.2018 10:00","171","0"
"12.04.2018 10:00 - 12.04.2018 11:00","276","0"
"12.04.2018 11:00 - 12.04.2018 12:00","346","0"
"12.04.2018 12:00 - 12.04.2018 13:00","292","0"
"12.04.2018 13:00 - 12.04.2018 14:00","258","0"
"12.04.2018 14:00 - 12.04.2018 15:00","287","0"
"12.04.2018 15:00 - 12.04.2018 16:00","238","0"
"12.04.2018 16:00 - 12.04.2018 17:00","118","0"
"12.04.2018 17:00 - 12.04.2018 18:00","10","0"
"12.04.2018 18:00 - 12.04.2018 19:00","0","53"
"12.04.2018 19:00 - 12.04.2018 20:00","0","25"
"12.04.2018 20:00 - 12.04.2018 21:00","69","0"
"12.04.2018 21:00 - 12.04.2018 22:00","134","0"
"12.04.2018 22:00 - 12.04.2018 23:00","224","0"
"12.04.2018 23:00 - 13.04.2018 00:00","295","0"
"13.04.2018 00:00 - 13.04.2018 01:00","226","0"
"13.04.2018 01:00 - 13.04.2018 02:00","225","0"
"13.04.2018 02:00 - 13.04.2018 03:00","120","0"
"13.04.2018 03:00 - 13.04.2018 04:00","52","0"
"13.04.2018 04:00 - 13.04.2018 05:00","66","0"
"13.04.2018 05:00 - 13.04.2018 06:00","82","0"
"13.04.2018 06:00 - 13.04.2018 07:00","0","82"
"13.04.2018 07:00 - 13.04.2018 08:00","0","52"
"13.04.2018 08:00 - 13.04.2018 09:00","53","0"
"13.04.2018 09:00 - 13.04.2018 10:00","0","4"
"13.04.2018 10:00 - 13.04.2018 11:00","0","35"
"13.04.2018 11:00 - 13.04.2018 12:00","0","59"
"13.04.2018 12:00 - 13.04.2018 13:00","40","0"
"13.04.2018 13:00 - 13.04.2018 14:00","146","0"
"13.04.2018 14:00 - 13.04.2018 15:00","121","0"
"13.04.2018 15:00 - 13.04.2018 16:00","41","0"
"13.04.2018 16:00 - 13.04.2018 17:00","0","49"
"13.04.2018 17:00 - 13.04.2018 18:00","0","144"
"13.04.2018 18:00 - 13.04.2018 19:00","0","97"
"13.04.2018 19:00 - 13.04.2018 20:00","64","0"
"13.04.2018 20:00 - 13.04.2018 21:00","181","0"
"13.04.2018 21:00 - 13.04.2018 22:00","197","0"
"13.04.2018 22:00 - 13.04.2018 23:00","232","0"
"13.04.2018 23:00 - 14.04.2018 00:00","155","0"
"14.04.2018 00:00 - 14.04.2018 01:00","130","0"
"14.04.2018 01:00 - 14.04.2018 02:00","127","0"
"14.04.2018 02:00 - 14.04.2018 03:00","105","0"
"14.04.2018 03:00 - 14.04.2018 04:00","96","0"
"14.04.2018 04:00 - 14.04.2018 05:00","62","0"
"14.04.2018 05:00 - 14.04.2018 06:00","68","0"
"14.04.2018 06:00 - 14.04.2018 07:00","0","43"
"14.04.2018 07:00 - 14.04.2018 08:00","0","110"
"14.04.2018 08:00 - 14.04.2018 09:00","0","89"
"14.04.2018 09:00 - 14.04.2018 10:00","0","126"
"14.04.2018 10:00 - 14.04.2018 11:00","0","43"
"14.04.2018 11:00 - 14.04.2018 12:00","42","0"
"14.04.2018 12:00 - 14.04.2018 13:00","81","0"
"14.04.2018 13:00 - 14.04.2018 14:00","135","0"
"14.04.2018 14:00 - 14.04.2018 15:00","105","0"
"14.04.2018 15:00 - 14.04.2018 16:00","42","0"
"14.04.2018 16:00 - 14.04.2018 17:00","24","0"
"14.04.2018 17:00 - 14.04.2018 18:00","0","13"
"14.04.2018 18:00 - 14.04.2018 19:00","0","125"
"14.04.2018 19:00 - 14.04.2018 20:00","0","52"
"14.04.2018 20:00 - 14.04.2018 21:00","0","90"
"14.04.2018 21:00 - 14.04.2018 22:00","0","122"
"14.04.2018 22:00 - 14.04.2018 23:00","0","62"
"14.04.2018 23:00 - 15.04.2018 00:00","58","0"
"15.04.2018 00:00 - 15.04.2018 01:00","136","0"
"15.04.2018 01:00 - 15.04.2018 02:00","174","0"
"15.04.2018 02:00 - 15.04.2018 03:00","113","0"
"15.04.2018 03:00 - 15.04.2018 04:00","90","0"
"15.04.2018 04:00 - 15.04.2018 05:00","78","0"
"15.04.2018 05:00 - 15.04.2018 06:00","90","0"
"15.04.2018 06:00 - 15.04.2018 07:00","64","0"
"15.04.2018 07:00 - 15.04.2018 08:00","29","0"
"15.04.2018 08:00 - 15.04.2018 09:00","76","0"
"15.04.2018 09:00 - 15.04.2018 10:00","67","0"
"15.04.2018 10:00 - 15.04.2018 11:00","106","0"
"15.04.2018 11:00 - 15.04.2018 12:00","133","0"
"15.04.2018 12:00 - 15.04.2018 13:00","246","0"
"15.04.2018 13:00 - 15.04.2018 14:00","316","0"
"15.04.2018 14:00 - 15.04.2018 15:00","348","0"
"15.04.2018 15:00 - 15.04.2018 16:00","354","0"
"15.04.2018 16:00 - 15.04.2018 17:00","225","0"
"15.04.2018 17:00 - 15.04.2018 18:00","149","0"
"15.04.2018 18:00 - 15.04.2018 19:00","27","0"
"15.04.2018 19:00 - 15.04.2018 20:00","0","102"
"15.04.2018 20:00 - 15.04.2018 21:00","0","72"
"15.04.2018 21:00 - 15.04.2018 22:00","0","23"
"15.04.2018 22:00 - 15.04.2018 23:00","0","8"
"15.04.2018 23:00 - 16.04.2018 00:00","0","4"
"16.04.2018 00:00 - 16.04.2018 01:00","0","46"
"16.04.2018 01:00 - 16.04.2018 02:00","0","19"
"16.04.2018 02:00 - 16.04.2018 03:00","0","88"
"16.04.2018 03:00 - 16.04.2018 04:00","0","139"
"16.04.2018 04:00 - 16.04.2018 05:00","0","165"
"16.04.2018 05:00 - 16.04.2018 06:00","0","190"
"16.04.2018 06:00 - 16.04.2018 07:00","0","324"
"16.04.2018 07:00 - 16.04.2018 08:00","0","335"
"16.04.2018 08:00 - 16.04.2018 09:00","0","344"
"16.04.2018 09:00 - 16.04.2018 10:00","0","375"
"16.04.2018 10:00 - 16.04.2018 11:00","0","317"
"16.04.2018 11:00 - 16.04.2018 12:00","0","248"
"16.04.2018 12:00 - 16.04.2018 13:00","0","214"
"16.04.2018 13:00 - 16.04.2018 14:00","0","192"
"16.04.2018 14:00 - 16.04.2018 15:00","0","168"
"16.04.2018 15:00 - 16.04.2018 16:00","0","208"
"16.04.2018 16:00 - 16.04.2018 17:00","0","233"
"16.04.2018 17:00 - 16.04.2018 18:00","0","276"
"16.04.2018 18:00 - 16.04.2018 19:00","0","312"
"16.04.2018 19:00 - 16.04.2018 20:00","0","276"
"16.04.2018 20:00 - 16.04.2018 21:00","0","170"
"16.04.2018 21:00 - 16.04.2018 22:00","0","179"
"16.04.2018 22:00 - 16.04.2018 23:00","8","0"
"16.04.2018 23:00 - 17.04.2018 00:00","0","14"
"17.04.2018 00:00 - 17.04.2018 01:00","30","0"
"17.04.2018 01:00 - 17.04.2018 02:00","0","126"
"17.04.2018 02:00 - 17.04.2018 03:00","0","181"
"17.04.2018 03:00 - 17.04.2018 04:00","0","212"
"17.04.2018 04:00 - 17.04.2018 05:00","0","255"
"17.04.2018 05:00 - 17.04.2018 06:00","0","206"
"17.04.2018 06:00 - 17.04.2018 07:00","0","381"
"17.04.2018 07:00 - 17.04.2018 08:00","0","318"
"17.04.2018 08:00 - 17.04.2018 09:00","0","258"
"17.04.2018 09:00 - 17.04.2018 10:00","0","174"
"17.04.2018 10:00 - 17.04.2018 11:00","0","67"
"17.04.2018 11:00 - 17.04.2018 12:00","0","8"
"17.04.2018 12:00 - 17.04.2018 13:00","0","20"
"17.04.2018 13:00 - 17.04.2018 14:00","3","0"
"17.04.2018 14:00 - 17.04.2018 15:00","0","34"
"17.04.2018 15:00 - 17.04.2018 16:00","0","113"
"17.04.2018 16:00 - 17.04.2018 17:00","0","151"
"17.04.2018 17:00 - 17.04.2018 18:00","0","115"
"17.04.2018 18:00 - 17.04.2018 19:00","0","341"
"17.04.2018 19:00 - 17.04.2018 20:00","0","372"
"17.04.2018 20:00 - 17.04.2018 21:00","0","346"
"17.04.2018 21:00 - 17.04.2018 22:00","0","314"
"17.04.2018 22:00 - 17.04.2018 23:00","0","177"
"17.04.2018 23:00 - 18.04.2018 00:00","0","145"
"18.04.2018 00:00 - 18.04.2018 01:00","0","209"
"18.04.2018 01:00 - 18.04.2018 02:00","0","233"
"18.04.2018 02:00 - 18.04.2018 03:00","0","223"
"18.04.2018 03:00 - 18.04.2018 04:00","0","259"
"18.04.2018 04:00 - 18.04.2018 05:00","0","309"
"18.04.2018 05:00 - 18.04.2018 06:00","0","305"
"18.04.2018 06:00 - 18.04.2018 07:00","0","492"
"18.04.2018 07:00 - 18.04.2018 08:00","0","424"
"18.04.2018 08:00 - 18.04.2018 09:00","0","272"
"18.04.2018 09:00 - 18.04.2018 10:00","0","242"
"18.04.2018 10:00 - 18.04.2018 11:00","0","140"
"18.04.2018 11:00 - 18.04.2018 12:00","0","112"
"18.04.2018 12:00 - 18.04.2018 13:00","0","85"
"18.04.2018 13:00 - 18.04.2018 14:00","0","90"
"18.04.2018 14:00 - 18.04.2018 15:00","0","121"
"18.04.2018 15:00 - 18.04.2018 16:00","0","255"
"18.04.2018 16:00 - 18.04.2018 17:00","0","356"
"18.04.2018 17:00 - 18.04.2018 18:00","0","451"
"18.04.2018 18:00 - 18.04.2018 19:00","0","488"
"18.04.2018 19:00 - 18.04.2018 20:00","0","529"
"18.04.2018 20:00 - 18.04.2018 21:00","0","496"
"18.04.2018 21:00 - 18.04.2018 22:00","0","452"
"18.04.2018 22:00 - 18.04.2018 23:00","0","187"
"18.04.2018 23:00 - 19.04.2018 00:00","0","236"
"19.04.2018 00:00 - 19.04.2018 01:00","0","196"
"19.04.2018 01:00 - 19.04.2018 02:00","0","161"
"19.04.2018 02:00 - 19.04.2018 03:00","0","177"
"19.04.2018 03:00 - 19.04.2018 04:00","0","188"
"19.04.2018 04:00 - 19.04.2018 05:00","0","215"
"19.04.2018 05:00 - 19.04.2018 06:00","0","194"
"19.04.2018 06:00 - 19.04.2018 07:00","0","378"
"19.04.2018 07:00 - 19.04.2018 08:00","0","270"
"19.04.2018 08:00 - 19.04.2018 09:00","0","170"
"19.04.2018 09:00 - 19.04.2018 10:00","0","126"
"19.04.2018 10:00 - 19.04.2018 11:00","0","45"
"19.04.2018 11:00 - 19.04.2018 12:00","79","0"
"19.04.2018 12:00 - 19.04.2018 13:00","89","0"
"19.04.2018 13:00 - 19.04.2018 14:00","67","0"
"19.04.2018 14:00 - 19.04.2018 15:00","151","0"
"19.04.2018 15:00 - 19.04.2018 16:00","41","0"
"19.04.2018 16:00 - 19.04.2018 17:00","0","149"
"19.04.2018 17:00 - 19.04.2018 18:00","0","183"
"19.04.2018 18:00 - 19.04.2018 19:00","0","282"
"19.04.2018 19:00 - 19.04.2018 20:00","0","359"
"19.04.2018 20:00 - 19.04.2018 21:00","0","261"
"19.04.2018 21:00 - 19.04.2018 22:00","0","307"
"19.04.2018 22:00 - 19.04.2018 23:00","0","151"
"19.04.2018 23:00 - 20.04.2018 00:00","0","170"
"20.04.2018 00:00 - 20.04.2018 01:00","0","120"
"20.04.2018 01:00 - 20.04.2018 02:00","0","149"
"20.04.2018 02:00 - 20.04.2018 03:00","0","223"
"20.04.2018 03:00 - 20.04.2018 04:00","0","251"
"20.04.2018 04:00 - 20.04.2018 05:00","0","320"
"20.04.2018 05:00 - 20.04.2018 06:00","0","326"
"20.04.2018 06:00 - 20.04.2018 07:00","0","398"
"20.04.2018 07:00 - 20.04.2018 08:00","0","273"
"20.04.2018 08:00 - 20.04.2018 09:00","0","178"
"20.04.2018 09:00 - 20.04.2018 10:00","0","152"
"20.04.2018 10:00 - 20.04.2018 11:00","0","103"
"20.04.2018 11:00 - 20.04.2018 12:00","0","48"
"20.04.2018 12:00 - 20.04.2018 13:00","0","101"
"20.04.2018 13:00 - 20.04.2018 14:00","0","115"
"20.04.2018 14:00 - 20.04.2018 15:00","0","88"
"20.04.2018 15:00 - 20.04.2018 16:00","0","204"
"20.04.2018 16:00 - 20.04.2018 17:00","0","399"
"20.04.2018 17:00 - 20.04.2018 18:00","0","494"
"20.04.2018 18:00 - 20.04.2018 19:00","0","497"
"20.04.2018 19:00 - 20.04.2018 20:00","0","443"
"20.04.2018 20:00 - 20.04.2018 21:00","0","357"
"20.04.2018 21:00 - 20.04.2018 22:00","0","266"
"20.04.2018 22:00 - 20.04.2018 23:00","0","228"
"20.04.2018 23:00 - 21.04.2018 00:00","0","174"
"21.04.2018 00:00 - 21.04.2018 01:00","0","62"
"21.04.2018 01:00 - 21.04.2018 02:00","0","60"
"21.04.2018 02:00 - 21.04.2018 03:00","0","53"
"21.04.2018 03:00 - 21.04.2018 04:00","0","142"
"21.04.2018 04:00 - 21.04.2018 05:00","0","127"
"21.04.2018 05:00 - 21.04.2018 06:00","0","97"
"21.04.2018 06:00 - 21.04.2018 07:00","0","192"
"21.04.2018 07:00 - 21.04.2018 08:00","0","158"
"21.04.2018 08:00 - 21.04.2018 09:00","0","68"
"21.04.2018 09:00 - 21.04.2018 10:00","0","35"
"21.04.2018 10:00 - 21.04.2018 11:00","48","0"
"21.04.2018 11:00 - 21.04.2018 12:00","145","0"
"21.04.2018 12:00 - 21.04.2018 13:00","184","0"
"21.04.2018 13:00 - 21.04.2018 14:00","223","0"
"21.04.2018 14:00 - 21.04.2018 15:00","187","0"
"21.04.2018 15:00 - 21.04.2018 16:00","152","0"
"21.04.2018 16:00 - 21.04.2018 17:00","110","0"
"21.04.2018 17:00 - 21.04.2018 18:00","26","0"
"21.04.2018 18:00 - 21.04.2018 19:00","0","88"
"21.04.2018 19:00 - 21.04.2018 20:00","0","24"
"21.04.2018 20:00 - 21.04.2018 21:00","25","0"
"21.04.2018 21:00 - 21.04.2018 22:00","23","0"
"21.04.2018 22:00 - 21.04.2018 23:00","0","9"
"21.04.2018 23:00 - 22.04.2018 00:00","0","92"
"22.04.2018 00:00 - 22.04.2018 01:00","104","0"
"22.04.2018 01:00 - 22.04.2018 02:00","123","0"
"22.04.2018 02:00 - 22.04.2018 03:00","67","0"
"22.04.2018 03:00 - 22.04.2018 04:00","0","7"
"22.04.2018 04:00 - 22.04.2018 05:00","0","83"
"22.04.2018 05:00 - 22.04.2018 06:00","0","28"
"22.04.2018 06:00 - 22.04.2018 07:00","17","0"
"22.04.2018 07:00 - 22.04.2018 08:00","155","0"
"22.04.2018 08:00 - 22.04.2018 09:00","247","0"
"22.04.2018 09:00 - 22.04.2018 10:00","287","0"
"22.04.2018 10:00 - 22.04.2018 11:00","261","0"
"22.04.2018 11:00 - 22.04.2018 12:00","255","0"
"22.04.2018 12:00 - 22.04.2018 13:00","302","0"
"22.04.2018 13:00 - 22.04.2018 14:00","333","0"
"22.04.2018 14:00 - 22.04.2018 15:00","342","0"
"22.04.2018 15:00 - 22.04.2018 16:00","323","0"
"22.04.2018 16:00 - 22.04.2018 17:00","206","0"
"22.04.2018 17:00 - 22.04.2018 18:00","261","0"
"22.04.2018 18:00 - 22.04.2018 19:00","170","0"
"22.04.2018 19:00 - 22.04.2018 20:00","177","0"
"22.04.2018 20:00 - 22.04.2018 21:00","222","0"
"22.04.2018 21:00 - 22.04.2018 22:00","203","0"
"22.04.2018 22:00 - 22.04.2018 23:00","243","0"
"22.04.2018 23:00 - 23.04.2018 00:00","332","0"
"23.04.2018 00:00 - 23.04.2018 01:00","227","0"
"23.04.2018 01:00 - 23.04.2018 02:00","150","0"
"23.04.2018 02:00 - 23.04.2018 03:00","55","0"
"23.04.2018 03:00 - 23.04.2018 04:00","6","0"
"23.04.2018 04:00 - 23.04.2018 05:00","91","0"
"23.04.2018 05:00 - 23.04.2018 06:00","204","0"
"23.04.2018 06:00 - 23.04.2018 07:00","0","51"
"23.04.2018 07:00 - 23.04.2018 08:00","0","124"
"23.04.2018 08:00 - 23.04.2018 09:00","0","95"
"23.04.2018 09:00 - 23.04.2018 10:00","0","86"
"23.04.2018 10:00 - 23.04.2018 11:00","0","2"
"23.04.2018 11:00 - 23.04.2018 12:00","117","0"
"23.04.2018 12:00 - 23.04.2018 13:00","144","0"
"23.04.2018 13:00 - 23.04.2018 14:00","191","0"
"23.04.2018 14:00 - 23.04.2018 15:00","261","0"
"23.04.2018 15:00 - 23.04.2018 16:00","225","0"
"23.04.2018 16:00 - 23.04.2018 17:00","178","0"
"23.04.2018 17:00 - 23.04.2018 18:00","130","0"
"23.04.2018 18:00 - 23.04.2018 19:00","2","0"
"23.04.2018 19:00 - 23.04.2018 20:00","11","0"
"23.04.2018 20:00 - 23.04.2018 21:00","0","8"
"23.04.2018 21:00 - 23.04.2018 22:00","76","0"
"23.04.2018 22:00 - 23.04.2018 23:00","128","0"
"23.04.2018 23:00 - 24.04.2018 00:00","194","0"
"24.04.2018 00:00 - 24.04.2018 01:00","250","0"
"24.04.2018 01:00 - 24.04.2018 02:00","199","0"
"24.04.2018 02:00 - 24.04.2018 03:00","173","0"
"24.04.2018 03:00 - 24.04.2018 04:00","154","0"
"24.04.2018 04:00 - 24.04.2018 05:00","138","0"
"24.04.2018 05:00 - 24.04.2018 06:00","169","0"
"24.04.2018 06:00 - 24.04.2018 07:00","0","37"
"24.04.2018 07:00 - 24.04.2018 08:00","0","217"
"24.04.2018 08:00 - 24.04.2018 09:00","0","259"
