"Time (CET)","Lithuania (LT) > Poland (PL) [MW]","Poland (PL) > Lithuania (LT) [MW]"
"08.03.2018 15:00 - 08.03.2018 16:00","225","0"
"08.03.2018 16:00 - 08.03.2018 17:00","320","0"
"08.03.2018 17:00 - 08.03.2018 18:00","196","0"
"08.03.2018 18:00 - 08.03.2018 19:00","412","0"
"08.03.2018 19:00 - 08.03.2018 20:00","487","0"
"08.03.2018 20:00 - 08.03.2018 21:00","487","0"
"08.03.2018 21:00 - 08.03.2018 22:00","486","0"
"08.03.2018 22:00 - 08.03.2018 23:00","104","0"
"08.03.2018 23:00 - 09.03.2018 00:00","0","3"
"09.03.2018 00:00 - 09.03.2018 01:00","0","136"
"09.03.2018 01:00 - 09.03.2018 02:00","0","62"
"09.03.2018 02:00 - 09.03.2018 03:00","0","125"
"09.03.2018 03:00 - 09.03.2018 04:00","0","248"
"09.03.2018 04:00 - 09.03.2018 05:00","0","258"
"09.03.2018 05:00 - 09.03.2018 06:00","0","201"
"09.03.2018 06:00 - 09.03.2018 07:00","259","0"
"09.03.2018 07:00 - 09.03.2018 08:00","472","0"
"09.03.2018 08:00 - 09.03.2018 09:00","265","0"
"09.03.2018 09:00 - 09.03.2018 10:00","486","0"
"09.03.2018 10:00 - 09.03.2018 11:00","405","0"
"09.03.2018 11:00 - 09.03.2018 12:00","487","0"
"09.03.2018 12:00 - 09.03.2018 13:00","484","0"
"09.03.2018 13:00 - 09.03.2018 14:00","440","0"
"09.03.2018 14:00 - 09.03.2018 15:00","471","0"
"09.03.2018 15:00 - 09.03.2018 16:00","487","0"
"09.03.2018 16:00 - 09.03.2018 17:00","487","0"
"09.03.2018 17:00 - 09.03.2018 18:00","450","0"
"09.03.2018 18:00 - 09.03.2018 19:00","487","0"
"09.03.2018 19:00 - 09.03.2018 20:00","487","0"
"09.03.2018 20:00 - 09.03.2018 21:00","487","0"
"09.03.2018 21:00 - 09.03.2018 22:00","487","0"
"09.03.2018 22:00 - 09.03.2018 23:00","472","0"
"09.03.2018 23:00 - 10.03.2018 00:00","471","0"
"10.03.2018 00:00 - 10.03.2018 01:00","0","103"
"10.03.2018 01:00 - 10.03.2018 02:00","0","219"
"10.03.2018 02:00 - 10.03.2018 03:00","0","209"
"10.03.2018 03:00 - 10.03.2018 04:00","0","180"
"10.03.2018 04:00 - 10.03.2018 05:00","0","192"
"10.03.2018 05:00 - 10.03.2018 06:00","0","275"
"10.03.2018 06:00 - 10.03.2018 07:00","0","157"
"10.03.2018 07:00 - 10.03.2018 08:00","219","0"
"10.03.2018 08:00 - 10.03.2018 09:00","486","0"
"10.03.2018 09:00 - 10.03.2018 10:00","488","0"
"10.03.2018 10:00 - 10.03.2018 11:00","488","0"
"10.03.2018 11:00 - 10.03.2018 12:00","488","0"
"10.03.2018 12:00 - 10.03.2018 13:00","488","0"
"10.03.2018 13:00 - 10.03.2018 14:00","488","0"
"10.03.2018 14:00 - 10.03.2018 15:00","488","0"
"10.03.2018 15:00 - 10.03.2018 16:00","488","0"
"10.03.2018 16:00 - 10.03.2018 17:00","488","0"
"10.03.2018 17:00 - 10.03.2018 18:00","365","0"
"10.03.2018 18:00 - 10.03.2018 19:00","486","0"
"10.03.2018 19:00 - 10.03.2018 20:00","486","0"
"10.03.2018 20:00 - 10.03.2018 21:00","486","0"
"10.03.2018 21:00 - 10.03.2018 22:00","107","0"
"10.03.2018 22:00 - 10.03.2018 23:00","0","0"
"10.03.2018 23:00 - 11.03.2018 00:00","0","2"
"11.03.2018 00:00 - 11.03.2018 01:00","0","472"
"11.03.2018 01:00 - 11.03.2018 02:00","0","494"
"11.03.2018 02:00 - 11.03.2018 03:00","0","494"
"11.03.2018 03:00 - 11.03.2018 04:00","0","494"
"11.03.2018 04:00 - 11.03.2018 05:00","0","494"
"11.03.2018 05:00 - 11.03.2018 06:00","0","490"
"11.03.2018 06:00 - 11.03.2018 07:00","0","314"
"11.03.2018 07:00 - 11.03.2018 08:00","0","297"
"11.03.2018 08:00 - 11.03.2018 09:00","0","3"
"11.03.2018 09:00 - 11.03.2018 10:00","0","0"
"11.03.2018 10:00 - 11.03.2018 11:00","0","0"
"11.03.2018 11:00 - 11.03.2018 12:00","0","0"
"11.03.2018 12:00 - 11.03.2018 13:00","0","1"
"11.03.2018 13:00 - 11.03.2018 14:00","48","0"
"11.03.2018 14:00 - 11.03.2018 15:00","2","0"
"11.03.2018 15:00 - 11.03.2018 16:00","0","0"
"11.03.2018 16:00 - 11.03.2018 17:00","0","0"
"11.03.2018 17:00 - 11.03.2018 18:00","0","0"
"11.03.2018 18:00 - 11.03.2018 19:00","0","0"
"11.03.2018 19:00 - 11.03.2018 20:00","0","0"
"11.03.2018 20:00 - 11.03.2018 21:00","0","0"
"11.03.2018 21:00 - 11.03.2018 22:00","0","72"
"11.03.2018 22:00 - 11.03.2018 23:00","0","80"
"11.03.2018 23:00 - 12.03.2018 00:00","0","333"
"12.03.2018 00:00 - 12.03.2018 01:00","0","477"
"12.03.2018 01:00 - 12.03.2018 02:00","0","495"
"12.03.2018 02:00 - 12.03.2018 03:00","0","495"
"12.03.2018 03:00 - 12.03.2018 04:00","0","495"
"12.03.2018 04:00 - 12.03.2018 05:00","0","495"
"12.03.2018 05:00 - 12.03.2018 06:00","0","483"
"12.03.2018 06:00 - 12.03.2018 07:00","0","7"
"12.03.2018 07:00 - 12.03.2018 08:00","0","0"
"12.03.2018 08:00 - 12.03.2018 09:00","0","0"
"12.03.2018 09:00 - 12.03.2018 10:00","4","0"
"12.03.2018 10:00 - 12.03.2018 11:00","255","0"
"12.03.2018 11:00 - 12.03.2018 12:00","486","0"
"12.03.2018 12:00 - 12.03.2018 13:00","487","0"
"12.03.2018 13:00 - 12.03.2018 14:00","487","0"
"12.03.2018 14:00 - 12.03.2018 15:00","487","0"
"12.03.2018 15:00 - 12.03.2018 16:00","487","0"
"12.03.2018 16:00 - 12.03.2018 17:00","486","0"
"12.03.2018 17:00 - 12.03.2018 18:00","414","0"
"12.03.2018 18:00 - 12.03.2018 19:00","71","0"
"12.03.2018 19:00 - 12.03.2018 20:00","372","0"
"12.03.2018 20:00 - 12.03.2018 21:00","485","0"
"12.03.2018 21:00 - 12.03.2018 22:00","472","0"
"12.03.2018 22:00 - 12.03.2018 23:00","0","97"
"12.03.2018 23:00 - 13.03.2018 00:00","0","2"
"13.03.2018 00:00 - 13.03.2018 01:00","0","134"
"13.03.2018 01:00 - 13.03.2018 02:00","0","254"
"13.03.2018 02:00 - 13.03.2018 03:00","0","487"
"13.03.2018 03:00 - 13.03.2018 04:00","0","489"
"13.03.2018 04:00 - 13.03.2018 05:00","0","430"
"13.03.2018 05:00 - 13.03.2018 06:00","0","489"
"13.03.2018 06:00 - 13.03.2018 07:00","0","298"
"13.03.2018 07:00 - 13.03.2018 08:00","117","0"
"13.03.2018 08:00 - 13.03.2018 09:00","93","0"
"13.03.2018 09:00 - 13.03.2018 10:00","135","0"
"13.03.2018 10:00 - 13.03.2018 11:00","303","0"
"13.03.2018 11:00 - 13.03.2018 12:00","485","0"
"13.03.2018 12:00 - 13.03.2018 13:00","487","0"
"13.03.2018 13:00 - 13.03.2018 14:00","487","0"
"13.03.2018 14:00 - 13.03.2018 15:00","487","0"
"13.03.2018 15:00 - 13.03.2018 16:00","487","0"
"13.03.2018 16:00 - 13.03.2018 17:00","487","0"
"13.03.2018 17:00 - 13.03.2018 18:00","487","0"
"13.03.2018 18:00 - 13.03.2018 19:00","488","0"
"13.03.2018 19:00 - 13.03.2018 20:00","488","0"
"13.03.2018 20:00 - 13.03.2018 21:00","487","0"
"13.03.2018 21:00 - 13.03.2018 22:00","487","0"
"13.03.2018 22:00 - 13.03.2018 23:00","488","0"
"13.03.2018 23:00 - 14.03.2018 00:00","431","0"
"14.03.2018 00:00 - 14.03.2018 01:00","0","143"
"14.03.2018 01:00 - 14.03.2018 02:00","0","263"
"14.03.2018 02:00 - 14.03.2018 03:00","0","295"
"14.03.2018 03:00 - 14.03.2018 04:00","0","200"
"14.03.2018 04:00 - 14.03.2018 05:00","0","299"
"14.03.2018 05:00 - 14.03.2018 06:00","0","294"
"14.03.2018 06:00 - 14.03.2018 07:00","0","1"
"14.03.2018 07:00 - 14.03.2018 08:00","0","0"
"14.03.2018 08:00 - 14.03.2018 09:00","6","0"
"14.03.2018 09:00 - 14.03.2018 10:00","324","0"
"14.03.2018 10:00 - 14.03.2018 11:00","339","0"
"14.03.2018 11:00 - 14.03.2018 12:00","382","0"
"14.03.2018 12:00 - 14.03.2018 13:00","445","0"
"14.03.2018 13:00 - 14.03.2018 14:00","449","0"
"14.03.2018 14:00 - 14.03.2018 15:00","452","0"
"14.03.2018 15:00 - 14.03.2018 16:00","236","0"
"14.03.2018 16:00 - 14.03.2018 17:00","1","0"
"14.03.2018 17:00 - 14.03.2018 18:00","6","0"
"14.03.2018 18:00 - 14.03.2018 19:00","381","0"
"14.03.2018 19:00 - 14.03.2018 20:00","437","0"
"14.03.2018 20:00 - 14.03.2018 21:00","413","0"
"14.03.2018 21:00 - 14.03.2018 22:00","487","0"
"14.03.2018 22:00 - 14.03.2018 23:00","322","0"
"14.03.2018 23:00 - 15.03.2018 00:00","298","0"
"15.03.2018 00:00 - 15.03.2018 01:00","0","176"
"15.03.2018 01:00 - 15.03.2018 02:00","0","300"
"15.03.2018 02:00 - 15.03.2018 03:00","0","300"
"15.03.2018 03:00 - 15.03.2018 04:00","0","300"
"15.03.2018 04:00 - 15.03.2018 05:00","0","300"
"15.03.2018 05:00 - 15.03.2018 06:00","0","298"
"15.03.2018 06:00 - 15.03.2018 07:00","0","4"
"15.03.2018 07:00 - 15.03.2018 08:00","0","0"
"15.03.2018 08:00 - 15.03.2018 09:00","1","0"
"15.03.2018 09:00 - 15.03.2018 10:00","82","0"
"15.03.2018 10:00 - 15.03.2018 11:00","358","0"
"15.03.2018 11:00 - 15.03.2018 12:00","485","0"
"15.03.2018 12:00 - 15.03.2018 13:00","485","0"
"15.03.2018 13:00 - 15.03.2018 14:00","485","0"
"15.03.2018 14:00 - 15.03.2018 15:00","484","0"
"15.03.2018 15:00 - 15.03.2018 16:00","480","0"
"15.03.2018 16:00 - 15.03.2018 17:00","456","0"
"15.03.2018 17:00 - 15.03.2018 18:00","352","0"
"15.03.2018 18:00 - 15.03.2018 19:00","186","0"
"15.03.2018 19:00 - 15.03.2018 20:00","485","0"
"15.03.2018 20:00 - 15.03.2018 21:00","486","0"
"15.03.2018 21:00 - 15.03.2018 22:00","373","0"
"15.03.2018 22:00 - 15.03.2018 23:00","0","113"
"15.03.2018 23:00 - 16.03.2018 00:00","0","242"
"16.03.2018 00:00 - 16.03.2018 01:00","0","492"
"16.03.2018 01:00 - 16.03.2018 02:00","0","492"
"16.03.2018 02:00 - 16.03.2018 03:00","0","492"
"16.03.2018 03:00 - 16.03.2018 04:00","0","492"
"16.03.2018 04:00 - 16.03.2018 05:00","0","492"
"16.03.2018 05:00 - 16.03.2018 06:00","0","491"
"16.03.2018 06:00 - 16.03.2018 07:00","0","399"
"16.03.2018 07:00 - 16.03.2018 08:00","0","5"
"16.03.2018 08:00 - 16.03.2018 09:00","1","0"
"16.03.2018 09:00 - 16.03.2018 10:00","1","0"
"16.03.2018 10:00 - 16.03.2018 11:00","2","0"
"16.03.2018 11:00 - 16.03.2018 12:00","296","0"
"16.03.2018 12:00 - 16.03.2018 13:00","460","0"
"16.03.2018 13:00 - 16.03.2018 14:00","486","0"
"16.03.2018 14:00 - 16.03.2018 15:00","449","0"
"16.03.2018 15:00 - 16.03.2018 16:00","477","0"
"16.03.2018 16:00 - 16.03.2018 17:00","437","0"
"16.03.2018 17:00 - 16.03.2018 18:00","324","0"
"16.03.2018 18:00 - 16.03.2018 19:00","205","0"
"16.03.2018 19:00 - 16.03.2018 20:00","472","0"
"16.03.2018 20:00 - 16.03.2018 21:00","488","0"
"16.03.2018 21:00 - 16.03.2018 22:00","16","0"
"16.03.2018 22:00 - 16.03.2018 23:00","0","294"
"16.03.2018 23:00 - 17.03.2018 00:00","0","303"
"17.03.2018 00:00 - 17.03.2018 01:00","0","491"
"17.03.2018 01:00 - 17.03.2018 02:00","0","492"
"17.03.2018 02:00 - 17.03.2018 03:00","0","492"
"17.03.2018 03:00 - 17.03.2018 04:00","0","492"
"17.03.2018 04:00 - 17.03.2018 05:00","0","492"
"17.03.2018 05:00 - 17.03.2018 06:00","0","486"
"17.03.2018 06:00 - 17.03.2018 07:00","0","85"
"17.03.2018 07:00 - 17.03.2018 08:00","0","80"
"17.03.2018 08:00 - 17.03.2018 09:00","0","84"
"17.03.2018 09:00 - 17.03.2018 10:00","0","275"
"17.03.2018 10:00 - 17.03.2018 11:00","0","51"
"17.03.2018 11:00 - 17.03.2018 12:00","49","0"
"17.03.2018 12:00 - 17.03.2018 13:00","49","0"
"17.03.2018 13:00 - 17.03.2018 14:00","0","0"
"17.03.2018 14:00 - 17.03.2018 15:00","0","87"
"17.03.2018 15:00 - 17.03.2018 16:00","0","291"
"17.03.2018 16:00 - 17.03.2018 17:00","0","404"
"17.03.2018 17:00 - 17.03.2018 18:00","0","391"
"17.03.2018 18:00 - 17.03.2018 19:00","0","8"
"17.03.2018 19:00 - 17.03.2018 20:00","1","0"
"17.03.2018 20:00 - 17.03.2018 21:00","0","1"
"17.03.2018 21:00 - 17.03.2018 22:00","0","200"
"17.03.2018 22:00 - 17.03.2018 23:00","0","308"
"17.03.2018 23:00 - 18.03.2018 00:00","0","489"
"18.03.2018 00:00 - 18.03.2018 01:00","0","491"
"18.03.2018 01:00 - 18.03.2018 02:00","0","491"
"18.03.2018 02:00 - 18.03.2018 03:00","0","491"
"18.03.2018 03:00 - 18.03.2018 04:00","0","491"
"18.03.2018 04:00 - 18.03.2018 05:00","0","491"
"18.03.2018 05:00 - 18.03.2018 06:00","0","486"
"18.03.2018 06:00 - 18.03.2018 07:00","0","99"
"18.03.2018 07:00 - 18.03.2018 08:00","0","79"
"18.03.2018 08:00 - 18.03.2018 09:00","0","80"
"18.03.2018 09:00 - 18.03.2018 10:00","0","397"
"18.03.2018 10:00 - 18.03.2018 11:00","0","373"
"18.03.2018 11:00 - 18.03.2018 12:00","0","333"
"18.03.2018 12:00 - 18.03.2018 13:00","0","268"
"18.03.2018 13:00 - 18.03.2018 14:00","0","301"
"18.03.2018 14:00 - 18.03.2018 15:00","0","159"
"18.03.2018 15:00 - 18.03.2018 16:00","0","156"
"18.03.2018 16:00 - 18.03.2018 17:00","0","299"
"18.03.2018 17:00 - 18.03.2018 18:00","0","273"
"18.03.2018 18:00 - 18.03.2018 19:00","0","2"
"18.03.2018 19:00 - 18.03.2018 20:00","1","0"
"18.03.2018 20:00 - 18.03.2018 21:00","1","0"
"18.03.2018 21:00 - 18.03.2018 22:00","0","2"
"18.03.2018 22:00 - 18.03.2018 23:00","0","231"
"18.03.2018 23:00 - 19.03.2018 00:00","0","184"
"19.03.2018 00:00 - 19.03.2018 01:00","0","75"
"19.03.2018 01:00 - 19.03.2018 02:00","0","62"
"19.03.2018 02:00 - 19.03.2018 03:00","0","129"
"19.03.2018 03:00 - 19.03.2018 04:00","0","298"
"19.03.2018 04:00 - 19.03.2018 05:00","0","299"
"19.03.2018 05:00 - 19.03.2018 06:00","0","297"
"19.03.2018 06:00 - 19.03.2018 07:00","89","0"
"19.03.2018 07:00 - 19.03.2018 08:00","142","0"
"19.03.2018 08:00 - 19.03.2018 09:00","116","0"
"19.03.2018 09:00 - 19.03.2018 10:00","480","0"
"19.03.2018 10:00 - 19.03.2018 11:00","487","0"
"19.03.2018 11:00 - 19.03.2018 12:00","487","0"
"19.03.2018 12:00 - 19.03.2018 13:00","487","0"
"19.03.2018 13:00 - 19.03.2018 14:00","488","0"
"19.03.2018 14:00 - 19.03.2018 15:00","488","0"
"19.03.2018 15:00 - 19.03.2018 16:00","488","0"
"19.03.2018 16:00 - 19.03.2018 17:00","487","0"
"19.03.2018 17:00 - 19.03.2018 18:00","487","0"
"19.03.2018 18:00 - 19.03.2018 19:00","487","0"
"19.03.2018 19:00 - 19.03.2018 20:00","487","0"
"19.03.2018 20:00 - 19.03.2018 21:00","488","0"
"19.03.2018 21:00 - 19.03.2018 22:00","488","0"
"19.03.2018 22:00 - 19.03.2018 23:00","487","0"
"19.03.2018 23:00 - 20.03.2018 00:00","459","0"
"20.03.2018 00:00 - 20.03.2018 01:00","135","0"
"20.03.2018 01:00 - 20.03.2018 02:00","1","0"
"20.03.2018 02:00 - 20.03.2018 03:00","1","0"
"20.03.2018 03:00 - 20.03.2018 04:00","1","0"
"20.03.2018 04:00 - 20.03.2018 05:00","1","0"
"20.03.2018 05:00 - 20.03.2018 06:00","0","100"
"20.03.2018 06:00 - 20.03.2018 07:00","86","0"
"20.03.2018 07:00 - 20.03.2018 08:00","307","0"
"20.03.2018 08:00 - 20.03.2018 09:00","484","0"
"20.03.2018 09:00 - 20.03.2018 10:00","485","0"
"20.03.2018 10:00 - 20.03.2018 11:00","485","0"
"20.03.2018 11:00 - 20.03.2018 12:00","485","0"
"20.03.2018 12:00 - 20.03.2018 13:00","485","0"
"20.03.2018 13:00 - 20.03.2018 14:00","485","0"
"20.03.2018 14:00 - 20.03.2018 15:00","485","0"
"20.03.2018 15:00 - 20.03.2018 16:00","485","0"
"20.03.2018 16:00 - 20.03.2018 17:00","484","0"
"20.03.2018 17:00 - 20.03.2018 18:00","126","0"
"20.03.2018 18:00 - 20.03.2018 19:00","230","0"
"20.03.2018 19:00 - 20.03.2018 20:00","154","0"
"20.03.2018 20:00 - 20.03.2018 21:00","369","0"
"20.03.2018 21:00 - 20.03.2018 22:00","335","0"
"20.03.2018 22:00 - 20.03.2018 23:00","473","0"
"20.03.2018 23:00 - 21.03.2018 00:00","0","1"
"21.03.2018 00:00 - 21.03.2018 01:00","0","346"
"21.03.2018 01:00 - 21.03.2018 02:00","0","399"
"21.03.2018 02:00 - 21.03.2018 03:00","0","300"
"21.03.2018 03:00 - 21.03.2018 04:00","0","300"
"21.03.2018 04:00 - 21.03.2018 05:00","0","299"
"21.03.2018 05:00 - 21.03.2018 06:00","0","248"
"21.03.2018 06:00 - 21.03.2018 07:00","110","0"
"21.03.2018 07:00 - 21.03.2018 08:00","154","0"
"21.03.2018 08:00 - 21.03.2018 09:00","391","0"
"21.03.2018 09:00 - 21.03.2018 10:00","486","0"
"21.03.2018 10:00 - 21.03.2018 11:00","488","0"
"21.03.2018 11:00 - 21.03.2018 12:00","488","0"
"21.03.2018 12:00 - 21.03.2018 13:00","488","0"
"21.03.2018 13:00 - 21.03.2018 14:00","488","0"
"21.03.2018 14:00 - 21.03.2018 15:00","488","0"
"21.03.2018 15:00 - 21.03.2018 16:00","488","0"
"21.03.2018 16:00 - 21.03.2018 17:00","488","0"
"21.03.2018 17:00 - 21.03.2018 18:00","487","0"
"21.03.2018 18:00 - 21.03.2018 19:00","487","0"
"21.03.2018 19:00 - 21.03.2018 20:00","487","0"
"21.03.2018 20:00 - 21.03.2018 21:00","487","0"
"21.03.2018 21:00 - 21.03.2018 22:00","487","0"
"21.03.2018 22:00 - 21.03.2018 23:00","484","0"
"21.03.2018 23:00 - 22.03.2018 00:00","151","0"
"22.03.2018 00:00 - 22.03.2018 01:00","0","426"
"22.03.2018 01:00 - 22.03.2018 02:00","0","490"
"22.03.2018 02:00 - 22.03.2018 03:00","0","491"
"22.03.2018 03:00 - 22.03.2018 04:00","0","491"
"22.03.2018 04:00 - 22.03.2018 05:00","0","491"
"22.03.2018 05:00 - 22.03.2018 06:00","0","488"
"22.03.2018 06:00 - 22.03.2018 07:00","0","96"
"22.03.2018 07:00 - 22.03.2018 08:00","343","0"
"22.03.2018 08:00 - 22.03.2018 09:00","487","0"
"22.03.2018 09:00 - 22.03.2018 10:00","488","0"
"22.03.2018 10:00 - 22.03.2018 11:00","488","0"
"22.03.2018 11:00 - 22.03.2018 12:00","488","0"
"22.03.2018 12:00 - 22.03.2018 13:00","488","0"
"22.03.2018 13:00 - 22.03.2018 14:00","488","0"
"22.03.2018 14:00 - 22.03.2018 15:00","488","0"
"22.03.2018 15:00 - 22.03.2018 16:00","488","0"
"22.03.2018 16:00 - 22.03.2018 17:00","485","0"
"22.03.2018 17:00 - 22.03.2018 18:00","290","0"
"22.03.2018 18:00 - 22.03.2018 19:00","487","0"
"22.03.2018 19:00 - 22.03.2018 20:00","488","0"
"22.03.2018 20:00 - 22.03.2018 21:00","488","0"
"22.03.2018 21:00 - 22.03.2018 22:00","488","0"
"22.03.2018 22:00 - 22.03.2018 23:00","488","0"
"22.03.2018 23:00 - 23.03.2018 00:00","477","0"
"23.03.2018 00:00 - 23.03.2018 01:00","5","0"
"23.03.2018 01:00 - 23.03.2018 02:00","0","51"
"23.03.2018 02:00 - 23.03.2018 03:00","0","259"
"23.03.2018 03:00 - 23.03.2018 04:00","0","300"
"23.03.2018 04:00 - 23.03.2018 05:00","0","298"
"23.03.2018 05:00 - 23.03.2018 06:00","0","51"
"23.03.2018 06:00 - 23.03.2018 07:00","2","0"
"23.03.2018 07:00 - 23.03.2018 08:00","205","0"
"23.03.2018 08:00 - 23.03.2018 09:00","480","0"
"23.03.2018 09:00 - 23.03.2018 10:00","485","0"
"23.03.2018 10:00 - 23.03.2018 11:00","485","0"
"23.03.2018 11:00 - 23.03.2018 12:00","485","0"
"23.03.2018 12:00 - 23.03.2018 13:00","485","0"
"23.03.2018 13:00 - 23.03.2018 14:00","485","0"
"23.03.2018 14:00 - 23.03.2018 15:00","485","0"
"23.03.2018 15:00 - 23.03.2018 16:00","485","0"
"23.03.2018 16:00 - 23.03.2018 17:00","485","0"
"23.03.2018 17:00 - 23.03.2018 18:00","485","0"
"23.03.2018 18:00 - 23.03.2018 19:00","487","0"
"23.03.2018 19:00 - 23.03.2018 20:00","484","0"
"23.03.2018 20:00 - 23.03.2018 21:00","485","0"
"23.03.2018 21:00 - 23.03.2018 22:00","486","0"
"23.03.2018 22:00 - 23.03.2018 23:00","486","0"
"23.03.2018 23:00 - 24.03.2018 00:00","485","0"
"24.03.2018 00:00 - 24.03.2018 01:00","166","0"
"24.03.2018 01:00 - 24.03.2018 02:00","53","0"
"24.03.2018 02:00 - 24.03.2018 03:00","0","0"
"24.03.2018 03:00 - 24.03.2018 04:00","0","51"
"24.03.2018 04:00 - 24.03.2018 05:00","0","86"
"24.03.2018 05:00 - 24.03.2018 06:00","0","0"
"24.03.2018 06:00 - 24.03.2018 07:00","0","0"
"24.03.2018 07:00 - 24.03.2018 08:00","10","0"
"24.03.2018 08:00 - 24.03.2018 09:00","480","0"
"24.03.2018 09:00 - 24.03.2018 10:00","486","0"
"24.03.2018 10:00 - 24.03.2018 11:00","486","0"
"24.03.2018 11:00 - 24.03.2018 12:00","486","0"
"24.03.2018 12:00 - 24.03.2018 13:00","486","0"
"24.03.2018 13:00 - 24.03.2018 14:00","486","0"
"24.03.2018 14:00 - 24.03.2018 15:00","486","0"
"24.03.2018 15:00 - 24.03.2018 16:00","485","0"
"24.03.2018 16:00 - 24.03.2018 17:00","442","0"
"24.03.2018 17:00 - 24.03.2018 18:00","484","0"
"24.03.2018 18:00 - 24.03.2018 19:00","486","0"
"24.03.2018 19:00 - 24.03.2018 20:00","486","0"
"24.03.2018 20:00 - 24.03.2018 21:00","486","0"
"24.03.2018 21:00 - 24.03.2018 22:00","486","0"
"24.03.2018 22:00 - 24.03.2018 23:00","478","0"
"24.03.2018 23:00 - 25.03.2018 00:00","177","0"
"25.03.2018 00:00 - 25.03.2018 01:00","0","108"
"25.03.2018 01:00 - 25.03.2018 02:00","0","296"
"25.03.2018 02:00 - 25.03.2018 03:00","",""
"25.03.2018 03:00 - 25.03.2018 04:00","0","209"
"25.03.2018 04:00 - 25.03.2018 05:00","0","206"
"25.03.2018 05:00 - 25.03.2018 06:00","0","158"
"25.03.2018 06:00 - 25.03.2018 07:00","1","0"
"25.03.2018 07:00 - 25.03.2018 08:00","1","0"
"25.03.2018 08:00 - 25.03.2018 09:00","0","152"
"25.03.2018 09:00 - 25.03.2018 10:00","0","5"
"25.03.2018 10:00 - 25.03.2018 11:00","0","0"
"25.03.2018 11:00 - 25.03.2018 12:00","0","0"
"25.03.2018 12:00 - 25.03.2018 13:00","54","0"
"25.03.2018 13:00 - 25.03.2018 14:00","96","0"
"25.03.2018 14:00 - 25.03.2018 15:00","128","0"
"25.03.2018 15:00 - 25.03.2018 16:00","74","0"
"25.03.2018 16:00 - 25.03.2018 17:00","1","0"
"25.03.2018 17:00 - 25.03.2018 18:00","1","0"
"25.03.2018 18:00 - 25.03.2018 19:00","7","0"
"25.03.2018 19:00 - 25.03.2018 20:00","478","0"
"25.03.2018 20:00 - 25.03.2018 21:00","488","0"
"25.03.2018 21:00 - 25.03.2018 22:00","404","0"
"25.03.2018 22:00 - 25.03.2018 23:00","200","0"
"25.03.2018 23:00 - 26.03.2018 00:00","4","0"
"26.03.2018 00:00 - 26.03.2018 01:00","0","288"
"26.03.2018 01:00 - 26.03.2018 02:00","0","300"
"26.03.2018 02:00 - 26.03.2018 03:00","0","279"
"26.03.2018 03:00 - 26.03.2018 04:00","0","239"
"26.03.2018 04:00 - 26.03.2018 05:00","0","300"
"26.03.2018 05:00 - 26.03.2018 06:00","0","299"
"26.03.2018 06:00 - 26.03.2018 07:00","0","53"
"26.03.2018 07:00 - 26.03.2018 08:00","1","0"
"26.03.2018 08:00 - 26.03.2018 09:00","100","0"
"26.03.2018 09:00 - 26.03.2018 10:00","283","0"
"26.03.2018 10:00 - 26.03.2018 11:00","111","0"
"26.03.2018 11:00 - 26.03.2018 12:00","267","0"
"26.03.2018 12:00 - 26.03.2018 13:00","432","0"
"26.03.2018 13:00 - 26.03.2018 14:00","368","0"
"26.03.2018 14:00 - 26.03.2018 15:00","462","0"
"26.03.2018 15:00 - 26.03.2018 16:00","485","0"
"26.03.2018 16:00 - 26.03.2018 17:00","422","0"
"26.03.2018 17:00 - 26.03.2018 18:00","367","0"
"26.03.2018 18:00 - 26.03.2018 19:00","121","0"
"26.03.2018 19:00 - 26.03.2018 20:00","483","0"
"26.03.2018 20:00 - 26.03.2018 21:00","488","0"
"26.03.2018 21:00 - 26.03.2018 22:00","486","0"
"26.03.2018 22:00 - 26.03.2018 23:00","263","0"
"26.03.2018 23:00 - 27.03.2018 00:00","0","0"
"27.03.2018 00:00 - 27.03.2018 01:00","0","224"
"27.03.2018 01:00 - 27.03.2018 02:00","0","271"
"27.03.2018 02:00 - 27.03.2018 03:00","0","182"
"27.03.2018 03:00 - 27.03.2018 04:00","0","262"
"27.03.2018 04:00 - 27.03.2018 05:00","0","300"
"27.03.2018 05:00 - 27.03.2018 06:00","0","298"
"27.03.2018 06:00 - 27.03.2018 07:00","0","98"
"27.03.2018 07:00 - 27.03.2018 08:00","0","0"
"27.03.2018 08:00 - 27.03.2018 09:00","0","0"
"27.03.2018 09:00 - 27.03.2018 10:00","117","0"
"27.03.2018 10:00 - 27.03.2018 11:00","100","0"
"27.03.2018 11:00 - 27.03.2018 12:00","390","0"
"27.03.2018 12:00 - 27.03.2018 13:00","488","0"
"27.03.2018 13:00 - 27.03.2018 14:00","488","0"
"27.03.2018 14:00 - 27.03.2018 15:00","488","0"
"27.03.2018 15:00 - 27.03.2018 16:00","488","0"
"27.03.2018 16:00 - 27.03.2018 17:00","488","0"
"27.03.2018 17:00 - 27.03.2018 18:00","488","0"
"27.03.2018 18:00 - 27.03.2018 19:00","487","0"
"27.03.2018 19:00 - 27.03.2018 20:00","358","0"
"27.03.2018 20:00 - 27.03.2018 21:00","486","0"
"27.03.2018 21:00 - 27.03.2018 22:00","453","0"
"27.03.2018 22:00 - 27.03.2018 23:00","2","0"
