"Time (CET)","Belarus (BY) > Lithuania (LT) [MW]","Lithuania (LT) > Belarus (BY) [MW]"
"16.04.2018 08:00 - 16.04.2018 09:00","53","0"
"16.04.2018 09:00 - 16.04.2018 10:00","103","0"
"16.04.2018 10:00 - 16.04.2018 11:00","102","0"
"16.04.2018 11:00 - 16.04.2018 12:00","109","0"
"16.04.2018 12:00 - 16.04.2018 13:00","118","0"
"16.04.2018 13:00 - 16.04.2018 14:00","188","0"
"16.04.2018 14:00 - 16.04.2018 15:00","265","0"
"16.04.2018 15:00 - 16.04.2018 16:00","166","0"
"16.04.2018 16:00 - 16.04.2018 17:00","10","0"
"16.04.2018 17:00 - 16.04.2018 18:00","61","0"
"16.04.2018 18:00 - 16.04.2018 19:00","140","0"
"16.04.2018 19:00 - 16.04.2018 20:00","45","0"
"16.04.2018 20:00 - 16.04.2018 21:00","212","0"
"16.04.2018 21:00 - 16.04.2018 22:00","327","0"
"16.04.2018 22:00 - 16.04.2018 23:00","226","0"
"16.04.2018 23:00 - 17.04.2018 00:00","84","0"
"17.04.2018 00:00 - 17.04.2018 01:00","276","0"
"17.04.2018 01:00 - 17.04.2018 02:00","296","0"
"17.04.2018 02:00 - 17.04.2018 03:00","193","0"
"17.04.2018 03:00 - 17.04.2018 04:00","193","0"
"17.04.2018 04:00 - 17.04.2018 05:00","228","0"
"17.04.2018 05:00 - 17.04.2018 06:00","179","0"
"17.04.2018 06:00 - 17.04.2018 07:00","0","151"
"17.04.2018 07:00 - 17.04.2018 08:00","0","64"
"17.04.2018 08:00 - 17.04.2018 09:00","61","0"
"17.04.2018 09:00 - 17.04.2018 10:00","159","0"
"17.04.2018 10:00 - 17.04.2018 11:00","223","0"
"17.04.2018 11:00 - 17.04.2018 12:00","39","0"
"17.04.2018 12:00 - 17.04.2018 13:00","0","16"
"17.04.2018 13:00 - 17.04.2018 14:00","0","2"
"17.04.2018 14:00 - 17.04.2018 15:00","218","0"
"17.04.2018 15:00 - 17.04.2018 16:00","239","0"
"17.04.2018 16:00 - 17.04.2018 17:00","0","60"
"17.04.2018 17:00 - 17.04.2018 18:00","0","56"
"17.04.2018 18:00 - 17.04.2018 19:00","75","0"
"17.04.2018 19:00 - 17.04.2018 20:00","45","0"
"17.04.2018 20:00 - 17.04.2018 21:00","154","0"
"17.04.2018 21:00 - 17.04.2018 22:00","241","0"
"17.04.2018 22:00 - 17.04.2018 23:00","322","0"
"17.04.2018 23:00 - 18.04.2018 00:00","359","0"
"18.04.2018 00:00 - 18.04.2018 01:00","74","0"
"18.04.2018 01:00 - 18.04.2018 02:00","38","0"
"18.04.2018 02:00 - 18.04.2018 03:00","70","0"
"18.04.2018 03:00 - 18.04.2018 04:00","54","0"
"18.04.2018 04:00 - 18.04.2018 05:00","67","0"
"18.04.2018 05:00 - 18.04.2018 06:00","0","160"
"18.04.2018 06:00 - 18.04.2018 07:00","0","198"
"18.04.2018 07:00 - 18.04.2018 08:00","0","161"
"18.04.2018 08:00 - 18.04.2018 09:00","0","130"
"18.04.2018 09:00 - 18.04.2018 10:00","0","100"
"18.04.2018 10:00 - 18.04.2018 11:00","0","69"
"18.04.2018 11:00 - 18.04.2018 12:00","35","0"
"18.04.2018 12:00 - 18.04.2018 13:00","13","0"
"18.04.2018 13:00 - 18.04.2018 14:00","0","55"
"18.04.2018 14:00 - 18.04.2018 15:00","132","0"
"18.04.2018 15:00 - 18.04.2018 16:00","111","0"
"18.04.2018 16:00 - 18.04.2018 17:00","0","81"
"18.04.2018 17:00 - 18.04.2018 18:00","0","51"
"18.04.2018 18:00 - 18.04.2018 19:00","0","64"
"18.04.2018 19:00 - 18.04.2018 20:00","0","44"
"18.04.2018 20:00 - 18.04.2018 21:00","135","0"
"18.04.2018 21:00 - 18.04.2018 22:00","236","0"
"18.04.2018 22:00 - 18.04.2018 23:00","225","0"
"18.04.2018 23:00 - 19.04.2018 00:00","314","0"
"19.04.2018 00:00 - 19.04.2018 01:00","264","0"
"19.04.2018 01:00 - 19.04.2018 02:00","176","0"
"19.04.2018 02:00 - 19.04.2018 03:00","196","0"
"19.04.2018 03:00 - 19.04.2018 04:00","198","0"
"19.04.2018 04:00 - 19.04.2018 05:00","125","0"
"19.04.2018 05:00 - 19.04.2018 06:00","29","0"
"19.04.2018 06:00 - 19.04.2018 07:00","0","150"
"19.04.2018 07:00 - 19.04.2018 08:00","0","64"
"19.04.2018 08:00 - 19.04.2018 09:00","0","44"
"19.04.2018 09:00 - 19.04.2018 10:00","0","3"
"19.04.2018 10:00 - 19.04.2018 11:00","0","72"
"19.04.2018 11:00 - 19.04.2018 12:00","0","63"
"19.04.2018 12:00 - 19.04.2018 13:00","0","80"
"19.04.2018 13:00 - 19.04.2018 14:00","0","91"
"19.04.2018 14:00 - 19.04.2018 15:00","39","0"
"19.04.2018 15:00 - 19.04.2018 16:00","33","0"
"19.04.2018 16:00 - 19.04.2018 17:00","0","112"
"19.04.2018 17:00 - 19.04.2018 18:00","0","114"
"19.04.2018 18:00 - 19.04.2018 19:00","0","129"
"19.04.2018 19:00 - 19.04.2018 20:00","0","108"
"19.04.2018 20:00 - 19.04.2018 21:00","119","0"
"19.04.2018 21:00 - 19.04.2018 22:00","185","0"
"19.04.2018 22:00 - 19.04.2018 23:00","192","0"
"19.04.2018 23:00 - 20.04.2018 00:00","171","0"
"20.04.2018 00:00 - 20.04.2018 01:00","166","0"
"20.04.2018 01:00 - 20.04.2018 02:00","191","0"
"20.04.2018 02:00 - 20.04.2018 03:00","176","0"
"20.04.2018 03:00 - 20.04.2018 04:00","179","0"
"20.04.2018 04:00 - 20.04.2018 05:00","179","0"
"20.04.2018 05:00 - 20.04.2018 06:00","79","0"
"20.04.2018 06:00 - 20.04.2018 07:00","0","150"
"20.04.2018 07:00 - 20.04.2018 08:00","0","20"
"20.04.2018 08:00 - 20.04.2018 09:00","0","16"
"20.04.2018 09:00 - 20.04.2018 10:00","1","0"
"20.04.2018 10:00 - 20.04.2018 11:00","0","17"
"20.04.2018 11:00 - 20.04.2018 12:00","0","21"
"20.04.2018 12:00 - 20.04.2018 13:00","0","63"
"20.04.2018 13:00 - 20.04.2018 14:00","0","43"
"20.04.2018 14:00 - 20.04.2018 15:00","12","0"
"20.04.2018 15:00 - 20.04.2018 16:00","0","29"
"20.04.2018 16:00 - 20.04.2018 17:00","0","62"
"20.04.2018 17:00 - 20.04.2018 18:00","0","45"
"20.04.2018 18:00 - 20.04.2018 19:00","0","12"
"20.04.2018 19:00 - 20.04.2018 20:00","0","9"
"20.04.2018 20:00 - 20.04.2018 21:00","170","0"
"20.04.2018 21:00 - 20.04.2018 22:00","183","0"
"20.04.2018 22:00 - 20.04.2018 23:00","98","0"
"20.04.2018 23:00 - 21.04.2018 00:00","218","0"
"21.04.2018 00:00 - 21.04.2018 01:00","149","0"
"21.04.2018 01:00 - 21.04.2018 02:00","46","0"
"21.04.2018 02:00 - 21.04.2018 03:00","67","0"
"21.04.2018 03:00 - 21.04.2018 04:00","3","0"
"21.04.2018 04:00 - 21.04.2018 05:00","0","13"
"21.04.2018 05:00 - 21.04.2018 06:00","0","101"
"21.04.2018 06:00 - 21.04.2018 07:00","0","158"
"21.04.2018 07:00 - 21.04.2018 08:00","0","118"
"21.04.2018 08:00 - 21.04.2018 09:00","0","78"
"21.04.2018 09:00 - 21.04.2018 10:00","0","103"
"21.04.2018 10:00 - 21.04.2018 11:00","0","68"
"21.04.2018 11:00 - 21.04.2018 12:00","0","47"
"21.04.2018 12:00 - 21.04.2018 13:00","0","22"
"21.04.2018 13:00 - 21.04.2018 14:00","0","26"
"21.04.2018 14:00 - 21.04.2018 15:00","87","0"
"21.04.2018 15:00 - 21.04.2018 16:00","148","0"
"21.04.2018 16:00 - 21.04.2018 17:00","19","0"
"21.04.2018 17:00 - 21.04.2018 18:00","0","8"
"21.04.2018 18:00 - 21.04.2018 19:00","0","27"
"21.04.2018 19:00 - 21.04.2018 20:00","0","115"
"21.04.2018 20:00 - 21.04.2018 21:00","0","50"
"21.04.2018 21:00 - 21.04.2018 22:00","50","0"
"21.04.2018 22:00 - 21.04.2018 23:00","139","0"
"21.04.2018 23:00 - 22.04.2018 00:00","170","0"
"22.04.2018 00:00 - 22.04.2018 01:00","63","0"
"22.04.2018 01:00 - 22.04.2018 02:00","43","0"
"22.04.2018 02:00 - 22.04.2018 03:00","14","0"
"22.04.2018 03:00 - 22.04.2018 04:00","2","0"
"22.04.2018 04:00 - 22.04.2018 05:00","0","7"
"22.04.2018 05:00 - 22.04.2018 06:00","0","29"
"22.04.2018 06:00 - 22.04.2018 07:00","0","48"
"22.04.2018 07:00 - 22.04.2018 08:00","0","52"
"22.04.2018 08:00 - 22.04.2018 09:00","60","0"
"22.04.2018 09:00 - 22.04.2018 10:00","16","0"
"22.04.2018 10:00 - 22.04.2018 11:00","0","24"
"22.04.2018 11:00 - 22.04.2018 12:00","0","40"
"22.04.2018 12:00 - 22.04.2018 13:00","0","78"
"22.04.2018 13:00 - 22.04.2018 14:00","0","60"
"22.04.2018 14:00 - 22.04.2018 15:00","0","51"
"22.04.2018 15:00 - 22.04.2018 16:00","0","118"
"22.04.2018 16:00 - 22.04.2018 17:00","0","181"
"22.04.2018 17:00 - 22.04.2018 18:00","0","176"
"22.04.2018 18:00 - 22.04.2018 19:00","0","199"
"22.04.2018 19:00 - 22.04.2018 20:00","0","248"
"22.04.2018 20:00 - 22.04.2018 21:00","0","107"
"22.04.2018 21:00 - 22.04.2018 22:00","0","62"
"22.04.2018 22:00 - 22.04.2018 23:00","0","60"
"22.04.2018 23:00 - 23.04.2018 00:00","0","6"
"23.04.2018 00:00 - 23.04.2018 01:00","0","88"
"23.04.2018 01:00 - 23.04.2018 02:00","0","57"
"23.04.2018 02:00 - 23.04.2018 03:00","8","0"
"23.04.2018 03:00 - 23.04.2018 04:00","34","0"
"23.04.2018 04:00 - 23.04.2018 05:00","0","26"
"23.04.2018 05:00 - 23.04.2018 06:00","0","100"
"23.04.2018 06:00 - 23.04.2018 07:00","0","361"
"23.04.2018 07:00 - 23.04.2018 08:00","0","258"
"23.04.2018 08:00 - 23.04.2018 09:00","0","243"
"23.04.2018 09:00 - 23.04.2018 10:00","0","184"
"23.04.2018 10:00 - 23.04.2018 11:00","0","206"
"23.04.2018 11:00 - 23.04.2018 12:00","0","121"
"23.04.2018 12:00 - 23.04.2018 13:00","0","62"
"23.04.2018 13:00 - 23.04.2018 14:00","0","83"
"23.04.2018 14:00 - 23.04.2018 15:00","0","32"
"23.04.2018 15:00 - 23.04.2018 16:00","0","56"
"23.04.2018 16:00 - 23.04.2018 17:00","0","208"
"23.04.2018 17:00 - 23.04.2018 18:00","0","237"
"23.04.2018 18:00 - 23.04.2018 19:00","0","309"
"23.04.2018 19:00 - 23.04.2018 20:00","0","270"
"23.04.2018 20:00 - 23.04.2018 21:00","0","116"
"23.04.2018 21:00 - 23.04.2018 22:00","0","5"
"23.04.2018 22:00 - 23.04.2018 23:00","70","0"
"23.04.2018 23:00 - 24.04.2018 00:00","170","0"
"24.04.2018 00:00 - 24.04.2018 01:00","0","67"
"24.04.2018 01:00 - 24.04.2018 02:00","0","27"
"24.04.2018 02:00 - 24.04.2018 03:00","0","35"
"24.04.2018 03:00 - 24.04.2018 04:00","0","15"
"24.04.2018 04:00 - 24.04.2018 05:00","0","86"
"24.04.2018 05:00 - 24.04.2018 06:00","0","205"
"24.04.2018 06:00 - 24.04.2018 07:00","0","190"
"24.04.2018 07:00 - 24.04.2018 08:00","0","100"
"24.04.2018 08:00 - 24.04.2018 09:00","0","80"
"24.04.2018 09:00 - 24.04.2018 10:00","0","93"
"24.04.2018 10:00 - 24.04.2018 11:00","0","121"
"24.04.2018 11:00 - 24.04.2018 12:00","0","26"
"24.04.2018 12:00 - 24.04.2018 13:00","5","0"
"24.04.2018 13:00 - 24.04.2018 14:00","1","0"
"24.04.2018 14:00 - 24.04.2018 15:00","55","0"
"24.04.2018 15:00 - 24.04.2018 16:00","0","37"
"24.04.2018 16:00 - 24.04.2018 17:00","0","97"
"24.04.2018 17:00 - 24.04.2018 18:00","0","103"
"24.04.2018 18:00 - 24.04.2018 19:00","0","213"
"24.04.2018 19:00 - 24.04.2018 20:00","0","202"
"24.04.2018 20:00 - 24.04.2018 21:00","0","75"
"24.04.2018 21:00 - 24.04.2018 22:00","0","92"
"24.04.2018 22:00 - 24.04.2018 23:00","0","56"
"24.04.2018 23:00 - 25.04.2018 00:00","77","0"
"25.04.2018 00:00 - 25.04.2018 01:00","0","10"
"25.04.2018 01:00 - 25.04.2018 02:00","0","41"
"25.04.2018 02:00 - 25.04.2018 03:00","0","43"
"25.04.2018 03:00 - 25.04.2018 04:00","0","37"
"25.04.2018 04:00 - 25.04.2018 05:00","0","81"
"25.04.2018 05:00 - 25.04.2018 06:00","0","47"
"25.04.2018 06:00 - 25.04.2018 07:00","0","275"
"25.04.2018 07:00 - 25.04.2018 08:00","0","110"
"25.04.2018 08:00 - 25.04.2018 09:00","0","150"
"25.04.2018 09:00 - 25.04.2018 10:00","0","124"
"25.04.2018 10:00 - 25.04.2018 11:00","0","71"
"25.04.2018 11:00 - 25.04.2018 12:00","0","62"
"25.04.2018 12:00 - 25.04.2018 13:00","0","44"
"25.04.2018 13:00 - 25.04.2018 14:00","0","76"
"25.04.2018 14:00 - 25.04.2018 15:00","1","0"
"25.04.2018 15:00 - 25.04.2018 16:00","0","25"
"25.04.2018 16:00 - 25.04.2018 17:00","0","252"
"25.04.2018 17:00 - 25.04.2018 18:00","0","162"
"25.04.2018 18:00 - 25.04.2018 19:00","0","159"
"25.04.2018 19:00 - 25.04.2018 20:00","0","162"
"25.04.2018 20:00 - 25.04.2018 21:00","0","65"
"25.04.2018 21:00 - 25.04.2018 22:00","17","0"
"25.04.2018 22:00 - 25.04.2018 23:00","26","0"
"25.04.2018 23:00 - 26.04.2018 00:00","202","0"
"26.04.2018 00:00 - 26.04.2018 01:00","1","0"
"26.04.2018 01:00 - 26.04.2018 02:00","0","14"
"26.04.2018 02:00 - 26.04.2018 03:00","0","21"
"26.04.2018 03:00 - 26.04.2018 04:00","0","22"
"26.04.2018 04:00 - 26.04.2018 05:00","0","40"
"26.04.2018 05:00 - 26.04.2018 06:00","0","107"
"26.04.2018 06:00 - 26.04.2018 07:00","0","353"
"26.04.2018 07:00 - 26.04.2018 08:00","0","263"
"26.04.2018 08:00 - 26.04.2018 09:00","0","298"
"26.04.2018 09:00 - 26.04.2018 10:00","0","218"
"26.04.2018 10:00 - 26.04.2018 11:00","0","172"
"26.04.2018 11:00 - 26.04.2018 12:00","0","131"
"26.04.2018 12:00 - 26.04.2018 13:00","0","172"
"26.04.2018 13:00 - 26.04.2018 14:00","0","217"
"26.04.2018 14:00 - 26.04.2018 15:00","0","66"
"26.04.2018 15:00 - 26.04.2018 16:00","0","60"
"26.04.2018 16:00 - 26.04.2018 17:00","0","146"
"26.04.2018 17:00 - 26.04.2018 18:00","0","232"
"26.04.2018 18:00 - 26.04.2018 19:00","0","217"
"26.04.2018 19:00 - 26.04.2018 20:00","0","235"
"26.04.2018 20:00 - 26.04.2018 21:00","0","68"
"26.04.2018 21:00 - 26.04.2018 22:00","56","0"
"26.04.2018 22:00 - 26.04.2018 23:00","45","0"
"26.04.2018 23:00 - 27.04.2018 00:00","102","0"
"27.04.2018 00:00 - 27.04.2018 01:00","0","16"
"27.04.2018 01:00 - 27.04.2018 02:00","0","67"
"27.04.2018 02:00 - 27.04.2018 03:00","0","27"
"27.04.2018 03:00 - 27.04.2018 04:00","0","62"
"27.04.2018 04:00 - 27.04.2018 05:00","0","79"
"27.04.2018 05:00 - 27.04.2018 06:00","0","161"
"27.04.2018 06:00 - 27.04.2018 07:00","0","375"
"27.04.2018 07:00 - 27.04.2018 08:00","0","335"
"27.04.2018 08:00 - 27.04.2018 09:00","0","369"
"27.04.2018 09:00 - 27.04.2018 10:00","0","271"
"27.04.2018 10:00 - 27.04.2018 11:00","0","236"
"27.04.2018 11:00 - 27.04.2018 12:00","0","219"
"27.04.2018 12:00 - 27.04.2018 13:00","0","170"
"27.04.2018 13:00 - 27.04.2018 14:00","0","112"
"27.04.2018 14:00 - 27.04.2018 15:00","0","92"
"27.04.2018 15:00 - 27.04.2018 16:00","0","95"
"27.04.2018 16:00 - 27.04.2018 17:00","0","177"
"27.04.2018 17:00 - 27.04.2018 18:00","0","212"
"27.04.2018 18:00 - 27.04.2018 19:00","0","171"
"27.04.2018 19:00 - 27.04.2018 20:00","0","181"
"27.04.2018 20:00 - 27.04.2018 21:00","0","63"
"27.04.2018 21:00 - 27.04.2018 22:00","0","53"
"27.04.2018 22:00 - 27.04.2018 23:00","0","62"
"27.04.2018 23:00 - 28.04.2018 00:00","125","0"
"28.04.2018 00:00 - 28.04.2018 01:00","0","126"
"28.04.2018 01:00 - 28.04.2018 02:00","0","188"
"28.04.2018 02:00 - 28.04.2018 03:00","0","199"
"28.04.2018 03:00 - 28.04.2018 04:00","0","219"
"28.04.2018 04:00 - 28.04.2018 05:00","0","282"
"28.04.2018 05:00 - 28.04.2018 06:00","0","289"
"28.04.2018 06:00 - 28.04.2018 07:00","0","398"
"28.04.2018 07:00 - 28.04.2018 08:00","0","348"
"28.04.2018 08:00 - 28.04.2018 09:00","0","225"
"28.04.2018 09:00 - 28.04.2018 10:00","0","123"
"28.04.2018 10:00 - 28.04.2018 11:00","0","200"
"28.04.2018 11:00 - 28.04.2018 12:00","0","290"
"28.04.2018 12:00 - 28.04.2018 13:00","0","348"
"28.04.2018 13:00 - 28.04.2018 14:00","0","363"
"28.04.2018 14:00 - 28.04.2018 15:00","0","121"
"28.04.2018 15:00 - 28.04.2018 16:00","0","76"
"28.04.2018 16:00 - 28.04.2018 17:00","0","401"
"28.04.2018 17:00 - 28.04.2018 18:00","0","495"
"28.04.2018 18:00 - 28.04.2018 19:00","0","426"
"28.04.2018 19:00 - 28.04.2018 20:00","0","393"
"28.04.2018 20:00 - 28.04.2018 21:00","0","51"
"28.04.2018 21:00 - 28.04.2018 22:00","91","0"
"28.04.2018 22:00 - 28.04.2018 23:00","68","0"
"28.04.2018 23:00 - 29.04.2018 00:00","264","0"
"29.04.2018 00:00 - 29.04.2018 01:00","117","0"
"29.04.2018 01:00 - 29.04.2018 02:00","96","0"
"29.04.2018 02:00 - 29.04.2018 03:00","113","0"
"29.04.2018 03:00 - 29.04.2018 04:00","31","0"
"29.04.2018 04:00 - 29.04.2018 05:00","0","9"
"29.04.2018 05:00 - 29.04.2018 06:00","0","58"
"29.04.2018 06:00 - 29.04.2018 07:00","0","133"
"29.04.2018 07:00 - 29.04.2018 08:00","0","220"
"29.04.2018 08:00 - 29.04.2018 09:00","0","95"
"29.04.2018 09:00 - 29.04.2018 10:00","30","0"
"29.04.2018 10:00 - 29.04.2018 11:00","60","0"
"29.04.2018 11:00 - 29.04.2018 12:00","26","0"
"29.04.2018 12:00 - 29.04.2018 13:00","0","10"
"29.04.2018 13:00 - 29.04.2018 14:00","48","0"
"29.04.2018 14:00 - 29.04.2018 15:00","58","0"
"29.04.2018 15:00 - 29.04.2018 16:00","21","0"
"29.04.2018 16:00 - 29.04.2018 17:00","0","14"
"29.04.2018 17:00 - 29.04.2018 18:00","0","22"
"29.04.2018 18:00 - 29.04.2018 19:00","0","25"
"29.04.2018 19:00 - 29.04.2018 20:00","0","74"
"29.04.2018 20:00 - 29.04.2018 21:00","0","20"
"29.04.2018 21:00 - 29.04.2018 22:00","0","18"
"29.04.2018 22:00 - 29.04.2018 23:00","53","0"
"29.04.2018 23:00 - 30.04.2018 00:00","24","0"
"30.04.2018 00:00 - 30.04.2018 01:00","0","158"
"30.04.2018 01:00 - 30.04.2018 02:00","0","165"
"30.04.2018 02:00 - 30.04.2018 03:00","0","177"
"30.04.2018 03:00 - 30.04.2018 04:00","0","290"
"30.04.2018 04:00 - 30.04.2018 05:00","0","258"
"30.04.2018 05:00 - 30.04.2018 06:00","0","258"
"30.04.2018 06:00 - 30.04.2018 07:00","0","92"
"30.04.2018 07:00 - 30.04.2018 08:00","0","34"
"30.04.2018 08:00 - 30.04.2018 09:00","0","16"
"30.04.2018 09:00 - 30.04.2018 10:00","9","0"
"30.04.2018 10:00 - 30.04.2018 11:00","49","0"
"30.04.2018 11:00 - 30.04.2018 12:00","58","0"
"30.04.2018 12:00 - 30.04.2018 13:00","68","0"
"30.04.2018 13:00 - 30.04.2018 14:00","96","0"
"30.04.2018 14:00 - 30.04.2018 15:00","14","0"
"30.04.2018 15:00 - 30.04.2018 16:00","11","0"
"30.04.2018 16:00 - 30.04.2018 17:00","31","0"
"30.04.2018 17:00 - 30.04.2018 18:00","0","74"
"30.04.2018 18:00 - 30.04.2018 19:00","0","222"
"30.04.2018 19:00 - 30.04.2018 20:00","0","219"
"30.04.2018 20:00 - 30.04.2018 21:00","0","124"
"30.04.2018 21:00 - 30.04.2018 22:00","0","13"
"30.04.2018 22:00 - 30.04.2018 23:00","30","0"
"30.04.2018 23:00 - 01.05.2018 00:00","33","0"
"01.05.2018 00:00 - 01.05.2018 01:00","0","199"
"01.05.2018 01:00 - 01.05.2018 02:00","0","264"
"01.05.2018 02:00 - 01.05.2018 03:00","0","271"
"01.05.2018 03:00 - 01.05.2018 04:00","0","320"
"01.05.2018 04:00 - 01.05.2018 05:00","0","373"
"01.05.2018 05:00 - 01.05.2018 06:00","0","352"
"01.05.2018 06:00 - 01.05.2018 07:00","0","363"
"01.05.2018 07:00 - 01.05.2018 08:00","0","184"
"01.05.2018 08:00 - 01.05.2018 09:00","0","92"
"01.05.2018 09:00 - 01.05.2018 10:00","0","39"
"01.05.2018 10:00 - 01.05.2018 11:00","7","0"
"01.05.2018 11:00 - 01.05.2018 12:00","0","0"
"01.05.2018 12:00 - 01.05.2018 13:00","3","0"
"01.05.2018 13:00 - 01.05.2018 14:00","0","29"
"01.05.2018 14:00 - 01.05.2018 15:00","0","53"
"01.05.2018 15:00 - 01.05.2018 16:00","0","79"
"01.05.2018 16:00 - 01.05.2018 17:00","0","83"
"01.05.2018 17:00 - 01.05.2018 18:00","0","79"
"01.05.2018 18:00 - 01.05.2018 19:00","0","169"
"01.05.2018 19:00 - 01.05.2018 20:00","0","277"
"01.05.2018 20:00 - 01.05.2018 21:00","0","275"
"01.05.2018 21:00 - 01.05.2018 22:00","0","237"
"01.05.2018 22:00 - 01.05.2018 23:00","0","206"
"01.05.2018 23:00 - 02.05.2018 00:00","0","262"
"02.05.2018 00:00 - 02.05.2018 01:00","0","289"
"02.05.2018 01:00 - 02.05.2018 02:00","0","292"
"02.05.2018 02:00 - 02.05.2018 03:00","0","439"
"02.05.2018 03:00 - 02.05.2018 04:00","0","474"
"02.05.2018 04:00 - 02.05.2018 05:00","0","575"
"02.05.2018 05:00 - 02.05.2018 06:00","0","537"
"02.05.2018 06:00 - 02.05.2018 07:00","0","398"
"02.05.2018 07:00 - 02.05.2018 08:00","0","240"
"02.05.2018 08:00 - 02.05.2018 09:00","0","134"
"02.05.2018 09:00 - 02.05.2018 10:00","0","198"
"02.05.2018 10:00 - 02.05.2018 11:00","0","208"
"02.05.2018 11:00 - 02.05.2018 12:00","0","166"
"02.05.2018 12:00 - 02.05.2018 13:00","0","138"
"02.05.2018 13:00 - 02.05.2018 14:00","0","157"
"02.05.2018 14:00 - 02.05.2018 15:00","0","204"
"02.05.2018 15:00 - 02.05.2018 16:00","0","228"
"02.05.2018 16:00 - 02.05.2018 17:00","0","198"
"02.05.2018 17:00 - 02.05.2018 18:00","0","183"
"02.05.2018 18:00 - 02.05.2018 19:00","0","249"
"02.05.2018 19:00 - 02.05.2018 20:00","0","262"
"02.05.2018 20:00 - 02.05.2018 21:00","0","72"
"02.05.2018 21:00 - 02.05.2018 22:00","49","0"
"02.05.2018 22:00 - 02.05.2018 23:00","0","54"
"02.05.2018 23:00 - 03.05.2018 00:00","76","0"
"03.05.2018 00:00 - 03.05.2018 01:00","0","252"
"03.05.2018 01:00 - 03.05.2018 02:00","0","328"
"03.05.2018 02:00 - 03.05.2018 03:00","0","374"
"03.05.2018 03:00 - 03.05.2018 04:00","0","378"
"03.05.2018 04:00 - 03.05.2018 05:00","0","327"
"03.05.2018 05:00 - 03.05.2018 06:00","0","538"
"03.05.2018 06:00 - 03.05.2018 07:00","0","644"
"03.05.2018 07:00 - 03.05.2018 08:00","0","507"
"03.05.2018 08:00 - 03.05.2018 09:00","0","538"
"03.05.2018 09:00 - 03.05.2018 10:00","0","411"
"03.05.2018 10:00 - 03.05.2018 11:00","0","261"
"03.05.2018 11:00 - 03.05.2018 12:00","0","241"
"03.05.2018 12:00 - 03.05.2018 13:00","0","248"
"03.05.2018 13:00 - 03.05.2018 14:00","0","305"
"03.05.2018 14:00 - 03.05.2018 15:00","0","20"
"03.05.2018 15:00 - 03.05.2018 16:00","14","0"
"03.05.2018 16:00 - 03.05.2018 17:00","0","82"
"03.05.2018 17:00 - 03.05.2018 18:00","0","126"
"03.05.2018 18:00 - 03.05.2018 19:00","0","313"
"03.05.2018 19:00 - 03.05.2018 20:00","0","294"
"03.05.2018 20:00 - 03.05.2018 21:00","29","0"
"03.05.2018 21:00 - 03.05.2018 22:00","179","0"
"03.05.2018 22:00 - 03.05.2018 23:00","83","0"
"03.05.2018 23:00 - 04.05.2018 00:00","174","0"
"04.05.2018 00:00 - 04.05.2018 01:00","0","140"
"04.05.2018 01:00 - 04.05.2018 02:00","0","192"
"04.05.2018 02:00 - 04.05.2018 03:00","0","182"
"04.05.2018 03:00 - 04.05.2018 04:00","0","152"
"04.05.2018 04:00 - 04.05.2018 05:00","0","210"
"04.05.2018 05:00 - 04.05.2018 06:00","0","283"
"04.05.2018 06:00 - 04.05.2018 07:00","0","266"
"04.05.2018 07:00 - 04.05.2018 08:00","0","243"
"04.05.2018 08:00 - 04.05.2018 09:00","0","184"
"04.05.2018 09:00 - 04.05.2018 10:00","0","124"
"04.05.2018 10:00 - 04.05.2018 11:00","0","126"
"04.05.2018 11:00 - 04.05.2018 12:00","0","127"
"04.05.2018 12:00 - 04.05.2018 13:00","0","108"
"04.05.2018 13:00 - 04.05.2018 14:00","0","49"
"04.05.2018 14:00 - 04.05.2018 15:00","26","0"
"04.05.2018 15:00 - 04.05.2018 16:00","45","0"
"04.05.2018 16:00 - 04.05.2018 17:00","75","0"
"04.05.2018 17:00 - 04.05.2018 18:00","0","80"
"04.05.2018 18:00 - 04.05.2018 19:00","0","219"
"04.05.2018 19:00 - 04.05.2018 20:00","0","278"
"04.05.2018 20:00 - 04.05.2018 21:00","56","0"
"04.05.2018 21:00 - 04.05.2018 22:00","213","0"
"04.05.2018 22:00 - 04.05.2018 23:00","158","0"
"04.05.2018 23:00 - 05.05.2018 00:00","315","0"
"05.05.2018 00:00 - 05.05.2018 01:00","0","3"
"05.05.2018 01:00 - 05.05.2018 02:00","0","101"
"05.05.2018 02:00 - 05.05.2018 03:00","0","74"
"05.05.2018 03:00 - 05.05.2018 04:00","0","121"
"05.05.2018 04:00 - 05.05.2018 05:00","0","154"
"05.05.2018 05:00 - 05.05.2018 06:00","0","158"
"05.05.2018 06:00 - 05.05.2018 07:00","0","100"
"05.05.2018 07:00 - 05.05.2018 08:00","25","0"
"05.05.2018 08:00 - 05.05.2018 09:00","36","0"
"05.05.2018 09:00 - 05.05.2018 10:00","93","0"
"05.05.2018 10:00 - 05.05.2018 11:00","120","0"
"05.05.2018 11:00 - 05.05.2018 12:00","88","0"
"05.05.2018 12:00 - 05.05.2018 13:00","12","0"
"05.05.2018 13:00 - 05.05.2018 14:00","30","0"
"05.05.2018 14:00 - 05.05.2018 15:00","20","0"
"05.05.2018 15:00 - 05.05.2018 16:00","14","0"
