"Time (CET)","Italy (IT) > Switzerland (CH) [MW]","Switzerland (CH) > Italy (IT) [MW]"
"19.03.2018 09:00 - 19.03.2018 10:00","0","2685"
"19.03.2018 10:00 - 19.03.2018 11:00","0","2909"
"19.03.2018 11:00 - 19.03.2018 12:00","0","3072"
"19.03.2018 12:00 - 19.03.2018 13:00","0","2472"
"19.03.2018 13:00 - 19.03.2018 14:00","0","2596"
"19.03.2018 14:00 - 19.03.2018 15:00","0","3134"
"19.03.2018 15:00 - 19.03.2018 16:00","0","3115"
"19.03.2018 16:00 - 19.03.2018 17:00","0","2502"
"19.03.2018 17:00 - 19.03.2018 18:00","0","2328"
"19.03.2018 18:00 - 19.03.2018 19:00","0","2002"
"19.03.2018 19:00 - 19.03.2018 20:00","0","1633"
"19.03.2018 20:00 - 19.03.2018 21:00","0","2232"
"19.03.2018 21:00 - 19.03.2018 22:00","0","2566"
"19.03.2018 22:00 - 19.03.2018 23:00","0","2419"
"19.03.2018 23:00 - 20.03.2018 00:00","0","1898"
"20.03.2018 00:00 - 20.03.2018 01:00","0","2511"
"20.03.2018 01:00 - 20.03.2018 02:00","0","2526"
"20.03.2018 02:00 - 20.03.2018 03:00","0","2440"
"20.03.2018 03:00 - 20.03.2018 04:00","0","2608"
"20.03.2018 04:00 - 20.03.2018 05:00","0","2708"
"20.03.2018 05:00 - 20.03.2018 06:00","0","2483"
"20.03.2018 06:00 - 20.03.2018 07:00","0","3030"
"20.03.2018 07:00 - 20.03.2018 08:00","0","2925"
"20.03.2018 08:00 - 20.03.2018 09:00","0","3286"
"20.03.2018 09:00 - 20.03.2018 10:00","0","3246"
"20.03.2018 10:00 - 20.03.2018 11:00","0","2969"
"20.03.2018 11:00 - 20.03.2018 12:00","0","2680"
"20.03.2018 12:00 - 20.03.2018 13:00","0","2780"
"20.03.2018 13:00 - 20.03.2018 14:00","0","3100"
"20.03.2018 14:00 - 20.03.2018 15:00","0","3003"
"20.03.2018 15:00 - 20.03.2018 16:00","0","3217"
"20.03.2018 16:00 - 20.03.2018 17:00","0","3214"
"20.03.2018 17:00 - 20.03.2018 18:00","0","3209"
"20.03.2018 18:00 - 20.03.2018 19:00","0","3332"
"20.03.2018 19:00 - 20.03.2018 20:00","0","3058"
"20.03.2018 20:00 - 20.03.2018 21:00","0","2889"
"20.03.2018 21:00 - 20.03.2018 22:00","0","2902"
"20.03.2018 22:00 - 20.03.2018 23:00","0","2898"
"20.03.2018 23:00 - 21.03.2018 00:00","0","2750"
"21.03.2018 00:00 - 21.03.2018 01:00","0","2494"
"21.03.2018 01:00 - 21.03.2018 02:00","0","2587"
"21.03.2018 02:00 - 21.03.2018 03:00","0","2460"
"21.03.2018 03:00 - 21.03.2018 04:00","0","2385"
"21.03.2018 04:00 - 21.03.2018 05:00","0","2618"
"21.03.2018 05:00 - 21.03.2018 06:00","0","2636"
"21.03.2018 06:00 - 21.03.2018 07:00","0","2043"
"21.03.2018 07:00 - 21.03.2018 08:00","0","1512"
"21.03.2018 08:00 - 21.03.2018 09:00","0","1990"
"21.03.2018 09:00 - 21.03.2018 10:00","0","2287"
"21.03.2018 10:00 - 21.03.2018 11:00","0","2008"
"21.03.2018 11:00 - 21.03.2018 12:00","0","2828"
"21.03.2018 12:00 - 21.03.2018 13:00","0","2654"
"21.03.2018 13:00 - 21.03.2018 14:00","0","2771"
"21.03.2018 14:00 - 21.03.2018 15:00","0","2959"
"21.03.2018 15:00 - 21.03.2018 16:00","0","3047"
"21.03.2018 16:00 - 21.03.2018 17:00","0","2996"
"21.03.2018 17:00 - 21.03.2018 18:00","0","2766"
"21.03.2018 18:00 - 21.03.2018 19:00","0","3229"
"21.03.2018 19:00 - 21.03.2018 20:00","0","1973"
"21.03.2018 20:00 - 21.03.2018 21:00","0","2482"
"21.03.2018 21:00 - 21.03.2018 22:00","0","2626"
"21.03.2018 22:00 - 21.03.2018 23:00","0","2461"
"21.03.2018 23:00 - 22.03.2018 00:00","0","2605"
"22.03.2018 00:00 - 22.03.2018 01:00","0","1795"
"22.03.2018 01:00 - 22.03.2018 02:00","0","1845"
"22.03.2018 02:00 - 22.03.2018 03:00","0","909"
"22.03.2018 03:00 - 22.03.2018 04:00","0","1495"
"22.03.2018 04:00 - 22.03.2018 05:00","0","1531"
"22.03.2018 05:00 - 22.03.2018 06:00","0","1570"
"22.03.2018 06:00 - 22.03.2018 07:00","0","1852"
"22.03.2018 07:00 - 22.03.2018 08:00","0","1913"
"22.03.2018 08:00 - 22.03.2018 09:00","0","1886"
"22.03.2018 09:00 - 22.03.2018 10:00","0","1674"
"22.03.2018 10:00 - 22.03.2018 11:00","0","1552"
"22.03.2018 11:00 - 22.03.2018 12:00","0","1643"
"22.03.2018 12:00 - 22.03.2018 13:00","0","1304"
"22.03.2018 13:00 - 22.03.2018 14:00","0","1679"
"22.03.2018 14:00 - 22.03.2018 15:00","0","1950"
"22.03.2018 15:00 - 22.03.2018 16:00","0","1923"
"22.03.2018 16:00 - 22.03.2018 17:00","0","2273"
"22.03.2018 17:00 - 22.03.2018 18:00","0","2238"
"22.03.2018 18:00 - 22.03.2018 19:00","0","2701"
"22.03.2018 19:00 - 22.03.2018 20:00","0","2709"
"22.03.2018 20:00 - 22.03.2018 21:00","0","2674"
"22.03.2018 21:00 - 22.03.2018 22:00","0","2324"
"22.03.2018 22:00 - 22.03.2018 23:00","0","2758"
"22.03.2018 23:00 - 23.03.2018 00:00","0","2507"
"23.03.2018 00:00 - 23.03.2018 01:00","0","2941"
"23.03.2018 01:00 - 23.03.2018 02:00","0","2727"
"23.03.2018 02:00 - 23.03.2018 03:00","0","2863"
"23.03.2018 03:00 - 23.03.2018 04:00","0","2826"
"23.03.2018 04:00 - 23.03.2018 05:00","0","2599"
"23.03.2018 05:00 - 23.03.2018 06:00","0","2632"
"23.03.2018 06:00 - 23.03.2018 07:00","0","1419"
"23.03.2018 07:00 - 23.03.2018 08:00","0","617"
"23.03.2018 08:00 - 23.03.2018 09:00","0","1390"
"23.03.2018 09:00 - 23.03.2018 10:00","0","1553"
"23.03.2018 10:00 - 23.03.2018 11:00","0","901"
"23.03.2018 11:00 - 23.03.2018 12:00","0","870"
"23.03.2018 12:00 - 23.03.2018 13:00","0","891"
"23.03.2018 13:00 - 23.03.2018 14:00","0","1257"
"23.03.2018 14:00 - 23.03.2018 15:00","0","2320"
"23.03.2018 15:00 - 23.03.2018 16:00","0","2820"
"23.03.2018 16:00 - 23.03.2018 17:00","0","3211"
"23.03.2018 17:00 - 23.03.2018 18:00","0","2753"
"23.03.2018 18:00 - 23.03.2018 19:00","0","3459"
"23.03.2018 19:00 - 23.03.2018 20:00","0","3361"
"23.03.2018 20:00 - 23.03.2018 21:00","0","3330"
"23.03.2018 21:00 - 23.03.2018 22:00","0","3378"
"23.03.2018 22:00 - 23.03.2018 23:00","0","3356"
"23.03.2018 23:00 - 24.03.2018 00:00","0","2866"
"24.03.2018 00:00 - 24.03.2018 01:00","0","2909"
"24.03.2018 01:00 - 24.03.2018 02:00","0","2991"
"24.03.2018 02:00 - 24.03.2018 03:00","0","2927"
"24.03.2018 03:00 - 24.03.2018 04:00","0","3127"
"24.03.2018 04:00 - 24.03.2018 05:00","0","3119"
"24.03.2018 05:00 - 24.03.2018 06:00","0","3274"
"24.03.2018 06:00 - 24.03.2018 07:00","0","3276"
"24.03.2018 07:00 - 24.03.2018 08:00","0","3339"
"24.03.2018 08:00 - 24.03.2018 09:00","0","3096"
"24.03.2018 09:00 - 24.03.2018 10:00","0","2537"
"24.03.2018 10:00 - 24.03.2018 11:00","0","2204"
"24.03.2018 11:00 - 24.03.2018 12:00","0","2163"
"24.03.2018 12:00 - 24.03.2018 13:00","0","2262"
"24.03.2018 13:00 - 24.03.2018 14:00","0","2245"
"24.03.2018 14:00 - 24.03.2018 15:00","0","2968"
"24.03.2018 15:00 - 24.03.2018 16:00","0","3352"
"24.03.2018 16:00 - 24.03.2018 17:00","0","3290"
"24.03.2018 17:00 - 24.03.2018 18:00","0","3085"
"24.03.2018 18:00 - 24.03.2018 19:00","0","3216"
"24.03.2018 19:00 - 24.03.2018 20:00","0","3227"
"24.03.2018 20:00 - 24.03.2018 21:00","0","3033"
"24.03.2018 21:00 - 24.03.2018 22:00","0","3081"
"24.03.2018 22:00 - 24.03.2018 23:00","0","3204"
"24.03.2018 23:00 - 25.03.2018 00:00","0","2677"
"25.03.2018 00:00 - 25.03.2018 01:00","0","2489"
"25.03.2018 01:00 - 25.03.2018 02:00","0","2345"
"25.03.2018 02:00 - 25.03.2018 03:00","",""
"25.03.2018 03:00 - 25.03.2018 04:00","0","2724"
"25.03.2018 04:00 - 25.03.2018 05:00","0","2642"
"25.03.2018 05:00 - 25.03.2018 06:00","0","2046"
"25.03.2018 06:00 - 25.03.2018 07:00","0","2098"
"25.03.2018 07:00 - 25.03.2018 08:00","0","2014"
"25.03.2018 08:00 - 25.03.2018 09:00","0","2275"
"25.03.2018 09:00 - 25.03.2018 10:00","0","2277"
"25.03.2018 10:00 - 25.03.2018 11:00","0","2212"
"25.03.2018 11:00 - 25.03.2018 12:00","0","1738"
"25.03.2018 12:00 - 25.03.2018 13:00","0","1650"
"25.03.2018 13:00 - 25.03.2018 14:00","0","1413"
"25.03.2018 14:00 - 25.03.2018 15:00","0","1550"
"25.03.2018 15:00 - 25.03.2018 16:00","0","2229"
"25.03.2018 16:00 - 25.03.2018 17:00","0","2229"
"25.03.2018 17:00 - 25.03.2018 18:00","0","2472"
"25.03.2018 18:00 - 25.03.2018 19:00","0","3217"
"25.03.2018 19:00 - 25.03.2018 20:00","0","3092"
"25.03.2018 20:00 - 25.03.2018 21:00","0","3056"
"25.03.2018 21:00 - 25.03.2018 22:00","0","3028"
"25.03.2018 22:00 - 25.03.2018 23:00","0","2984"
"25.03.2018 23:00 - 26.03.2018 00:00","0","2232"
"26.03.2018 00:00 - 26.03.2018 01:00","0","2429"
"26.03.2018 01:00 - 26.03.2018 02:00","0","2204"
"26.03.2018 02:00 - 26.03.2018 03:00","0","1679"
"26.03.2018 03:00 - 26.03.2018 04:00","0","1524"
"26.03.2018 04:00 - 26.03.2018 05:00","0","1747"
"26.03.2018 05:00 - 26.03.2018 06:00","0","2163"
"26.03.2018 06:00 - 26.03.2018 07:00","0","721"
"26.03.2018 07:00 - 26.03.2018 08:00","0","1323"
"26.03.2018 08:00 - 26.03.2018 09:00","0","2477"
"26.03.2018 09:00 - 26.03.2018 10:00","0","2250"
"26.03.2018 10:00 - 26.03.2018 11:00","0","1655"
"26.03.2018 11:00 - 26.03.2018 12:00","0","1122"
"26.03.2018 12:00 - 26.03.2018 13:00","0","202"
"26.03.2018 13:00 - 26.03.2018 14:00","0","639"
"26.03.2018 14:00 - 26.03.2018 15:00","0","1446"
"26.03.2018 15:00 - 26.03.2018 16:00","0","1510"
"26.03.2018 16:00 - 26.03.2018 17:00","0","1388"
"26.03.2018 17:00 - 26.03.2018 18:00","0","1684"
"26.03.2018 18:00 - 26.03.2018 19:00","0","1574"
"26.03.2018 19:00 - 26.03.2018 20:00","0","1638"
"26.03.2018 20:00 - 26.03.2018 21:00","0","1797"
"26.03.2018 21:00 - 26.03.2018 22:00","0","2267"
"26.03.2018 22:00 - 26.03.2018 23:00","0","2123"
"26.03.2018 23:00 - 27.03.2018 00:00","0","2526"
"27.03.2018 00:00 - 27.03.2018 01:00","0","2774"
"27.03.2018 01:00 - 27.03.2018 02:00","0","2728"
"27.03.2018 02:00 - 27.03.2018 03:00","0","2474"
"27.03.2018 03:00 - 27.03.2018 04:00","0","2732"
"27.03.2018 04:00 - 27.03.2018 05:00","0","2715"
"27.03.2018 05:00 - 27.03.2018 06:00","0","2842"
"27.03.2018 06:00 - 27.03.2018 07:00","0","3116"
"27.03.2018 07:00 - 27.03.2018 08:00","0","3674"
"27.03.2018 08:00 - 27.03.2018 09:00","0","3726"
"27.03.2018 09:00 - 27.03.2018 10:00","0","3518"
"27.03.2018 10:00 - 27.03.2018 11:00","0","2411"
"27.03.2018 11:00 - 27.03.2018 12:00","0","1597"
"27.03.2018 12:00 - 27.03.2018 13:00","0","1032"
"27.03.2018 13:00 - 27.03.2018 14:00","0","1616"
"27.03.2018 14:00 - 27.03.2018 15:00","0","1929"
"27.03.2018 15:00 - 27.03.2018 16:00","0","1957"
"27.03.2018 16:00 - 27.03.2018 17:00","0","1995"
"27.03.2018 17:00 - 27.03.2018 18:00","0","2356"
"27.03.2018 18:00 - 27.03.2018 19:00","0","2699"
"27.03.2018 19:00 - 27.03.2018 20:00","0","3268"
"27.03.2018 20:00 - 27.03.2018 21:00","0","3609"
"27.03.2018 21:00 - 27.03.2018 22:00","0","3243"
"27.03.2018 22:00 - 27.03.2018 23:00","0","2552"
"27.03.2018 23:00 - 28.03.2018 00:00","0","2763"
"28.03.2018 00:00 - 28.03.2018 01:00","0","2872"
"28.03.2018 01:00 - 28.03.2018 02:00","0","2938"
"28.03.2018 02:00 - 28.03.2018 03:00","0","2850"
"28.03.2018 03:00 - 28.03.2018 04:00","0","2747"
"28.03.2018 04:00 - 28.03.2018 05:00","0","2693"
"28.03.2018 05:00 - 28.03.2018 06:00","0","2758"
"28.03.2018 06:00 - 28.03.2018 07:00","0","2857"
"28.03.2018 07:00 - 28.03.2018 08:00","0","3081"
"28.03.2018 08:00 - 28.03.2018 09:00","0","3161"
"28.03.2018 09:00 - 28.03.2018 10:00","0","2531"
"28.03.2018 10:00 - 28.03.2018 11:00","0","1177"
"28.03.2018 11:00 - 28.03.2018 12:00","0","1070"
"28.03.2018 12:00 - 28.03.2018 13:00","0","1010"
"28.03.2018 13:00 - 28.03.2018 14:00","0","985"
"28.03.2018 14:00 - 28.03.2018 15:00","0","1340"
"28.03.2018 15:00 - 28.03.2018 16:00","0","1550"
"28.03.2018 16:00 - 28.03.2018 17:00","0","1739"
"28.03.2018 17:00 - 28.03.2018 18:00","0","1975"
"28.03.2018 18:00 - 28.03.2018 19:00","0","2353"
"28.03.2018 19:00 - 28.03.2018 20:00","0","2751"
"28.03.2018 20:00 - 28.03.2018 21:00","0","2881"
"28.03.2018 21:00 - 28.03.2018 22:00","0","2706"
"28.03.2018 22:00 - 28.03.2018 23:00","0","2416"
"28.03.2018 23:00 - 29.03.2018 00:00","0","2597"
"29.03.2018 00:00 - 29.03.2018 01:00","0","2989"
"29.03.2018 01:00 - 29.03.2018 02:00","0","2882"
"29.03.2018 02:00 - 29.03.2018 03:00","0","2773"
"29.03.2018 03:00 - 29.03.2018 04:00","0","2461"
"29.03.2018 04:00 - 29.03.2018 05:00","0","2377"
"29.03.2018 05:00 - 29.03.2018 06:00","0","2704"
"29.03.2018 06:00 - 29.03.2018 07:00","0","2958"
"29.03.2018 07:00 - 29.03.2018 08:00","0","2927"
"29.03.2018 08:00 - 29.03.2018 09:00","0","3490"
"29.03.2018 09:00 - 29.03.2018 10:00","0","3327"
"29.03.2018 10:00 - 29.03.2018 11:00","0","3145"
"29.03.2018 11:00 - 29.03.2018 12:00","0","3217"
"29.03.2018 12:00 - 29.03.2018 13:00","0","2908"
"29.03.2018 13:00 - 29.03.2018 14:00","0","2894"
"29.03.2018 14:00 - 29.03.2018 15:00","0","3168"
"29.03.2018 15:00 - 29.03.2018 16:00","0","3155"
"29.03.2018 16:00 - 29.03.2018 17:00","0","3316"
"29.03.2018 17:00 - 29.03.2018 18:00","0","3414"
"29.03.2018 18:00 - 29.03.2018 19:00","0","3293"
"29.03.2018 19:00 - 29.03.2018 20:00","0","3603"
"29.03.2018 20:00 - 29.03.2018 21:00","0","2933"
"29.03.2018 21:00 - 29.03.2018 22:00","0","2992"
"29.03.2018 22:00 - 29.03.2018 23:00","0","3385"
"29.03.2018 23:00 - 30.03.2018 00:00","0","2952"
"30.03.2018 00:00 - 30.03.2018 01:00","0","3082"
"30.03.2018 01:00 - 30.03.2018 02:00","0","2990"
"30.03.2018 02:00 - 30.03.2018 03:00","0","2873"
"30.03.2018 03:00 - 30.03.2018 04:00","0","2923"
"30.03.2018 04:00 - 30.03.2018 05:00","0","2958"
"30.03.2018 05:00 - 30.03.2018 06:00","0","3251"
"30.03.2018 06:00 - 30.03.2018 07:00","0","3308"
"30.03.2018 07:00 - 30.03.2018 08:00","0","3594"
"30.03.2018 08:00 - 30.03.2018 09:00","0","3349"
"30.03.2018 09:00 - 30.03.2018 10:00","0","3412"
"30.03.2018 10:00 - 30.03.2018 11:00","0","3028"
"30.03.2018 11:00 - 30.03.2018 12:00","0","3013"
"30.03.2018 12:00 - 30.03.2018 13:00","0","2961"
"30.03.2018 13:00 - 30.03.2018 14:00","0","3132"
"30.03.2018 14:00 - 30.03.2018 15:00","0","3138"
"30.03.2018 15:00 - 30.03.2018 16:00","0","3047"
"30.03.2018 16:00 - 30.03.2018 17:00","0","3034"
"30.03.2018 17:00 - 30.03.2018 18:00","0","2899"
"30.03.2018 18:00 - 30.03.2018 19:00","0","2928"
"30.03.2018 19:00 - 30.03.2018 20:00","0","2912"
"30.03.2018 20:00 - 30.03.2018 21:00","0","2955"
"30.03.2018 21:00 - 30.03.2018 22:00","0","2766"
"30.03.2018 22:00 - 30.03.2018 23:00","0","2676"
"30.03.2018 23:00 - 31.03.2018 00:00","0","1974"
"31.03.2018 00:00 - 31.03.2018 01:00","0","2117"
"31.03.2018 01:00 - 31.03.2018 02:00","0","2271"
"31.03.2018 02:00 - 31.03.2018 03:00","0","1866"
"31.03.2018 03:00 - 31.03.2018 04:00","0","2021"
"31.03.2018 04:00 - 31.03.2018 05:00","0","1997"
"31.03.2018 05:00 - 31.03.2018 06:00","0","2070"
"31.03.2018 06:00 - 31.03.2018 07:00","0","2539"
"31.03.2018 07:00 - 31.03.2018 08:00","0","2619"
"31.03.2018 08:00 - 31.03.2018 09:00","0","2494"
"31.03.2018 09:00 - 31.03.2018 10:00","0","1774"
"31.03.2018 10:00 - 31.03.2018 11:00","0","817"
"31.03.2018 11:00 - 31.03.2018 12:00","0","757"
"31.03.2018 12:00 - 31.03.2018 13:00","0","703"
"31.03.2018 13:00 - 31.03.2018 14:00","0","543"
"31.03.2018 14:00 - 31.03.2018 15:00","0","834"
"31.03.2018 15:00 - 31.03.2018 16:00","0","786"
"31.03.2018 16:00 - 31.03.2018 17:00","0","565"
"31.03.2018 17:00 - 31.03.2018 18:00","0","496"
"31.03.2018 18:00 - 31.03.2018 19:00","0","443"
"31.03.2018 19:00 - 31.03.2018 20:00","0","455"
"31.03.2018 20:00 - 31.03.2018 21:00","0","791"
"31.03.2018 21:00 - 31.03.2018 22:00","0","474"
"31.03.2018 22:00 - 31.03.2018 23:00","0","362"
"31.03.2018 23:00 - 01.04.2018 00:00","0","524"
"01.04.2018 00:00 - 01.04.2018 01:00","0","179"
"01.04.2018 01:00 - 01.04.2018 02:00","586","0"
"01.04.2018 02:00 - 01.04.2018 03:00","389","0"
"01.04.2018 03:00 - 01.04.2018 04:00","440","0"
"01.04.2018 04:00 - 01.04.2018 05:00","531","0"
"01.04.2018 05:00 - 01.04.2018 06:00","689","0"
"01.04.2018 06:00 - 01.04.2018 07:00","672","0"
"01.04.2018 07:00 - 01.04.2018 08:00","750","0"
"01.04.2018 08:00 - 01.04.2018 09:00","1196","0"
"01.04.2018 09:00 - 01.04.2018 10:00","1570","0"
"01.04.2018 10:00 - 01.04.2018 11:00","1524","0"
"01.04.2018 11:00 - 01.04.2018 12:00","1940","0"
"01.04.2018 12:00 - 01.04.2018 13:00","2160","0"
"01.04.2018 13:00 - 01.04.2018 14:00","2607","0"
"01.04.2018 14:00 - 01.04.2018 15:00","1916","0"
"01.04.2018 15:00 - 01.04.2018 16:00","1411","0"
"01.04.2018 16:00 - 01.04.2018 17:00","1500","0"
"01.04.2018 17:00 - 01.04.2018 18:00","1577","0"
"01.04.2018 18:00 - 01.04.2018 19:00","1357","0"
"01.04.2018 19:00 - 01.04.2018 20:00","1345","0"
"01.04.2018 20:00 - 01.04.2018 21:00","1139","0"
"01.04.2018 21:00 - 01.04.2018 22:00","1290","0"
"01.04.2018 22:00 - 01.04.2018 23:00","1233","0"
"01.04.2018 23:00 - 02.04.2018 00:00","1145","0"
"02.04.2018 00:00 - 02.04.2018 01:00","830","0"
"02.04.2018 01:00 - 02.04.2018 02:00","392","0"
"02.04.2018 02:00 - 02.04.2018 03:00","430","0"
"02.04.2018 03:00 - 02.04.2018 04:00","523","0"
"02.04.2018 04:00 - 02.04.2018 05:00","665","0"
"02.04.2018 05:00 - 02.04.2018 06:00","943","0"
"02.04.2018 06:00 - 02.04.2018 07:00","729","0"
"02.04.2018 07:00 - 02.04.2018 08:00","741","0"
"02.04.2018 08:00 - 02.04.2018 09:00","1023","0"
"02.04.2018 09:00 - 02.04.2018 10:00","1288","0"
"02.04.2018 10:00 - 02.04.2018 11:00","1073","0"
"02.04.2018 11:00 - 02.04.2018 12:00","887","0"
"02.04.2018 12:00 - 02.04.2018 13:00","1058","0"
"02.04.2018 13:00 - 02.04.2018 14:00","990","0"
"02.04.2018 14:00 - 02.04.2018 15:00","719","0"
"02.04.2018 15:00 - 02.04.2018 16:00","611","0"
"02.04.2018 16:00 - 02.04.2018 17:00","711","0"
"02.04.2018 17:00 - 02.04.2018 18:00","730","0"
"02.04.2018 18:00 - 02.04.2018 19:00","595","0"
"02.04.2018 19:00 - 02.04.2018 20:00","316","0"
"02.04.2018 20:00 - 02.04.2018 21:00","439","0"
"02.04.2018 21:00 - 02.04.2018 22:00","461","0"
"02.04.2018 22:00 - 02.04.2018 23:00","258","0"
"02.04.2018 23:00 - 03.04.2018 00:00","91","0"
"03.04.2018 00:00 - 03.04.2018 01:00","0","184"
"03.04.2018 01:00 - 03.04.2018 02:00","0","26"
"03.04.2018 02:00 - 03.04.2018 03:00","24","0"
"03.04.2018 03:00 - 03.04.2018 04:00","79","0"
"03.04.2018 04:00 - 03.04.2018 05:00","0","821"
"03.04.2018 05:00 - 03.04.2018 06:00","0","1710"
"03.04.2018 06:00 - 03.04.2018 07:00","0","2372"
"03.04.2018 07:00 - 03.04.2018 08:00","0","2365"
"03.04.2018 08:00 - 03.04.2018 09:00","0","3358"
"03.04.2018 09:00 - 03.04.2018 10:00","0","3015"
"03.04.2018 10:00 - 03.04.2018 11:00","0","2735"
"03.04.2018 11:00 - 03.04.2018 12:00","0","2981"
"03.04.2018 12:00 - 03.04.2018 13:00","0","3121"
"03.04.2018 13:00 - 03.04.2018 14:00","0","3052"
"03.04.2018 14:00 - 03.04.2018 15:00","0","3008"
"03.04.2018 15:00 - 03.04.2018 16:00","0","3058"
"03.04.2018 16:00 - 03.04.2018 17:00","0","2747"
"03.04.2018 17:00 - 03.04.2018 18:00","0","2606"
"03.04.2018 18:00 - 03.04.2018 19:00","0","2650"
"03.04.2018 19:00 - 03.04.2018 20:00","0","2520"
"03.04.2018 20:00 - 03.04.2018 21:00","0","2487"
"03.04.2018 21:00 - 03.04.2018 22:00","0","2072"
"03.04.2018 22:00 - 03.04.2018 23:00","0","2346"
"03.04.2018 23:00 - 04.04.2018 00:00","0","2419"
"04.04.2018 00:00 - 04.04.2018 01:00","0","2660"
"04.04.2018 01:00 - 04.04.2018 02:00","0","2697"
"04.04.2018 02:00 - 04.04.2018 03:00","0","2068"
"04.04.2018 03:00 - 04.04.2018 04:00","0","1035"
"04.04.2018 04:00 - 04.04.2018 05:00","0","791"
"04.04.2018 05:00 - 04.04.2018 06:00","0","722"
"04.04.2018 06:00 - 04.04.2018 07:00","0","1742"
"04.04.2018 07:00 - 04.04.2018 08:00","0","2802"
"04.04.2018 08:00 - 04.04.2018 09:00","0","3037"
"04.04.2018 09:00 - 04.04.2018 10:00","0","3007"
"04.04.2018 10:00 - 04.04.2018 11:00","0","2863"
"04.04.2018 11:00 - 04.04.2018 12:00","0","2993"
"04.04.2018 12:00 - 04.04.2018 13:00","0","2648"
"04.04.2018 13:00 - 04.04.2018 14:00","0","2532"
"04.04.2018 14:00 - 04.04.2018 15:00","0","2337"
"04.04.2018 15:00 - 04.04.2018 16:00","0","2990"
"04.04.2018 16:00 - 04.04.2018 17:00","0","2889"
"04.04.2018 17:00 - 04.04.2018 18:00","0","2411"
"04.04.2018 18:00 - 04.04.2018 19:00","0","2139"
"04.04.2018 19:00 - 04.04.2018 20:00","0","2434"
"04.04.2018 20:00 - 04.04.2018 21:00","0","2477"
"04.04.2018 21:00 - 04.04.2018 22:00","0","3010"
"04.04.2018 22:00 - 04.04.2018 23:00","0","2957"
"04.04.2018 23:00 - 05.04.2018 00:00","0","2883"
"05.04.2018 00:00 - 05.04.2018 01:00","0","3027"
"05.04.2018 01:00 - 05.04.2018 02:00","0","3123"
"05.04.2018 02:00 - 05.04.2018 03:00","0","3091"
"05.04.2018 03:00 - 05.04.2018 04:00","0","3015"
"05.04.2018 04:00 - 05.04.2018 05:00","0","3068"
"05.04.2018 05:00 - 05.04.2018 06:00","0","3251"
"05.04.2018 06:00 - 05.04.2018 07:00","0","3132"
"05.04.2018 07:00 - 05.04.2018 08:00","0","3253"
"05.04.2018 08:00 - 05.04.2018 09:00","0","2631"
"05.04.2018 09:00 - 05.04.2018 10:00","0","2556"
"05.04.2018 10:00 - 05.04.2018 11:00","0","2308"
"05.04.2018 11:00 - 05.04.2018 12:00","0","2645"
"05.04.2018 12:00 - 05.04.2018 13:00","0","2266"
"05.04.2018 13:00 - 05.04.2018 14:00","0","2097"
"05.04.2018 14:00 - 05.04.2018 15:00","0","2332"
"05.04.2018 15:00 - 05.04.2018 16:00","0","2338"
"05.04.2018 16:00 - 05.04.2018 17:00","0","2318"
"05.04.2018 17:00 - 05.04.2018 18:00","0","2500"
"05.04.2018 18:00 - 05.04.2018 19:00","0","2462"
"05.04.2018 19:00 - 05.04.2018 20:00","0","2558"
"05.04.2018 20:00 - 05.04.2018 21:00","0","2603"
"05.04.2018 21:00 - 05.04.2018 22:00","0","2980"
"05.04.2018 22:00 - 05.04.2018 23:00","0","2945"
"05.04.2018 23:00 - 06.04.2018 00:00","0","2743"
"06.04.2018 00:00 - 06.04.2018 01:00","0","2323"
"06.04.2018 01:00 - 06.04.2018 02:00","0","2303"
"06.04.2018 02:00 - 06.04.2018 03:00","0","2148"
"06.04.2018 03:00 - 06.04.2018 04:00","0","2003"
"06.04.2018 04:00 - 06.04.2018 05:00","0","1976"
"06.04.2018 05:00 - 06.04.2018 06:00","0","2107"
"06.04.2018 06:00 - 06.04.2018 07:00","0","2293"
"06.04.2018 07:00 - 06.04.2018 08:00","0","2513"
"06.04.2018 08:00 - 06.04.2018 09:00","0","2397"
"06.04.2018 09:00 - 06.04.2018 10:00","0","2141"
"06.04.2018 10:00 - 06.04.2018 11:00","0","2581"
"06.04.2018 11:00 - 06.04.2018 12:00","0","2509"
"06.04.2018 12:00 - 06.04.2018 13:00","0","2480"
"06.04.2018 13:00 - 06.04.2018 14:00","0","2512"
"06.04.2018 14:00 - 06.04.2018 15:00","0","2609"
"06.04.2018 15:00 - 06.04.2018 16:00","0","2529"
"06.04.2018 16:00 - 06.04.2018 17:00","0","2565"
"06.04.2018 17:00 - 06.04.2018 18:00","0","2227"
"06.04.2018 18:00 - 06.04.2018 19:00","0","2174"
"06.04.2018 19:00 - 06.04.2018 20:00","0","2444"
"06.04.2018 20:00 - 06.04.2018 21:00","0","2560"
"06.04.2018 21:00 - 06.04.2018 22:00","0","2480"
"06.04.2018 22:00 - 06.04.2018 23:00","0","2682"
"06.04.2018 23:00 - 07.04.2018 00:00","0","2702"
"07.04.2018 00:00 - 07.04.2018 01:00","0","3077"
"07.04.2018 01:00 - 07.04.2018 02:00","0","3156"
"07.04.2018 02:00 - 07.04.2018 03:00","0","2952"
"07.04.2018 03:00 - 07.04.2018 04:00","0","2443"
