,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
5391,351.0,443.0,8764.0,3961.0,309.0,965.0,1385.0,6949.0,73.0,102.0,5041.0,310.0,2683.0
5392,350.0,443.0,8573.0,3977.0,324.0,968.0,1289.0,6946.0,69.0,102.0,4629.0,305.0,3356.0
5393,351.0,443.0,7221.0,3953.0,325.0,947.0,1399.0,6947.0,69.0,101.0,4010.0,305.0,4200.0
5394,351.0,383.0,6998.0,3866.0,326.0,930.0,1110.0,6945.0,67.0,101.0,3090.0,305.0,5176.0
5395,356.0,378.0,7115.0,3916.0,325.0,931.0,1118.0,6944.0,58.0,102.0,1638.0,306.0,5489.0
5396,356.0,377.0,7673.0,3867.0,326.0,937.0,1645.0,6950.0,58.0,105.0,822.0,318.0,5572.0
5397,353.0,377.0,7390.0,3909.0,328.0,936.0,1536.0,6952.0,58.0,97.0,650.0,320.0,5853.0
5398,356.0,377.0,5717.0,3599.0,328.0,912.0,860.0,6953.0,58.0,100.0,637.0,320.0,6119.0
5399,364.0,379.0,4346.0,3129.0,316.0,860.0,847.0,6956.0,59.0,98.0,636.0,318.0,6209.0
5400,364.0,377.0,4281.0,2708.0,318.0,819.0,862.0,6959.0,58.0,99.0,633.0,312.0,6065.0
5401,366.0,377.0,4000.0,2306.0,312.0,794.0,502.0,6973.0,58.0,99.0,633.0,314.0,5772.0
5402,369.0,377.0,4079.0,2153.0,301.0,784.0,540.0,6972.0,58.0,98.0,629.0,314.0,5677.0
5403,368.0,377.0,3933.0,2125.0,286.0,783.0,552.0,6972.0,59.0,99.0,622.0,315.0,5646.0
5404,367.0,377.0,4043.0,2169.0,296.0,773.0,487.0,6977.0,58.0,99.0,532.0,310.0,5643.0
5405,364.0,376.0,4410.0,2227.0,299.0,785.0,687.0,6977.0,58.0,99.0,355.0,304.0,5735.0
5406,364.0,374.0,4768.0,2713.0,312.0,827.0,1256.0,6980.0,68.0,99.0,207.0,300.0,5710.0
5407,362.0,375.0,5027.0,3235.0,312.0,864.0,1265.0,6984.0,71.0,93.0,701.0,304.0,5518.0
5408,354.0,374.0,5367.0,3470.0,321.0,899.0,1991.0,6986.0,73.0,89.0,2312.0,304.0,5451.0
5409,357.0,376.0,5360.0,3441.0,324.0,930.0,1396.0,6988.0,76.0,87.0,4177.0,307.0,5271.0
5410,354.0,376.0,5728.0,3408.0,318.0,940.0,1772.0,6987.0,77.0,93.0,4854.0,305.0,4873.0
5411,356.0,376.0,5725.0,3598.0,320.0,969.0,2129.0,6984.0,75.0,91.0,5238.0,297.0,4845.0
5412,367.0,376.0,5579.0,3670.0,317.0,984.0,2054.0,6985.0,77.0,93.0,5453.0,294.0,4984.0
5413,367.0,376.0,5590.0,3471.0,320.0,990.0,1900.0,6981.0,72.0,96.0,5487.0,299.0,5235.0
5414,361.0,376.0,5361.0,3441.0,300.0,962.0,1807.0,6977.0,70.0,100.0,5384.0,297.0,5350.0
5415,362.0,376.0,5520.0,3291.0,299.0,956.0,1917.0,6963.0,70.0,99.0,5083.0,295.0,5480.0
5416,361.0,374.0,5590.0,3389.0,302.0,932.0,1465.0,6957.0,65.0,99.0,4655.0,287.0,5954.0
5417,363.0,297.0,5742.0,3480.0,329.0,939.0,1237.0,6957.0,67.0,101.0,4016.0,288.0,6313.0
5418,363.0,131.0,5924.0,3588.0,335.0,949.0,1344.0,6960.0,59.0,103.0,3072.0,284.0,6789.0
