,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
3422,2258.0,12544.5,50.0,0.0,328.5,79.5,6227.5,129.5,7797.5,2050.0,1550.0
3423,2217.0,12739.0,51.5,0.0,328.0,110.5,6224.5,130.0,6660.0,2181.5,1777.5
3424,2227.0,14244.0,51.0,0.0,343.0,245.5,6214.5,130.0,5120.0,2275.0,1831.0
3425,2255.0,15927.0,50.0,0.0,377.0,396.0,6220.0,130.0,3490.0,2326.0,1929.5
3426,2283.5,16227.5,75.0,0.0,450.5,478.0,6225.5,130.0,2090.0,2319.5,1952.0
3427,2285.0,16181.5,73.5,0.0,463.5,528.5,6132.5,130.0,930.0,2310.5,1940.0
3428,2284.0,16386.0,47.0,0.0,406.5,384.0,6018.5,130.0,193.5,2184.0,1872.0
3429,2283.0,16132.0,47.0,0.0,478.0,257.0,6017.0,129.5,153.0,2274.0,1960.5
3430,2277.0,14147.5,112.0,0.0,373.5,151.0,6081.5,130.0,4.5,2214.5,2085.0
3431,2274.0,11093.0,330.0,0.0,0.0,108.0,6224.0,132.0,0.0,1020.5,1707.5
3432,2281.0,9144.0,323.5,0.0,0.0,60.0,6228.5,131.0,0.0,1565.5,1881.5
3433,2281.5,8124.5,324.5,0.0,0.0,62.0,6223.0,130.5,0.0,1561.5,1831.5
3434,2280.5,7757.0,414.5,0.0,0.0,43.5,6227.5,130.0,0.0,1564.5,1753.0
3435,2278.5,7668.5,335.0,0.0,0.0,40.0,6231.5,130.5,0.0,1484.5,1635.5
3436,2278.5,7763.0,354.0,0.0,0.0,39.5,6234.0,131.0,3.0,1461.0,1636.5
3437,2281.5,8303.5,307.5,0.0,0.0,57.0,6234.0,129.0,102.0,1381.0,1621.0
3438,2274.5,10517.5,303.0,0.0,247.5,118.5,6231.5,118.5,457.0,1369.0,1601.5
3439,2214.5,15610.0,316.5,0.0,469.5,235.5,6220.0,119.0,1041.0,1285.5,1593.5
3440,2252.5,18072.5,311.0,0.0,402.5,498.5,6209.5,109.5,1596.0,1317.0,1624.5
3441,2264.0,18529.0,55.5,0.0,708.5,490.0,6187.5,108.0,2908.5,742.5,1389.0
3442,2285.0,18740.0,50.0,0.0,383.5,315.0,6176.0,108.5,3986.0,1131.0,1638.5
3443,2281.5,18711.0,50.0,0.0,298.5,129.0,6174.5,108.5,4903.5,1089.5,1671.5
