,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
7146,7.09455843676919e-11,7.096828055137854e-11,7.095512590797447e-11,7.098471897603791e-11,7.096380317551918e-11,7.096761618411798e-11,7.096795273245527e-11,7.098471897603791e-11,7.094898758853245e-11,7.092302482683629e-11
7147,0.09502240719842461,9.048244707648914,0.39064767183539867,0.0010558052373705947,1.0874786527666187,4.30768242828275,7.221702893995594,0.0010558052373705947,0.14781263302633985,0.01055804587615641
7148,0.1937636789157635,17.41720177393112,1.0549355836665033,0.002152930111310629,0.06458789320334153,7.987369416910248,14.726039571584982,0.002152930111310629,0.12917578605951668,0.021529297966164658
7149,1.8378891505874023e-10,1.8387386721245612e-10,1.8382808699948975e-10,1.8449156921439247e-10,1.8449156921439247e-10,1.83862954443158e-10,1.8387247907331038e-10,1.8449156921439247e-10,1.837989595820538e-10,1.8389882359938407e-10
7150,2.1041457041123436e-09,2.094384232000566e-09,2.0980561489761958e-09,2.217454661977654e-09,2.217454661977654e-09,2.095628182007404e-09,2.094394138627161e-09,2.217454661977654e-09,2.1012457367595166e-09,2.1313592630592303e-09
7151,0.4284042431690472,31.41631115438401,1.6660165007598466,0.004760047301915672,0.004760047301915672,3.1892315870254144,32.60632294052898,0.004760047301915672,0.5712056575064507,0.04760047160271601
7152,0.955798856605923,74.33991106395018,3.5045958073675267,0.01061998736520213,0.01061998736520213,6.902991741716324,72.74691296972419,0.01061998736520213,1.2743984754511246,0.1061998730187018
7153,1.4328475952202744,111.12529127015856,5.572185092387762,0.015920528882173567,0.015920528882173567,10.507549031318224,109.05562252157482,0.015920528882173567,1.910463460278062,0.1592052883994961
7154,1.599370166524945,121.19671706019169,6.575188462249571,0.01777077966961296,0.01777077966961296,11.72871455425007,121.72984044901933,0.01777077966961296,2.3102013516284634,0.17770779631789835
7155,1.20631628533135,90.87582682415295,5.227370569583446,0.013403514336574262,0.013403514336574262,8.846319425410329,91.81407282381177,0.013403514336574262,1.7424568565649639,0.13403514286410784
7156,2.062839639946386e-08,1.9634844721335342e-08,2.0014485892734394e-08,3.672458564975594e-08,3.672458564975594e-08,1.993438916625529e-08,1.9636677468264958e-08,3.672458564975594e-08,2.0351022315837935e-08,2.4391490986307055e-08
7157,1.4007134848001295e-10,1.4013468180856317e-10,1.401042202255963e-10,1.404254881110802e-10,1.404254881110802e-10,1.4011546568927109e-10,1.4013381356793048e-10,1.404254881110802e-10,1.4007973991528955e-10,1.4006733843417404e-10
7158,1.6318803146381877e-10,1.6326516058531708e-10,1.6322849644786477e-10,1.6371615342951227e-10,1.6324749022773483e-10,1.6325482010877073e-10,1.6326355728409458e-10,1.6371615342951227e-10,1.6319308990812634e-10,1.6325881720121354e-10
7159,1.2394804350655316e-10,1.2400047972724552e-10,1.2397631587922603e-10,1.2419875874150932e-10,1.2398848333414931e-10,1.2399733252553056e-10,1.2399948392405916e-10,1.2394265409563064e-10,1.2394804350655316e-10,1.239577431735019e-10
7160,6.890072467124292e-11,6.892211469195403e-11,6.89159405164282e-11,6.893549695172238e-11,6.891801638097757e-11,6.892123643192246e-11,6.892182593362859e-11,6.890599677017764e-11,6.890340368711755e-11,6.887853053649956e-11
7161,6.694041920382045e-11,6.696083010823898e-11,6.694947421583505e-11,6.697114385819924e-11,6.695698511871071e-11,6.696013729787613e-11,6.696058566289248e-11,6.694860604344848e-11,6.694296192007586e-11,6.692488115546485e-11
7162,6.638034017522808e-11,6.640049289831266e-11,6.638945116543497e-11,6.640992829474719e-11,6.639676875375592e-11,6.639900037348941e-11,6.64002591674784e-11,6.639044539347662e-11,6.638380126646419e-11,6.635864246841666e-11
7163,7.095984681762803e-11,7.098209204227864e-11,7.096913817999163e-11,7.099906215387017e-11,7.097618284477095e-11,7.097808461969828e-11,7.098185977036795e-11,7.097205975659289e-11,7.096374348688686e-11,7.093732269269088e-11
7164,1.5571190512829218e-10,1.5578409144751466e-10,1.5574342317581857e-10,1.561809928671588e-10,1.557646336475398e-10,1.5576760341408192e-10,1.5578284105202515e-10,1.5575576088204587e-10,1.5572083159260116e-10,1.557696547458264e-10
7165,2.1341213257659623e-10,2.1350489433402585e-10,2.134423794682125e-10,2.1438814814653263e-10,2.1347664821993145e-10,2.1348420725615082e-10,2.1350350492437288e-10,2.134645162973523e-10,2.13415493352074e-10,2.1358247874387318e-10
7166,1.8808100857374436e-10,1.8816669714738408e-10,1.8811307972817992e-10,1.8882209393162851e-10,1.8813961681249725e-10,1.8814787179704682e-10,1.8816544421702853e-10,1.881265941762866e-10,1.8808859712118057e-10,1.8819954399447405e-10
7167,6.139596641594495e-11,6.141389458242338e-11,6.14023288180787e-11,6.141624585674064e-11,6.140593309038706e-11,6.141179414996483e-11,6.141371576318941e-11,6.140118655552547e-11,6.1399008644457e-11,6.137566498811411e-11
7168,3.350618018687971e-11,3.35133428069943e-11,3.350953064300223e-11,3.3493960793428196e-11,3.3493960793428196e-11,3.35129728724595e-11,3.3513283024040904e-11,3.350431080226113e-11,3.350651552530493e-11,3.3497662877253056e-11
7169,3.314550436345569e-11,3.315252649687453e-11,3.314889261497078e-11,3.313312973037552e-11,3.3148619292924295e-11,3.31524277571889e-11,3.3152471460380626e-11,3.313312973037552e-11,3.314685126188213e-11,3.3137127765747877e-11
7170,3.512539823748289e-11,3.5133133280636305e-11,3.5129617318621795e-11,3.511399233017139e-11,3.5131546383261794e-11,3.5133060485488065e-11,3.513307790114989e-11,3.511399233017139e-11,3.512682843655141e-11,3.511623894302063e-11
7171,4.30588871944975e-11,4.306964271178548e-11,4.306460228246704e-11,4.305379370010492e-11,4.305379370010492e-11,4.306950525763099e-11,4.306958436855777e-11,4.305379370010492e-11,4.306061464294946e-11,4.305379370010492e-11
7172,1.9199332301161756e-10,1.9208445613247035e-10,1.9204245733391074e-10,1.9276890898311405e-10,1.9276890898311405e-10,1.920825327944497e-10,1.9208499218456468e-10,1.9276890898311405e-10,1.919912853991528e-10,1.9276890898311405e-10
7173,4.543847720314813e-11,4.544986382672247e-11,4.544473700593894e-11,4.543594671044317e-11,4.543594671044317e-11,4.544969896384512e-11,4.544986782296384e-11,4.543594671044317e-11,4.544027302623258e-11,4.54247991374261e-11
7174,4.066911380760448e-11,4.067851321350051e-11,4.067442663073218e-11,4.066183235247801e-11,4.066183235247801e-11,4.067844704466496e-11,4.0678625302742194e-11,4.066183235247801e-11,4.06712368626256e-11,4.0657630599394647e-11
7175,5.865870443902958e-11,5.867464829060014e-11,5.866617221631843e-11,5.867438327212192e-11,5.867438327212192e-11,5.867399723302129e-11,5.867510098609518e-11,5.867438327212192e-11,5.866039361440018e-11,5.867438327212192e-11
7176,2.840438889459183e-10,2.841431495983637e-10,2.8405265239678776e-10,2.857803501018751e-10,2.857803501018751e-10,2.841261121099828e-10,2.841531516315735e-10,2.857803501018751e-10,2.840288368482811e-10,2.857803501018751e-10
7177,1.6931709865355334e-10,1.6939439577576162e-10,1.693546338677313e-10,1.6989504893795394e-10,1.6989504893795394e-10,1.693899335193651e-10,1.6939983018728416e-10,1.6989504893795394e-10,1.6932452195635728e-10,1.6989504893795394e-10
7178,0.20831731846128235,9.744621215476878,0.8564156415594102,0.0023146371930389594,0.0023146371930389594,4.907030160922879,15.85526254754507,0.0023146371930389594,0.3009027931895586,0.0023146371930389594
7179,0.151393686049615,6.980931058924875,0.6560393047348134,0.0016821525107182042,0.0016821525107182042,3.5829838931100504,11.522741627093167,0.0016821525107182042,0.2186797685409182,0.0016821525107182042
7180,3.65623340453112e-10,3.656841263186363e-10,3.655671117143514e-10,3.685147414786747e-10,3.685147414786747e-10,3.656733196027667e-10,3.6569877588841856e-10,3.685147414786747e-10,3.6556793384401635e-10,3.685147414786747e-10
7181,1.3632820655360179e-10,1.3638675617062466e-10,1.3636000543002603e-10,1.3665667171100829e-10,1.3665667171100829e-10,1.36385951175181e-10,1.3638947540718712e-10,1.3665667171100829e-10,1.3633501967502608e-10,1.3635462468057519e-10
7182,1.1295641813336414e-10,1.1300022714536446e-10,1.1298025727185936e-10,1.131465924793441e-10,1.131465924793441e-10,1.1300054998782689e-10,1.130011398029346e-10,1.131465924793441e-10,1.1295842229582675e-10,1.1295338655432758e-10
7183,0.0771059389911224,5.6715701158131155,0.3683950385491335,0.00085673353855004,0.00085673353855004,5.2260691400171,5.868618624338276,0.017134653790266963,0.08567326544864336,0.008567327334259732
7184,0.05034092594179777,4.021680533552186,0.22373744401819784,0.0005593449903313966,0.0005593449903313966,3.540645031784848,3.831503707272077,0.033560617741808435,0.07271467020911472,0.005593437414735186
7185,0.008114757097525183,0.7240159127175294,0.035163919030142876,9.01752101882484e-05,9.01752101882484e-05,0.592376657366891,0.617622541954642,0.01081967327306487,0.01081967327306487,0.0009016476656440248
7186,1.114969560029853e-10,1.115418968794692e-10,1.1151781845975667e-10,1.1167973823721385e-10,1.1167973823721385e-10,1.1154092755870444e-10,1.1154110845112601e-10,1.1151010191183814e-10,1.1150451722500628e-10,1.1149242027637285e-10
7187,1.6321326132188915e-10,1.632898306320475e-10,1.6324892652215408e-10,1.6374167497694421e-10,1.6374167497694421e-10,1.6328769477679186e-10,1.6328857383076585e-10,1.6324393629642011e-10,1.6322629261796448e-10,1.6328419460007312e-10
7188,2.684675901360061e-10,2.685736289872442e-10,2.684822437981908e-10,2.7002174183416605e-10,2.7002174183416605e-10,2.685703049094796e-10,2.685718151699533e-10,2.684751664232579e-10,2.6846119035177163e-10,2.6877032406896334e-10
7189,0.48743033311040135,41.16078367337386,1.6789267025988377,0.005415892726791663,0.005415892726791663,33.68685190112838,37.0988642319361,1.5164499249413252,0.5957481848820798,0.05415892602373448
7190,0.806650399432806,64.44240412589195,2.6888346645816084,0.008962782298388731,0.008962782298388731,56.734411420996906,61.39505817279392,1.6133007987822954,1.1651616880325797,0.08962782223324384
7191,0.9562295656747748,75.43588795331273,3.293679614930183,0.010624773021491325,0.10624772958187942,65.87359229726792,72.77969471552251,0.7437341066515543,1.4874682132328232,0.10624772958187942
7192,1.4372022895095382e-09,1.433015761008306e-09,1.434564406251771e-09,1.4889127039090748e-09,1.4335946094588083e-09,1.4330073102188778e-09,1.4330100711660772e-09,1.4481455289723145e-09,1.4368895236274888e-09,1.4481455289723145e-09
7193,4.7559863381382705e-11,4.7572169594029497e-11,4.756535986971283e-11,4.755978457234283e-11,4.75701727195093e-11,4.757200801453578e-11,4.757205382416785e-11,4.755978457234283e-11,4.7561742586904574e-11,4.754521074865012e-11
7194,1.2779323725150898e-10,1.2784784734668466e-10,1.2781976370057987e-10,1.2806710320925156e-10,1.2783502554467456e-10,1.2784667113780387e-10,1.2784702201168907e-10,1.2806710320925156e-10,1.27802420753602e-10,1.2806710320925156e-10
7195,0.4910086220193904,42.499524049746526,2.182260541837006,0.005455651491447096,2.782382190804539,35.73451637047619,37.371211776751274,0.005455651491447096,0.7637911897319143,0.005455651491447096
7196,0.197561999172662,14.663490580352049,1.1853719933351237,0.002195133663020246,0.002195133663020246,14.356171915501502,15.036663244813425,0.002195133663020246,0.13170799956188844,0.021951333544307568
7197,1.1270096457431868e-10,1.127458888636889e-10,1.1272497133467351e-10,1.1288980493078532e-10,1.1288980493078532e-10,1.1274550631102294e-10,1.1274579514830359e-10,1.1288980493078532e-10,1.1270865620537175e-10,1.1269763836897092e-10
7198,1.714138486410286e-10,1.7148754243012305e-10,1.7145557188477948e-10,1.72010003689066e-10,1.72010003689066e-10,1.7149226812495668e-10,1.714924223149483e-10,1.72010003689066e-10,1.7142666767000587e-10,1.72010003689066e-10
7199,5.799861840706382e-11,5.801658223393301e-11,5.8008783196828626e-11,5.8015985780259696e-11,5.8015985780259696e-11,5.801722962113581e-11,5.8017268293246613e-11,5.8015985780259696e-11,5.800248245470654e-11,5.79822744117033e-11
7200,0.13892182425846397,9.191994017416008,0.8103773066153478,0.002315364056993884,0.002315364056993884,15.350861545241836,15.860241566340214,0.002315364056993884,0.27784364819431084,0.023153637645612603
7201,1.7621279219639818e-10,1.7629286555712378e-10,1.7625738281745645e-10,1.7685432461927482e-10,1.7685432461927482e-10,1.763008017428511e-10,1.7630078339313588e-10,1.7685432461927482e-10,1.7622445625277882e-10,1.7632372613915428e-10
7202,0.19320959010973127,9.338463510995528,1.1592575394990985,0.0032201600643109265,0.0032201600643109265,22.637723614255385,22.090296442934765,0.0032201600643109265,0.35421758167461104,0.03220159854504214
7203,0.707677222559597,36.09153834737349,4.481955742539756,0.011794620438283998,0.011794620438283998,82.09055780963153,80.91109577213773,0.011794620438283998,1.4153544450558797,0.11794620381268112
7204,0.5051220121358275,27.276588650633535,3.199106076387186,0.008418700289580186,0.008418700289580186,58.762527401571035,57.75228337747678,0.008418700289580186,1.0102440241829629,0.0841870020965406
7205,0.6377638886461564,35.82107174174987,4.995817127248141,0.010629398213231403,0.010629398213231403,74.40578700059167,72.91767126058124,0.010629398213231403,1.488115740080694,0.10629398149955609
7206,1.4528394780121968e-10,1.4535429141569232e-10,1.4532806256462055e-10,1.4568334490309803e-10,1.4568334490309803e-10,1.45361168544242e-10,1.4536092440335037e-10,1.4568334490309803e-10,1.4530009332483313e-10,1.4533265554784574e-10
7207,1.391985438449611e-10,1.3926374627825443e-10,1.39239957701243e-10,1.3955557261222913e-10,1.3955557261222913e-10,1.3926924911442317e-10,1.3926907782375617e-10,1.3923831579196016e-10,1.3920992110116685e-10,1.3923831579196016e-10
7208,1.0346117156415016e-10,1.0350423885047307e-10,1.0348757277712713e-10,1.0361346565112209e-10,1.0361346565112209e-10,1.0350725385943773e-10,1.035071338407913e-10,1.0347392266860826e-10,1.0346835532864141e-10,1.034566567988077e-10
7209,5.416643620446914e-11,5.418308304934651e-11,5.4176091432403404e-11,5.417751723966772e-11,5.417751723966772e-11,5.418367662296853e-11,5.4183607628522986e-11,5.4174824692669023e-11,5.417063972867461e-11,5.415124443332144e-11
7210,4.0360682281438144e-11,4.037150222023538e-11,4.03673970020206e-11,4.035462984250969e-11,4.035462984250969e-11,4.037179186845671e-11,4.037175932598865e-11,4.0367896830642375e-11,4.036331109955135e-11,4.0350850336961465e-11
7211,3.7231601613909175e-11,3.724118291212621e-11,3.723762477637641e-11,3.7222957896729153e-11,3.7222957896729153e-11,3.724142907874117e-11,3.7241400436299825e-11,3.723864327057899e-11,3.723452515689298e-11,3.722300170640704e-11
7212,4.860205426912169e-11,4.861628931165586e-11,4.861072249003233e-11,4.860522501639413e-11,4.860522501639413e-11,4.861675657934525e-11,4.8616688142109975e-11,4.861391133561591e-11,4.860629035775594e-11,4.858890841166168e-11
7213,4.974221588583487e-11,4.9756931764880946e-11,4.97501757161734e-11,4.97469236748394e-11,4.97469236748394e-11,4.975737414826984e-11,4.975729607737161e-11,4.975318593119752e-11,4.9745223102034795e-11,4.973469816122562e-11
7214,3.969879667372075e-11,3.970870389042766e-11,3.970424557689713e-11,3.969158704486505e-11,3.969158704486505e-11,3.9709020249688437e-11,3.970896388125911e-11,3.970592386376972e-11,3.9700468981265867e-11,3.96886578954839e-11
7215,2.98426319342838e-11,2.984936781599776e-11,2.984674185920419e-11,2.983046985429856e-11,2.983046985429856e-11,2.984954521391278e-11,2.98495127526967e-11,2.984733992033614e-11,2.984458127510652e-11,2.983941160778732e-11
7216,3.0000349395677724e-11,3.0007167119607946e-11,3.0004495442227574e-11,2.998821508284646e-11,2.998821508284646e-11,3.000734482950623e-11,3.000730970529157e-11,3.00036102914771e-11,3.000270259969397e-11,2.999430310381295e-11
7217,3.2894119251197726e-11,3.290205992538509e-11,3.2898888124705997e-11,3.2882912479014316e-11,3.2882912479014316e-11,3.2902279907122334e-11,3.290223976693045e-11,3.289283792954409e-11,3.289538374588467e-11,3.288710756375651e-11
7218,6.259327743284282e-11,6.261436733588242e-11,6.260413010506989e-11,6.261876076131749e-11,6.261876076131749e-11,6.261517778780324e-11,6.261499668341375e-11,6.261876076131749e-11,6.25991357723024e-11,6.258231236382903e-11
7219,2.4121844647177695e-10,2.4130333986942414e-10,2.4123666086678054e-10,2.4245968629826385e-10,2.4245968629826385e-10,2.4131164524035227e-10,2.413096447284811e-10,2.4245968629826385e-10,2.412034541044398e-10,2.4128212017112273e-10
7220,2.0124990290680932e-10,2.013393501264923e-10,2.0129004134034238e-10,2.0211021847201996e-10,2.0211021847201996e-10,2.0134358904856912e-10,2.013419740960937e-10,2.0211021847201996e-10,2.0125765327696602e-10,2.0139391949321451e-10
7221,1.964762122485052e-10,1.965635194890567e-10,1.9652596530797512e-10,1.9729367746262068e-10,1.9729367746262068e-10,1.965695963921233e-10,1.9656882891097064e-10,1.9729367746262068e-10,1.964762122485052e-10,1.9661170887809015e-10
7222,3.033075809573981e-10,3.03346928569054e-10,3.032672803938147e-10,3.052406690302858e-10,3.052406690302858e-10,3.0336430901351727e-10,3.033627588806393e-10,3.052406690302858e-10,3.032422023461586e-10,3.0366806880810835e-10
7223,0.1457670623585063,8.017188413119172,0.9717804139814955,0.002429451343556083,0.002429451343556083,18.293766287723322,16.641739584477264,0.002429451343556083,0.36441765543512017,0.02429451064961007
7224,1.7298403858316473,66.50275260940595,6.919361543210009,0.01922044876988367,0.01922044876988367,153.95579433559675,131.6600738076009,0.01922044876988367,1.922044873141957,0.19220448734916043
7225,2.576879517925003,85.89598392998987,9.734878178755318,0.028631994669397434,0.028631994669397434,233.63707628952758,196.12916330677675,0.028631994669397434,2.576879517925003,0.2863199464592962
7226,2.8346194893764376,97.32193580113376,10.708562515356217,0.03149577212762408,0.03149577212762408,256.06062720488603,215.74603891186962,0.03149577212762408,2.8346194893764376,0.31495772106290365
7227,2.6142726081703014,88.01384447422673,9.876140964127481,0.029047473449531853,0.029047473449531853,236.15595893575315,198.97519295325245,0.029047473449531853,2.904747342408588,0.29047473426399784
7228,2.1922001048713433,68.39664327095689,7.67270036696452,0.021922001082434098,0.021922001082434098,178.2258685233041,150.16570718138706,0.021922001082434098,2.1922001048713433,0.021922001082434098
7229,1.6904422270748594,57.62871228503462,6.454415775967042,0.015367656657933144,0.015367656657933144,122.01919347812563,105.26844777395637,0.015367656657933144,1.6904422270748594,0.15367656614188333
7230,0.5410582359626042,29.517732644196652,2.6451735975563877,0.006011758300442683,0.006011758300442683,47.55300717214313,41.18054350560204,0.006011758300442683,0.5410582359626042,0.12023516364383702
7231,0.06601902557134727,3.953806026957648,0.3080887822602206,0.0007335457640885949,0.0007335457640885949,5.780332372892749,5.024781314132454,0.05868357839909613,0.08068991991594009,0.007335448197353632
7232,0.21682975429903958,13.732551086287467,0.9636877958171153,0.002409219800755116,0.002409219800755116,18.478713479160373,16.503153498370636,0.4095673134004497,0.24092194918671095,0.048184390085512584
7233,0.09570418069788851,5.795419789297617,0.41471811401449504,0.001063380493278368,0.010633798482681043,8.304996064726069,7.284151478111109,0.3828167206827987,0.11697177625226683,0.02126759625875494
7234,1.886820087315825e-10,1.887666227279455e-10,1.8872253951417769e-10,1.8942803657333296e-10,1.887450227610064e-10,1.8877065299990053e-10,1.8876896907335518e-10,1.8873137386395268e-10,1.886820087315825e-10,1.887343527105788e-10
7235,1.4999759660661867e-10,1.5006019491403933e-10,1.5002726736427768e-10,1.504208159204659e-10,1.5004633323386953e-10,1.5006282436981066e-10,1.5006161099407933e-10,1.5003258053777003e-10,1.500022199908014e-10,1.5000022349325967e-10
7236,1.4874214708478588e-10,1.4880720159174113e-10,1.4877467721920433e-10,1.491585656080539e-10,1.4879300690936189e-10,1.4880976293057786e-10,1.4880848010325145e-10,1.4876922182217997e-10,1.4875086867577346e-10,1.4874604153741409e-10
7237,2.2145806060361956e-10,2.215554696102752e-10,2.2149473848505288e-10,2.2251347380188282e-10,2.215327163638537e-10,2.2155983664694017e-10,2.2155774126385967e-10,2.2146067337247374e-10,2.2145806060361956e-10,2.215574682636779e-10
7238,0.058664985305498664,3.578564034771697,0.2151049430580627,0.0006518343391522483,0.9842680686818176,5.488435185687053,4.458538797138857,0.13688496418136356,0.0717016484513125,0.006518332727634355
7239,0.09773196806331137,6.00508644051813,0.33663233275770765,0.0010859114489822706,1.6180070161210747,9.24110047138516,7.427629521201294,0.11945018303547789,0.13030929052157061,0.021718215661861162
7240,1.3751101118595873e-09,1.3712984269925233e-09,1.3727296458931235e-09,1.4227133593609608e-09,1.3715284591724404e-09,1.3713100227444186e-09,1.3713036035326009e-09,1.3850298621205477e-09,1.3741434465014626e-09,1.3850298621205477e-09
7241,5.475821373524605e-11,5.4773135190954246e-11,5.476431449611478e-11,5.476776791773028e-11,5.4770723734046944e-11,5.477352788851159e-11,5.477336285502359e-11,5.476776791773028e-11,5.475452385008695e-11,5.4740383957838784e-11
7242,6.359246129987657e-11,6.361100587875024e-11,6.359976827770623e-11,6.36166647068911e-11,6.360707966850227e-11,6.361158208950182e-11,6.361134720556083e-11,6.36166647068911e-11,6.359441316882789e-11,6.358542105330476e-11
7243,1.2342187110916176e-10,1.2347227148970696e-10,1.2344425962174653e-10,1.2366938689790232e-10,1.23459880893013e-10,1.234743232901998e-10,1.2347351237581896e-10,1.2366938689790232e-10,1.234241230423851e-10,1.234042690243593e-10
7244,3.393724746109445e-10,3.394412681645552e-10,3.393254365494519e-10,3.418480286959933e-10,3.394039033685221e-10,3.3944740424935264e-10,3.39445423144695e-10,3.418480286959933e-10,3.3935055214587013e-10,3.398972162339733e-10
7245,3.2384068593454953e-10,3.239183765600661e-10,3.2381120600187313e-10,3.260922206546994e-10,3.260922206546994e-10,3.239273038815253e-10,3.239247550921099e-10,3.260922206546994e-10,3.238303376268825e-10,3.2409286273062886e-10
7246,0.144827273084344,7.965499994574349,0.5471252525846642,0.0016091923870619228,0.0016091923870619228,12.583880799240287,11.006872719598261,0.0016091923870619228,0.17701111144433915,0.016091919645284922
