,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
1400,6.636219472192004e-10,6.646001916742133e-10,6.643029816338483e-10,6.642324931026304e-10,6.642968713225288e-10,6.645486726840078e-10,6.644851482937995e-10,6.647464173529075e-10,6.638049301885165e-10,6.636045780727819e-10,6.644958409655915e-10
1401,7.095605554832901e-10,7.106105534108872e-10,7.102748236744412e-10,7.101963953950069e-10,7.102955079954791e-10,7.10557317441186e-10,7.105103824416687e-10,7.107759063771393e-10,7.100575666978024e-10,7.095543136609867e-10,7.105048368929715e-10
1402,9.014801151996457e-10,9.026943381640753e-10,9.021917609630956e-10,9.021052532864267e-10,9.022477925609397e-10,9.026211623894954e-10,9.0253002223064e-10,9.029402732328712e-10,9.021104724710711e-10,9.014770003211371e-10,9.026036484740735e-10
1403,1.0233554003124586e-09,1.0245920938499452e-09,1.0239747110724395e-09,1.0238456238443548e-09,1.0240626115207018e-09,1.0245174141202552e-09,1.0244169304706855e-09,1.0249027990440784e-09,1.024024749029039e-09,1.0233541601204802e-09,1.0245483782673258e-09
1404,9.98726759273579e-10,9.999909457791805e-10,9.993602972792874e-10,9.992334915510593e-10,9.993605756843579e-10,9.999081885896948e-10,9.998176124436506e-10,1.000297033837447e-09,9.994489759860555e-10,9.987241994059314e-10,9.99960057250667e-10
1405,1.9128213444154427e-09,1.913114984107166e-09,1.9121423266221213e-09,1.9120843122387224e-09,1.9120708186222016e-09,1.9128772290351174e-09,1.9126676955588246e-09,1.9139372011291607e-09,1.9121860271354587e-09,1.9129810282544144e-09,1.9130789713247524e-09
1406,3.9179036551871725e-09,3.899110377389279e-09,3.899590218501185e-09,3.899953135696819e-09,3.901148551750112e-09,3.899012654479261e-09,3.898987504530225e-09,3.900282694264175e-09,3.899648851213884e-09,3.919475154344219e-09,3.899105438926972e-09
1407,0.32442888775160267,10.657366834894015,2.280759443343214,1.6880059208791587,0.7525286539548788,7.503332659798759,5.7055575731436265,61.82931495953448,1.547745313712055,0.2988160812276644,11.25255967226702
1408,0.28231621684859126,9.168956349566178,1.9604122020412666,2.026777579988423,1.1408524553329262,6.445869016326329,4.237903426202322,53.746475375001005,0.7626751429125187,0.25914100550498337,10.165490437475265
1409,0.16962355853824485,5.58175402249029,1.1196420154986328,1.2797717087939624,0.289246135692681,4.09311750610334,2.4886559546456564,32.504428978938954,0.16582601640758515,0.15633216108153078,6.241893430055072
1410,3.4745079960998682e-09,3.4621966305636963e-09,3.4621631765257133e-09,3.4621187194129343e-09,3.4627341513124872e-09,3.462032589838035e-09,3.4618954188532176e-09,3.4634419146408615e-09,3.501995181588163e-09,3.4758424171417898e-09,3.4622401172936006e-09
