,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> UK,NL -> UK,demand,UK -> FR,UK -> NL,mismatch
173,854.1328233,11366.44103,1304.855975,268.9397811,9290.873364,113.3033337,0.024509158,4144.909867,4908.151005,2128.795424,922.84,35303.22,2.04E-10,0.047107655,6.26E-12
174,912.7053795,16934.27707,1612.534869,337.9404758,9951.94787,121.0731626,0.033047432,4378.590968,5226.103106,2573.477001,1022.61,43071.26,1.26E-10,0.032950754,7.88E-14
175,894.4798914,24243.94107,2634.983223,906.2665956,9814.395763,119.1766766,0.030963381,4210.472695,5585.588194,2589.323604,1022.83,52021.46,1.23E-10,0.028673099,-1.40E-12
176,866.5904904,27039.65636,3579.45075,930.1235176,9527.412753,115.6301094,38.1198163,3927.611739,5454.945712,2510.771596,1026.06,55016.34,1.42E-10,0.032842396,-1.54E-11
177,859.2723211,27322.36917,4026.126687,1464.498912,9339.916533,113.3243206,617.6798134,3965.105899,5559.118321,2461.31956,762.87,56491.57,1.59E-10,0.031532655,-1.07E-14
178,843.3208525,27469.21556,4192.089122,1350.784273,9207.886983,117.6726771,1336.075188,3891.778644,5209.467476,2420.841011,819.23,56858.33,1.75E-10,0.031784551,-1.62E-12
179,838.7086418,28191.35365,4175.230793,1054.795148,9222.132577,111.0953223,1532.138785,3819.969928,5203.167731,2422.018501,1039.24,57609.82,1.75E-10,0.031077302,1.12E-11
180,833.2963442,28209.03048,4613.586631,1335.223382,9240.574226,110.8625253,1376.644545,3652.371988,5272.670435,2432.131141,1037.3,58113.66,1.71E-10,0.031699602,2.71E-12
181,825.5715976,27933.65749,4874.630534,1521.427834,9215.852107,110.3186716,1272.90775,3273.191356,5312.268341,2424.639122,1016.57,57781,1.74E-10,0.034804241,6.50E-13
182,843.5550117,28531.64502,5304.28378,991.547119,9370.366928,112.2273481,467.4084056,3067.136424,5564.503235,2445.352874,1033.17,57731.16,1.65E-10,0.03614934,4.76E-12
183,902.5777013,30254.2455,6439.978048,1436.702244,10074.14553,120.6087677,63.61781155,1601.048257,4754.106042,2605.368927,632.99,58885.36,1.20E-10,0.028834587,4.31E-12
184,860.0666605,28793.37202,7602.285131,1463.622212,9588.988821,114.4240733,0.02574074,3031.609238,6739.703656,2429.830254,476.72,61100.61,1.73E-10,0.037803095,1.03E-11
185,847.8948858,28596.84249,7058.320276,1867.609881,9499.908927,113.3016661,0.024507326,3168.711431,6493.057019,2437.385937,1000.35,61083.37,1.69E-10,0.03702303,1.04E-12
186,822.04012,28204.3946,6672.885914,1556.181372,9450.985356,112.6591128,0.023801223,3085.126475,6882.109981,2481.333297,1027.44,60295.14,1.52E-10,0.040028871,-5.68E-12
187,844.2103841,28063.86002,6291.085232,1007.408031,9400.429873,111.6615479,0.022704998,2800.128047,7076.397217,2464.604581,1028.38,59088.13,1.58E-10,0.057640191,2.37E-12
188,828.7802697,25800.50179,5353.604121,756.9769864,9368.50296,110.7474369,0.02170048,2653.070467,7104.87403,2467.554463,1015.49,55460.05,1.57E-10,0.074220463,6.81E-12
189,823.1191803,22221.79693,3512.782149,940.5347104,9315.77237,110.1527138,0.021046938,2543.196173,7115.139032,2393.466894,1022.83,49998.73,1.90E-10,0.081198032,-9.13E-12
190,823.0947684,17818.00745,2504.335331,812.216864,9292.147694,109.9877003,0.020865605,2463.241025,6834.949949,2419.285275,1022.77,44099.98,1.77E-10,0.076925332,-6.28E-12
191,805.8764519,14534.21883,1654.416951,323.5356932,9118.255031,107.8452311,0.018511243,2223.270917,6433.975379,2449.863066,1022.78,38673.99,1.64E-10,0.066064881,-3.70E-12
192,804.4908473,14202.0396,1571.178894,153.5738769,9091.57351,107.5017138,0.018133752,2081.5167,6317.793027,2437.245483,999.2,37766.06,1.69E-10,0.071783331,1.34E-12
193,776.8887504,14282.71181,1544.515042,141.2525001,8910.485579,105.3604714,0.015780738,1976.377194,6166.482093,2405.229352,998.79,37308.04,1.83E-10,0.068572805,-2.81E-12
194,780.5894028,14019.47792,1392.838993,133.7494398,8877.042559,104.9241295,0.015301241,1927.836753,6010.653703,2270.911769,949.11,36467.09,1.89E-10,0.059965127,-1.63E-12
195,781.3777063,13931.7006,1441.131276,130.8033165,8856.761403,104.4131737,0.014739752,1892.058499,5593.562876,2208.970247,948.47,35889.2,2.30E-10,0.063838793,3.64E-12
196,783.9687196,14003.06481,1376.55684,127.9713645,8937.243404,104.913461,0.015289518,1708.590651,5215.697776,2173.756576,948.68,35380.39,2.63E-10,0.068887937,3.93E-15
197,808.1822967,15137.10014,1400.374611,151.9050425,9199.749139,107.9949912,0.018675815,1961.711214,5227.669628,2159.042802,949.31,37103.01,2.81E-10,0.048538265,3.12E-12
198,883.6397789,19416.75326,2269.995444,279.862452,10036.17849,117.9050145,0.02956595,2097.67273,5623.162229,2511.417924,1023.38,44259.97,1.42E-10,0.026887742,7.67E-13
